START-OF-LOG: 2.0
REF-SECTION: 49
CALLSIGN: F5NHJ
CATEGORY: SINGLE-OP ALL LOW
CLAIMED-SCORE:  17766
CONTEST: REF-CW
CREATED-BY: WINREF-HF V9.7.18
NAME: MARQUIS JEAN LOUIS
OFFTIME: 2024-01-27 0600 2024-01-28 1516
RIG: FT7300
RIG: FT 7300
RIG: VERTICALE
RIG: 80
SOAPBOX: Trois dernières heures.. 
SOAPBOX: IC7300 long fil vertical L - AH4 sur trépied..
QSO: 14000 CW 2024-01-28 1516 F5NHJ         599 49     F4KJP         599 08   
QSO: 14000 CW 2024-01-28 1523 F5NHJ         599 49     F6HKS         599 81   
QSO: 14000 CW 2024-01-28 1526 F5NHJ         599 49     F6AGM         599 81   
QSO: 14000 CW 2024-01-28 1530 F5NHJ         599 49     F4KKV         599 53   
QSO: 14000 CW 2024-01-28 1535 F5NHJ         599 49     Z33B          599 252  
QSO: 14000 CW 2024-01-28 1537 F5NHJ         599 49     SP1AEN        599 465  
QSO: 14000 CW 2024-01-28 1539 F5NHJ         599 49     F6GOE         599 19   
QSO: 21000 CW 2024-01-28 1543 F5NHJ         599 49     FR8TZ         599 FR   
QSO: 28000 CW 2024-01-28 1547 F5NHJ         599 49     FM5BH         599 FM   
QSO: 28000 CW 2024-01-28 1550 F5NHJ         599 49     VE2NT         599 470  
QSO: 28000 CW 2024-01-28 1555 F5NHJ         599 49     F6ARC         599 28   
QSO: 21000 CW 2024-01-28 1601 F5NHJ         599 49     FR4KR         599 FR   
QSO: 21000 CW 2024-01-28 1603 F5NHJ         599 49     KM5G          599 304  
QSO: 14000 CW 2024-01-28 1607 F5NHJ         599 49     OY1CT         599 352  
QSO: 14000 CW 2024-01-28 1608 F5NHJ         599 49     TM4K          599 03   
QSO: 14000 CW 2024-01-28 1612 F5NHJ         599 49     F6KOP         599 77   
QSO: 14000 CW 2024-01-28 1614 F5NHJ         599 49     SC6O          599 250  
QSO: 14000 CW 2024-01-28 1616 F5NHJ         599 49     F6REF         599 00   
QSO: 14000 CW 2024-01-28 1616 F5NHJ         599 49     FY5YE         599 FY   
QSO: 14000 CW 2024-01-28 1618 F5NHJ         599 49     F6KNB         599 33   
QSO: 14000 CW 2024-01-28 1620 F5NHJ         599 49     EW1MZ         599 181  
QSO: 3500  CW 2024-01-28 1623 F5NHJ         599 49     F8NJ          599 10   
QSO: 3500  CW 2024-01-28 1628 F5NHJ         599 49     F6REF         599 00   
QSO: 3500  CW 2024-01-28 1629 F5NHJ         599 49     TM7M          599 29   
QSO: 3500  CW 2024-01-28 1631 F5NHJ         599 49     F5OHM         599 36   
QSO: 3500  CW 2024-01-28 1633 F5NHJ         599 49     F6CWA/P       599 26   
QSO: 7000  CW 2024-01-28 1634 F5NHJ         599 49     F6FET         599 53   
QSO: 7000  CW 2024-01-28 1638 F5NHJ         599 49     F6KHM         599 29   
QSO: 7000  CW 2024-01-28 1640 F5NHJ         599 49     F5POJ         599 02   
QSO: 7000  CW 2024-01-28 1641 F5NHJ         599 49     TM4A          599 79   
QSO: 7000  CW 2024-01-28 1642 F5NHJ         599 49     F6CCZ         599 44   
QSO: 7000  CW 2024-01-28 1644 F5NHJ         599 49     F5PCV         599 62   
QSO: 7000  CW 2024-01-28 1645 F5NHJ         599 49     F8ATH         599 91   
QSO: 7000  CW 2024-01-28 1646 F5NHJ         599 49     F6KNB         599 33   
QSO: 7000  CW 2024-01-28 1648 F5NHJ         599 49     SP5OXJ        599 122  
QSO: 7000  CW 2024-01-28 1651 F5NHJ         599 49     F8DGY         599 77   
QSO: 7000  CW 2024-01-28 1652 F5NHJ         599 49     HB9AOF        599 274  
QSO: 7000  CW 2024-01-28 1653 F5NHJ         599 49     TM4Y          599 93   
QSO: 7000  CW 2024-01-28 1655 F5NHJ         599 49     SN1T          599 218  
QSO: 7000  CW 2024-01-28 1657 F5NHJ         599 49     F6KPQ         599 56   
QSO: 7000  CW 2024-01-28 1658 F5NHJ         599 49     F5SGI         599 56   
QSO: 7000  CW 2024-01-28 1701 F5NHJ         599 49     F4CWN         599 32   
QSO: 7000  CW 2024-01-28 1703 F5NHJ         599 49     F5VKT         599 47   
QSO: 14000 CW 2024-01-28 1707 F5NHJ         599 49     OH2KW         599 390  
QSO: 14000 CW 2024-01-28 1709 F5NHJ         599 49     UT5NC         599 174  
QSO: 21000 CW 2024-01-28 1715 F5NHJ         599 49     PY2ZEA        599 053  
QSO: 14000 CW 2024-01-28 1721 F5NHJ         599 49     F6HQP         599 73   
QSO: 7000  CW 2024-01-28 1725 F5NHJ         599 49     F8UFT         599 63   
QSO: 7000  CW 2024-01-28 1727 F5NHJ         599 49     UT3EV         599 338  
QSO: 7000  CW 2024-01-28 1730 F5NHJ         599 49     F5RP          599 36   
QSO: 7000  CW 2024-01-28 1732 F5NHJ         599 49     F1IKA         599 31   
QSO: 7000  CW 2024-01-28 1733 F5NHJ         599 49     F5MGD         599 60   
QSO: 7000  CW 2024-01-28 1735 F5NHJ         599 49     F6FJE         599 77   
QSO: 7000  CW 2024-01-28 1739 F5NHJ         599 49     F6JOE         599 59   
QSO: 7000  CW 2024-01-28 1740 F5NHJ         599 49     TM1HR         599 68   
QSO: 7000  CW 2024-01-28 1743 F5NHJ         599 49     F6AGM         599 81   
QSO: 7000  CW 2024-01-28 1744 F5NHJ         599 49     F5OZC         599 49   
QSO: 7000  CW 2024-01-28 1746 F5NHJ         599 49     F5MUX         599 29   
QSO: 7000  CW 2024-01-28 1752 F5NHJ         599 49     F8BCU         599 26   
QSO: 7000  CW 2024-01-28 1754 F5NHJ         599 49     F8KLY         599 69   
END-OF-LOG:
