START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WAE RTTY
CALLSIGN: WA2MCR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WA2MCR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WAE RTTY WAE/RTTY/2019.
QSO:  7042 RY 2019-11-09 0512 WA2MCR        599 EM0I          599 209
QSO:  7058 RY 2019-11-09 0516 WA2MCR        599 2 KH6ZM         599 127
QSO:  7060 RY 2019-11-09 0517 WA2MCR        599 0003 N3QE          599 0211
QSO:  3583 RY 2019-11-09 0519 WA2MCR        599 0004 W3LL          599 0139
QSO:  3584 RY 2019-11-09 0522 WA2MCR        599 5 K3RWN         599 34
QSO:  3585 RY 2019-11-09 0522 WA2MCR        599 0006 NG7M          599 0042
QSO:  3586 RY 2019-11-09 0523 WA2MCR        599 0007 VE3CX         599 0147
QSO:  3586 RY 2019-11-09 0526 WA2MCR        599 0008 LX7I          599 0235
QSO:  7045 RY 2019-11-09 0531 WA2MCR        599 0009 WQ5OO         599 0302
QSO:  3583 RY 2019-11-09 0533 WA2MCR        599 0010 K8MM          599 0069
QSO:  3582 RY 2019-11-09 0535 WA2MCR        599 0011 W7VXS         599 0103
QSO:  3579 RY 2019-11-09 0538 WA2MCR        599 0012 WV4P          599 0205
QSO:  3579 RY 2019-11-09 0539 WA2MCR        599 0013 KO7SS         599 0210
QSO:  3579 RY 2019-11-09 0540 WA2MCR        599 0014 WB5BHS        599 0003
QSO:  7045 RY 2019-11-09 1216 WA2MCR        599 15 W0LSD         599 228
QSO:  7046 RY 2019-11-09 1217 WA2MCR        599 0016 N7WY          599 0119
QSO:  7043 RY 2019-11-09 1220 WA2MCR        599 0017 AI9T          599 0050
QSO:  7043 RY 2019-11-09 1223 WA2MCR        599 0018 VE2FK         599 0115
QSO: 14083 RY 2019-11-09 1229 WA2MCR        599 19 EM0I          599 586
QSO: 14082 RY 2019-11-09 1230 WA2MCR        599 0020 YO6BHN        599 0145
QSO: 14083 RY 2019-11-09 1231 WA2MCR        599 021 RA9AU         599 260
QSO: 14022 RY 2019-11-09 1233 WA2MCR        599 023 F6AGM         599 0474
QSO: 14088 RY 2019-11-09 1240 WA2MCR        599 0024 PA3EVY        599 0169
QSO: 14088 RY 2019-11-09 1243 WA2MCR        599 25 YL2CI         599 360
QSO: 14088 RY 2019-11-09 1245 WA2MCR        599 026 DJ5MW         599 0055
QSO: 14089 RY 2019-11-09 1245 WA2MCR        599 0027 OK1KSL        599 0415
QSO: 14090 RY 2019-11-09 1247 WA2MCR        599 0028 LX7I          599 0521
QSO: 14090 RY 2019-11-09 1249 WA2MCR        599 0029 DJ5LA         599 0072
QSO: 14091 RY 2019-11-09 1250 WA2MCR        599 0031 DL5NAM        599 0167
QSO: 14086 RY 2019-11-09 1304 WA2MCR        599 0032 YL3CU         599 0221
QSO: 14086 RY 2019-11-09 1306 WA2MCR        599 033 DM6DX         599 0196
QSO: 14087 RY 2019-11-09 1307 WA2MCR        599 034 DF8XC         599 0282
QSO: 14000 RY 2019-11-09 1312 WA2MCR        599 035 TI2OY         599 106
QSO: 14090 RY 2019-11-09 1314 WA2MCR        599 0036 OZ11A         599 0325
QSO: 14091 RY 2019-11-09 1317 WA2MCR        599 0037 DQ9Y          599 0155
QSO: 14091 RY 2019-11-09 1318 WA2MCR        599 0039 OH2HAN        599 0439
QSO: 14091 RY 2019-11-09 1328 WA2MCR        599 0041 OG8T          599 0102
QSO: 14090 RY 2019-11-09 1329 WA2MCR        599 0042 M0B           599 0101
QSO: 14092 RY 2019-11-09 1335 WA2MCR        599 0043 EO3Q          599 0100
QSO: 14096 RY 2019-11-09 1340 WA2MCR        599 0045 S53X          599 0361
QSO: 14096 RY 2019-11-09 1343 WA2MCR        599 0046 PA6TRIS       599 0044
QSO: 14097 RY 2019-11-09 1344 WA2MCR        599 0047 P3X           599 0430
QSO: 14097 RY 2019-11-09 1346 WA2MCR        599 0048 DP7D          599 0485
QSO: 14097 RY 2019-11-09 1348 WA2MCR        599 0049 ON5GQ         599 0219
QSO: 14103 RY 2019-11-09 1352 WA2MCR        599 0050 PA7WW         599 0195
QSO: 14122 RY 2019-11-09 1354 WA2MCR        599 0051 N6AR          599 0222
QSO: 14119 RY 2019-11-09 1356 WA2MCR        599 0053 N4CW          599 0194
QSO: 14120 RY 2019-11-09 1356 WA2MCR        599 0052 YT2AAA        599 0448
QSO: 14000 RY 2019-11-09 1358 WA2MCR        599 054 DH8WR         599 152
QSO: 14000 RY 2019-11-09 1522 WA2MCR        599 055 V31FI         599 290
QSO: 14093 RY 2019-11-09 1530 WA2MCR        599 057 DP9A          599 0674
QSO: 14000 RY 2019-11-09 1532 WA2MCR        599 058 DD5A          599 089
QSO: 14094 RY 2019-11-09 1534 WA2MCR        599 0559 DK1FW         599 0007
QSO: 14101 RY 2019-11-09 1631 WA2MCR        599 61 S51JQ         599 074
QSO: 14087 RY 2019-11-09 1633 WA2MCR        599 62 KH6ZM         599 148
QSO: 14086 RY 2019-11-09 1634 WA2MCR        599 0063 N7ESU         599 0046
QSO: 14090 RY 2019-11-09 1643 WA2MCR        599 0067 GI4JTF        599 0081
QSO: 14089 RY 2019-11-09 1653 WA2MCR        599 0072 DH6BH         599 0165
QSO: 14090 RY 2019-11-09 1653 WA2MCR        599 0071 XE2B          599 0058
QSO: 14090 RY 2019-11-09 1655 WA2MCR        599 0073 WJ2D          599 0195
QSO: 14089 RY 2019-11-09 1657 WA2MCR        599 74 PG7V          599 042
QSO: 14090 RY 2019-11-09 1657 WA2MCR        599 0075 K0KX          599 0151
QSO: 14089 RY 2019-11-09 1658 WA2MCR        599 076 DK2LO         599 0098
QSO: 14093 RY 2019-11-09 1701 WA2MCR        599 077 IZ8GNR        599 0187
QSO: 14097 RY 2019-11-09 1704 WA2MCR        599 079 IK2XDE        599 0106
QSO: 14096 RY 2019-11-09 1707 WA2MCR        599 0080 IK0FMB        599 0270
QSO: 14100 RY 2019-11-09 1711 WA2MCR        599 0082 IZ4OSH        599 0176
QSO: 14084 RY 2019-11-09 1714 WA2MCR        599 0083 W6ZL          599 0041
QSO: 14070 RY 2019-11-09 1718 WA2MCR        599 0084 IW3RUA        599 0264
QSO: 14088 RY 2019-11-09 1723 WA2MCR        599 0085 WQ6X          599 0078
QSO: 14088 RY 2019-11-09 1730 WA2MCR        599 0086 VA7ST         599 0033
QSO: 14086 RY 2019-11-09 1744 WA2MCR        599 0087 W7VXS         599 0158
QSO: 14104 RY 2019-11-09 1748 WA2MCR        599 0088 LX/PA3DUU     599 0503
QSO: 21090 RY 2019-11-09 1833 WA2MCR        599 0089 N7NM          599 0197
QSO: 21090 RY 2019-11-09 1833 WA2MCR        599 0089 WN6K          599 0166
QSO: 21086 RY 2019-11-09 1835 WA2MCR        599 90 KH6ZM         599 268
QSO: 21087 RY 2019-11-09 1836 WA2MCR        599 0091 KD9MS         599 0155
QSO: 21091 RY 2019-11-09 1837 WA2MCR        599 0092 W7ZR          599 0304
QSO:  7042 RY 2019-11-09 1859 WA2MCR        599 0093 K2NV          599 0265
QSO:  7045 RY 2019-11-09 1904 WA2MCR        599 0094 K1SM          599 0298
QSO:  7047 RY 2019-11-09 1908 WA2MCR        599 0095 K4XL          599 0238
QSO:  7047 RY 2019-11-09 1912 WA2MCR        599 0095 K4GMH         599 0176
QSO:  7000 RY 2019-11-09 1920 WA2MCR        599 097 I4JED         599 0258
QSO:  7056 RY 2019-11-09 1929 WA2MCR        599 0100 OK1KSL        599 0678
QSO:  7060 RY 2019-11-09 1933 WA2MCR        599 0101 ON6NL         599 0209
QSO:  7060 RY 2019-11-09 1934 WA2MCR        599 0102 9A7T          599 0393
QSO:  7061 RY 2019-11-09 1939 WA2MCR        599 0103 S51A          599 0765
QSO:  7065 RY 2019-11-09 1945 WA2MCR        599 0104 LX7I          599 0778
QSO: 14086 RY 2019-11-09 1950 WA2MCR        599 0213 NN5O          599 0112
QSO: 14086 RY 2019-11-09 1954 WA2MCR        599 0107 K7VAP         599 0049
