START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: PG1R
CLUB:  
CONTEST: REF-SSB
CATEGORY: SINGLE-OP ALL LOW SSB
CLAIMED-SCORE: 19425
OPERATORS: PG1R
NAME: Ruud Ivens
CREATED-BY: N1MM Logger+ 1.0.6071.0
SOAPBOX: Rig TS590S barefoot; output to antenna on average 75Watts.
SOAPBOX: Antenna horizontal multiband dipole for 15 - 80m bands.
SOAPBOX: Marginal propagation on 15 an 20m bands. 
SOAPBOX: Nevertheless I enjoyed the contest in a relaxed way. Thanks!
QSO:  7184 PH 2017-02-25 1104 PG1R          59  0001   F6KMX         59  94       
QSO:  7181 PH 2017-02-25 1106 PG1R          59  0002   F6CLQ         59  89       
QSO:  7176 PH 2017-02-25 1110 PG1R          59  0003   F4FFH         59  50       
QSO:  7172 PH 2017-02-25 1114 PG1R          59  0004   F6KTL         59  79       
QSO:  7154 PH 2017-02-25 1117 PG1R          59  0005   F5AAR         59  49       
QSO:  7139 PH 2017-02-25 1127 PG1R          59  0006   F6BIA         59  91       
QSO:  7136 PH 2017-02-25 1128 PG1R          59  0007   TM2M          59  85       
QSO:  7128 PH 2017-02-25 1132 PG1R          59  0008   TM2F          59  02       
QSO:  7122 PH 2017-02-25 1135 PG1R          59  0009   F5OHM         59  36       
QSO:  7107 PH 2017-02-25 1138 PG1R          59  0010   TM1A          59  77       
QSO:  7098 PH 2017-02-25 1142 PG1R          59  0011   F4ENJ/P       59  53       
QSO:  7089 PH 2017-02-25 1151 PG1R          59  0012   F8EMH         59  54       
QSO:  7072 PH 2017-02-25 1154 PG1R          59  0013   F2YT          59  62       
QSO:  7061 PH 2017-02-25 1156 PG1R          59  0014   F6KJU         59  59       
QSO:  7050 PH 2017-02-25 1206 PG1R          59  0015   F8KOH         59  27       
QSO:  7196 PH 2017-02-25 1249 PG1R          59  0016   F4FSY         59  69       
QSO:  7163 PH 2017-02-25 1257 PG1R          59  0017   F8DFP         59  63       
QSO:  7156 PH 2017-02-25 1259 PG1R          59  0018   F6KQL         59  21       
QSO:  7135 PH 2017-02-25 1306 PG1R          59  0019   F4HTV         59  07       
QSO:  7120 PH 2017-02-25 1308 PG1R          59  0020   F4DNK         59  76       
QSO:  7115 PH 2017-02-25 1310 PG1R          59  0021   TM14WAP       59  42       
QSO:  7110 PH 2017-02-25 1312 PG1R          59  0022   F4HGF         59  89       
QSO:  7092 PH 2017-02-25 1315 PG1R          59  0023   F6FET         59  53       
QSO:  7083 PH 2017-02-25 1319 PG1R          59  0024   F6APE         59  49       
QSO:  7078 PH 2017-02-25 1320 PG1R          59  0025   F5UTN         59  27       
QSO:  7075 PH 2017-02-25 1321 PG1R          59  0026   F6KRK         59  78       
QSO:  7077 PH 2017-02-25 1331 PG1R          59  0027   F6AEW         59  53       
QSO:  7050 PH 2017-02-25 1339 PG1R          59  0028   F4FRC         59  69       
QSO:  7199 PH 2017-02-25 1422 PG1R          59  0029   F6GCT         59  77       
QSO:  7191 PH 2017-02-25 1424 PG1R          59  0030   F4GPB         59  83       
QSO:  7177 PH 2017-02-25 1429 PG1R          59  0031   F6KDL         59  68       
QSO:  7165 PH 2017-02-25 1433 PG1R          59  0032   F6CZQ         59  73       
QSO:  7161 PH 2017-02-25 1435 PG1R          59  0033   F6DZU         59  40       
QSO:  7152 PH 2017-02-25 1437 PG1R          59  0034   F8DSN         59  88       
QSO:  7141 PH 2017-02-25 1440 PG1R          59  0035   F6KAT         59  57       
QSO:  7138 PH 2017-02-25 1442 PG1R          59  0036   F6HRL         59  86       
QSO:  7131 PH 2017-02-25 1447 PG1R          59  0037   F5HIJ         59  33       
