START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.20.0
CONTEST: REF-SSB
LOCATION: 77
CALLSIGN: TM1A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 4887414
OPERATORS: F6DZS F5IYU F4GYM F4HKD F4HRB F4HFD F/IU0BMX F5NQL F4BDG F4AJQ F5GVA
CLUB: F6KOP
NAME: RC de PROVINS
CERTIFICATE: NO
SOAPBOX: 
RIG: Monobandes Filaires, verticales . Beverage et K9AY bandes basses. Beams
RIG: monobandes
RIG:  40 20 15 10. - FT-1000 et Pa's
QSO:  3733 PH 2017-02-25 0602 TM1A          59  77     TM2F          59  02    
QSO:  3733 PH 2017-02-25 0603 TM1A          59  77     F6KNB         59  33    
QSO:  3733 PH 2017-02-25 0604 TM1A          59  77     F5UTN         59  27    
QSO:  3642 PH 2017-02-25 0607 TM1A          59  77     F4HRI/P       59  62    
QSO:  3740 PH 2017-02-25 0607 TM1A          59  77     F4ENK         59  37    
QSO:  3740 PH 2017-02-25 0609 TM1A          59  77     F8KCF         59  74    
QSO:  3740 PH 2017-02-25 0613 TM1A          59  77     TM5OTT        59  37    
QSO:  7099 PH 2017-02-25 0614 TM1A          59  77     ZL4AU         59  002   
QSO:  3740 PH 2017-02-25 0614 TM1A          59  77     F6DMQ         59  06    
QSO:  7099 PH 2017-02-25 0614 TM1A          59  77     CT7ANH        59  004   
QSO:  3740 PH 2017-02-25 0615 TM1A          59  77     F6HQP         59  73    
QSO: 14124 PH 2017-02-25 0624 TM1A          59  77     YP0C          59  004   
QSO:  7099 PH 2017-02-25 0628 TM1A          59  77     IK0PKD/M      59  001   
QSO:  3735 PH 2017-02-25 0629 TM1A          59  77     F5JDH         59  03    
QSO:  3735 PH 2017-02-25 0629 TM1A          59  77     F6KGL         59  93    
QSO:  3735 PH 2017-02-25 0632 TM1A          59  77     F4HRG         59  44    
QSO:  3735 PH 2017-02-25 0632 TM1A          59  77     F4FRC         59  69    
QSO:  7099 PH 2017-02-25 0633 TM1A          59  77     IT9JJK        59  001   
QSO:  7099 PH 2017-02-25 0636 TM1A          59  77     FG5GP         59  FG    
QSO:  7099 PH 2017-02-25 0637 TM1A          59  77     FM5BH         59  FM    
QSO: 14219 PH 2017-02-25 0638 TM1A          59  77     RZ3Z          59  004   
QSO:  3778 PH 2017-02-25 0638 TM1A          59  77     F2FZ          59  47    
QSO: 14219 PH 2017-02-25 0638 TM1A          59  77     RA7A          59  004   
