START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-CW
CALLSIGN: RZ4AG
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: RZ4AG
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-CW CQWPX/cw/2017.
QSO:  7009 CW 2017-05-27 0151 RZ4AG         599 AK1W          599 295
QSO:  7028 CW 2017-05-27 0154 RZ4AG         599 0002 TI5W          599 0242
QSO:  7039 CW 2017-05-27 0154 RZ4AG         599 0003 ZF2DO         599 0204
QSO:  7047 CW 2017-05-27 0206 RZ4AG         599 0004 DL6KVA        599 0128
QSO:  7051 CW 2017-05-27 0214 RZ4AG         599 0005 YR5N          599 0090
QSO:  7037 CW 2017-05-27 0304 RZ4AG         599 006 EC2DX         599 0294
QSO: 14023 CW 2017-05-27 0648 RZ4AG         599 007 EC2DX         599 0570
QSO: 21030 CW 2017-05-27 1151 RZ4AG         599 008 EC2DX         599 0636
QSO: 14081 CW 2017-05-27 1152 RZ4AG         599 009 PS2T          599 0565
QSO: 21000 CW 2017-05-27 1153 RZ4AG         599 0010 PP5NY         599 0090
QSO: 21017 CW 2017-05-27 1159 RZ4AG         599 0011 YD4IRS        599 0134
QSO: 14018 CW 2017-05-27 1201 RZ4AG         599 012 JR2IOB        599 352
QSO: 14069 CW 2017-05-27 1217 RZ4AG         599 013 RC9M          599 005
QSO: 14069 CW 2017-05-27 1218 RZ4AG         599 0014 LZ5R          599 1316
QSO: 14069 CW 2017-05-27 1220 RZ4AG         599 15 RW0AJ         599 238
QSO: 14000 CW 2017-05-27 1221 RZ4AG         599 016 S54X          599 466
QSO: 14000 CW 2017-05-27 1222 RZ4AG         599 017 JG7EHM        599 014
QSO: 14069 CW 2017-05-27 1223 RZ4AG         599 0018 RD7T          599 0969
QSO: 14069 CW 2017-05-27 1224 RZ4AG         599 0020 UB6B          599 0713
QSO: 14069 CW 2017-05-27 1224 RZ4AG         599 0021 UT5C          599 0724
QSO: 14069 CW 2017-05-27 1225 RZ4AG         599 022 UN8PT         599 349
QSO: 14069 CW 2017-05-27 1225 RZ4AG         599 0023 YL2KO         599 0927
QSO: 14069 CW 2017-05-27 1226 RZ4AG         599 024 DH0GHU        599 0283
QSO: 14069 CW 2017-05-27 1227 RZ4AG         599 0026 RY7Y          599 1009
QSO: 14069 CW 2017-05-27 1227 RZ4AG         599 025 UR5LAM        599 638
QSO: 14000 CW 2017-05-27 1229 RZ4AG         599 027 RA9XSL        599 085
QSO: 14069 CW 2017-05-27 1229 RZ4AG         599 028 DF0WRTC       599 0854
QSO: 21003 CW 2017-05-27 1241 RZ4AG         599 0029 ZS4/OH1JD     599 0014
QSO: 21050 CW 2017-05-27 1245 RZ4AG         599 0030 PY2EYE        599 0085
QSO: 14000 CW 2017-05-27 1249 RZ4AG         599 031 DJ7AT         599 0410
QSO: 14001 CW 2017-05-27 1249 RZ4AG         599 0032 DF3AX         599 0395
QSO: 14000 CW 2017-05-27 1250 RZ4AG         599 033 SO4R          599 0871
QSO: 14000 CW 2017-05-27 1252 RZ4AG         599 036 US7IY         599 505
QSO: 14000 CW 2017-05-27 1253 RZ4AG         599 039 RW7F          599 964
QSO: 14001 CW 2017-05-27 1253 RZ4AG         599 0038 9A7A          599 1501
QSO: 14000 CW 2017-05-27 1254 RZ4AG         599 040 DH7TNO        599 0282
QSO: 14000 CW 2017-05-27 1254 RZ4AG         599 0041 S55T          599 0989
QSO: 14000 CW 2017-05-27 1255 RZ4AG         599 042 HG6C          599 296
QSO: 14000 CW 2017-05-27 1255 RZ4AG         599 44 OF3R          599 327
QSO: 14001 CW 2017-05-27 1255 RZ4AG         599 0043 E74Y          599 0327
QSO: 14001 CW 2017-05-27 1256 RZ4AG         599 0045 RO9A          599 0521
QSO: 14000 CW 2017-05-27 1257 RZ4AG         599 47 DL4JU         599 225
QSO: 14001 CW 2017-05-27 1257 RZ4AG         599 046 DL1ARJ        599 135
QSO: 14001 CW 2017-05-27 1258 RZ4AG         599 048 HA4YF         599 049
QSO: 14001 CW 2017-05-27 1258 RZ4AG         599 049 HA6NL         599 460
QSO: 14000 CW 2017-05-27 1259 RZ4AG         599 50 UX0HO         599 127
QSO: 14001 CW 2017-05-27 1259 RZ4AG         599 0051 UT8IT         599 0189
QSO: 14000 CW 2017-05-27 1300 RZ4AG         599 054 OE1PPA        599 033
QSO: 14001 CW 2017-05-27 1300 RZ4AG         599 0053 LZ8E          599 1056
QSO: 14001 CW 2017-05-27 1300 RZ4AG         599 0055 UT3UCP        599 0363
