START-OF-LOG: 3.0
CALLSIGN: ED1D
ARRL-SECTION: DX
CLUB: 
CONTEST: EA-PSK63
CATEGORY-BAND: ALL
CATEGORY-MODE: RTTY
CATEGORY: SINGLE-OP ALL
CATEGORY-POWER: 
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
OPERATORS: EC1D
NAME: Jesús Díaz Pérez
CLAIMED-SCORE: 16511
SOAPBOX: mi primera vez de psk.... ha estado entretenido....y auto aislado
CREATED-BY: WinURECon 4.11 (Windows 64 bits)
QSO:  7000 PS 2020-03-14 1636 ED1D          599      P EA7IP         599     SE 
QSO:  7000 PS 2020-03-14 1645 ED1D          599      P EA3DNC        599      B 
QSO:  7000 PS 2020-03-14 1646 ED1D          599      P EA3IAZ        599     GI 
QSO:  7000 PS 2020-03-14 1649 ED1D          599      P C37AC         599    009 
QSO:  7000 PS 2020-03-14 1652 ED1D          599      P PA4R          599    021 
QSO:  7000 PS 2020-03-14 1653 ED1D          599      P EA3EYO        599      B 
QSO:  7000 PS 2020-03-14 1657 ED1D          599      P EA4ZM         599     BA 
QSO:  7000 PS 2020-03-14 1700 ED1D          599      P CN8YZ         599    017 
QSO:  7000 PS 2020-03-14 1701 ED1D          599      P EA7BP         599     SE 
QSO:  7000 PS 2020-03-14 1702 ED1D          599      P DL4ME         599    033 
QSO:  7000 PS 2020-03-14 1705 ED1D          599      P EA7P          599     CA 
QSO:  7000 PS 2020-03-14 1707 ED1D          599      P EA6B          599     IB 
QSO:  7000 PS 2020-03-14 1709 ED1D          599      P EA2A          599     HU 
QSO:  7000 PS 2020-03-14 1710 ED1D          599      P LZ5K          599    057 
QSO:  7000 PS 2020-03-14 1711 ED1D          599      P C31MF         599    020 
QSO:  7000 PS 2020-03-14 1718 ED1D          599      P UT5EPP        599    053 
QSO:  7000 PS 2020-03-14 1720 ED1D          599      P SE4E          599    047 
QSO:  7000 PS 2020-03-14 1723 ED1D          599      P EC7AT         599     AL 
QSO:  7000 PS 2020-03-14 1728 ED1D          599      P EC5JC         599      A 
QSO:  7000 PS 2020-03-14 1729 ED1D          599      P EF5M          599      A 
QSO:  7000 PS 2020-03-14 1734 ED1D          599      P EA3X          599      B 
QSO:  7000 PS 2020-03-14 1735 ED1D          599      P EE5O          599     CS 
QSO: 14000 PS 2020-03-14 1742 ED1D          599      P UR2Y          599    063 
QSO: 14000 PS 2020-03-14 1753 ED1D          599      P I0GIA         599    036 
QSO: 14000 PS 2020-03-14 1756 ED1D          599      P DR7T          599    017 
QSO: 14000 PS 2020-03-14 1758 ED1D          599      P IN3FOI        599    021 
QSO:  7000 PS 2020-03-14 1854 ED1D          599      P EB3A          599      T 
QSO:  7000 PS 2020-03-14 1855 ED1D          599      P EA1BAF        599     OU 
QSO:  7000 PS 2020-03-14 1858 ED1D          599      P EA3HWE        599      B 
QSO:  7000 PS 2020-03-14 1901 ED1D          599      P EA3CS         599      B 
QSO:  7000 PS 2020-03-14 1903 ED1D          599      P G3SNUR        599    062 
QSO:  7000 PS 2020-03-14 1904 ED1D          599      P EA5EX         599     MU 
QSO:  7000 PS 2020-03-14 1906 ED1D          599      P EA3F          599     LL 
QSO:  7000 PS 2020-03-14 1912 ED1D          599      P EA7KI         599     MA 
QSO:  7000 PS 2020-03-14 1917 ED1D          599      P EA3HXB        599      B 
QSO:  7000 PS 2020-03-14 1927 ED1D          599      P EA4GZD        599     CR 
QSO:  7000 PS 2020-03-14 1932 ED1D          599      P EA5ASU        599      A 
QSO:  3500 PS 2020-03-14 1947 ED1D          599      P EB1TR         599      O 
QSO:  3500 PS 2020-03-14 1953 ED1D          599      P EA4Z          599      M 
QSO:  3500 PS 2020-03-14 1954 ED1D          599      P EA7DUT        599     CO 
QSO:  3500 PS 2020-03-14 1955 ED1D          599      P EA7P          599     CA 
QSO:  3500 PS 2020-03-14 1957 ED1D          599      P EA7HS         599     CO 
QSO:  3500 PS 2020-03-14 2022 ED1D          599      P EA1G          599      O 
QSO:  3500 PS 2020-03-14 2023 ED1D          599      P OO3O          599    165 
QSO:  3500 PS 2020-03-14 2030 ED1D          599      P EA2ASB        599     BI 
QSO:  3500 PS 2020-03-14 2034 ED1D          599      P EA4GOY        599     TO 
QSO:  3500 PS 2020-03-14 2047 ED1D          599      P EA7KI         599     MA 
QSO:  3500 PS 2020-03-14 2049 ED1D          599      P EA3HWE        599      B 
QSO:  3500 PS 2020-03-14 2051 ED1D          599      P EE5O          599     CS 
QSO:  3500 PS 2020-03-14 2053 ED1D          599      P DL4ME         599    136 
QSO:  3500 PS 2020-03-14 2054 ED1D          599      P EA3GP         599      T 
QSO:  3500 PS 2020-03-14 2055 ED1D          599      P DL5RK         599    115 
QSO:  3500 PS 2020-03-14 2056 ED1D          599      P G1P           599    096 
QSO:  3500 PS 2020-03-14 2057 ED1D          599      P OK3X          599    078 
QSO:  3500 PS 2020-03-14 2109 ED1D          599      P EA1TL         599     AV 
