START-OF-LOG: 2.0
CATEGORY: Portable, single operator, low power, non-assisted
CONTEST: FD SSB
CALLSIGN: SP7FLL/P
LOCATOR:
PROVINCE:
CLAIMED-SCORE: 0
CREATED-BY: Cabrillo_gen v.2.2.0 - (c) SP7DQR, modified by DXHF upload.
QSO:  7000 PH 2025-09-07 0655 SP7FLL/P      59            1 DK0RZ/P       59          611
QSO:  7000 PH 2025-09-07 0655 SP7FLL/P      59            2 DH1O/P        59          769
QSO:  7000 PH 2025-09-07 0700 SP7FLL/P      59            3 DL5L/P        59          452
QSO:  7000 PH 2025-09-07 0702 SP7FLL/P      59            4 OE4C/P        59          753
QSO:  7000 PH 2025-09-07 0706 SP7FLL/P      59            5 DK0OD/P       59          451
QSO:  7000 PH 2025-09-07 0711 SP7FLL/P      59            6 ON4RAT/P      59          545
QSO:  7000 PH 2025-09-07 0713 SP7FLL/P      59            7 DK0MM/P       59         1012
QSO:  7000 PH 2025-09-07 0719 SP7FLL/P      59            8 OP6A/P        59          929
QSO:  7000 PH 2025-09-07 0721 SP7FLL/P      59            9 OT5X/P        59          567
QSO:  7000 PH 2025-09-07 0724 SP7FLL/P      59           10 DK2R/P        59          463
QSO:  7000 PH 2025-09-07 0741 SP7FLL/P      59           11 DL0GE         59          442
QSO:  7000 PH 2025-09-07 0752 SP7FLL/P      59           12 DK1A/P        59          329
QSO:  7000 PH 2025-09-07 0754 SP7FLL/P      59           13 ON5LL/P       59          547
QSO:  7000 PH 2025-09-07 0756 SP7FLL/P      59           14 OK1LRD/P      59          333
QSO:  7000 PH 2025-09-07 0759 SP7FLL/P      59           15 DM3W/P        59          661
QSO:  7000 PH 2025-09-07 0804 SP7FLL/P      59           16 DL0TWK/P      59          201
QSO:  7000 PH 2025-09-07 0809 SP7FLL/P      59           17 DP6C/P        59          455
QSO:  7000 PH 2025-09-07 0811 SP7FLL/P      59           18 DK0FR/P       59          686
QSO:  7000 PH 2025-09-07 0823 SP7FLL/P      59           19 G8SRC/P       59          747
QSO:  7000 PH 2025-09-07 0830 SP7FLL/P      59           20 DP6M/P        59          657
