START-OF-LOG: 3.0
CATEGORY: Portable, multi operator, low power, assisted
CONTEST: FD SSB
SPECIFIC: T19
CALLSIGN: DK0CN/P
OPERATORS: DL2MHO DL1MRA DC1MPS DL1MTV DM7WL DL1MEF DL8MAS DG5DJ DC1SMB DL1MTM
CLAIMED-SCORE: 125460
CREATED-BY: UcxLog 8.44, modified by DXHF upload.
GRID-LOCATOR: JN58LI
QSO: 14000 PH 2025-09-06 1308 DK0CN/P       59  001    LA5LDX/P      59  009
QSO: 14000 PH 2025-09-06 1316 DK0CN/P       59  002    YU5R          59  019
QSO: 14000 PH 2025-09-06 1318 DK0CN/P       59  003    RC1CI         59  028
QSO: 14000 PH 2025-09-06 1319 DK0CN/P       59  004    GM2T/P        59  027
QSO: 14000 PH 2025-09-06 1334 DK0CN/P       59  005    IZ7FLP/P      59  054
QSO: 14000 PH 2025-09-06 1335 DK0CN/P       59  006    DF0A/P         59  009
QSO: 14000 PH 2025-09-06 1339 DK0CN/P       59  007    R1CI          59  077
QSO: 14000 PH 2025-09-06 1345 DK0CN/P       59  008    EI3Z/P        59  035
QSO: 14000 PH 2025-09-06 1346 DK0CN/P       59  009    SV3VM         59  035
QSO: 14000 PH 2025-09-06 1350 DK0CN/P       59  010    LA1K/P        59  96
QSO: 14000 PH 2025-09-06 1354 DK0CN/P       59  011    OH2KW         59  000
QSO: 14000 PH 2025-09-06 1358 DK0CN/P       59  012    EC5SP         59  009
QSO: 14000 PH 2025-09-06 1401 DK0CN/P       59  013    LA1QRO/P      59  044
QSO: 14000 PH 2025-09-06 1418 DK0CN/P       59  014    M0TSL/P       59  138
QSO:  7000 PH 2025-09-06 1426 DK0CN/P       59  015    DL0LA/P       59  054
QSO:  7000 PH 2025-09-06 1430 DK0CN/P       59  016    DM5M/P        59  043
QSO:  7000 PH 2025-09-06 1431 DK0CN/P       59  017    OR5NR/P       59  84
QSO:  7000 PH 2025-09-06 1435 DK0CN/P       59  018    ON4RAC/P      59  040
QSO:  7000 PH 2025-09-06 1438 DK0CN/P       59  019    OT2L/P        59  113
QSO:  7000 PH 2025-09-06 1440 DK0CN/P       59  020    ON4PHI/P      59  036
QSO:  7000 PH 2025-09-06 1442 DK0CN/P       59  021    DL6A/P        59  104
QSO:  7000 PH 2025-09-06 1447 DK0CN/P       59  022    OQ2A/P        59  049
QSO:  7000 PH 2025-09-06 1451 DK0CN/P       59  023    OK1LRD/P      59  061
QSO:  7000 PH 2025-09-06 1451 DK0CN/P       59  024    DL0LN/P       59  047
QSO:  7000 PH 2025-09-06 1454 DK0CN/P       59  025    SP6STAR/P     59  080
QSO:  7000 PH 2025-09-06 1455 DK0CN/P       59  026    DL0LI/P       59  052
QSO:  7000 PH 2025-09-06 1459 DK0CN/P       59  027    DL0TE/P       59  62
QSO:  7000 PH 2025-09-06 1504 DK0CN/P       59  028    DK0HR/P       59  131
QSO:  7000 PH 2025-09-06 1505 DK0CN/P       59  029    DP6T          59  095
QSO:  7000 PH 2025-09-06 1508 DK0CN/P       59  030    DP6M/P        59  059
QSO:  7000 PH 2025-09-06 1510 DK0CN/P       59  031    DK8K/P        59  140
QSO:  7000 PH 2025-09-06 1511 DK0CN/P       59  032    OK1KDA/P      59  151
QSO:  7000 PH 2025-09-06 1512 DK0CN/P       59  033    DL0HN/P       59  076
QSO:  7000 PH 2025-09-06 1520 DK0CN/P       59  034    DF0T/P        59  032
QSO: 28000 PH 2025-09-06 1528 DK0CN/P       59  035    9J2FI/P       59  244
QSO: 28000 PH 2025-09-06 1530 DK0CN/P       59  036    4Z5ML         59  000
QSO: 14000 PH 2025-09-06 1533 DK0CN/P       59  037    CT7BOD        59  118
QSO:  7000 PH 2025-09-06 1555 DK0CN/P       59  038    DK2A/P        59  153
QSO:  7000 PH 2025-09-06 1557 DK0CN/P       59  039    DL0FD/P       59  139
QSO:  7000 PH 2025-09-06 1559 DK0CN/P       59  040    HB9LU/P       59  220
QSO:  7000 PH 2025-09-06 1600 DK0CN/P       59  041    OP6A/P        59  258
QSO:  7000 PH 2025-09-06 1602 DK0CN/P       59  042    DM3F/P        59  124
QSO:  7000 PH 2025-09-06 1609 DK0CN/P       59  043    DM3C/P        59  155
QSO:  7000 PH 2025-09-06 1614 DK0CN/P       59  044    S52WW         59  237
QSO:  7000 PH 2025-09-06 1615 DK0CN/P       59  045    DL0LK/P       59  175
QSO:  7000 PH 2025-09-06 1620 DK0CN/P       59  046    OE4C/P        59  164
QSO:  7000 PH 2025-09-06 1624 DK0CN/P       59  047    DM3W/P        59  091
QSO:  7000 PH 2025-09-06 1642 DK0CN/P       59  048    DK0FR/P       59  149
QSO:  7000 PH 2025-09-06 1645 DK0CN/P       59  049    DH1O/P        59  123
QSO:  7000 PH 2025-09-06 1648 DK0CN/P       59  050    IZ1DGG        59  171
QSO:  7000 PH 2025-09-06 1654 DK0CN/P       59  051    DK0MR/P       59  061
QSO:  7000 PH 2025-09-06 1701 DK0CN/P       59  052    IW0HLZ        59  145
QSO:  7000 PH 2025-09-06 1704 DK0CN/P       59  053    M0TSL/P       59  307
QSO:  7000 PH 2025-09-06 1706 DK0CN/P       59  054    DL0DK/P       59  075
QSO: 14000 PH 2025-09-06 1714 DK0CN/P       59  055    LA4O/P        59  060
QSO: 14000 PH 2025-09-06 1717 DK0CN/P       59  056    E2A           59  000
QSO: 14000 PH 2025-09-06 1720 DK0CN/P       59  057    UA9BA         59  000
QSO: 14000 PH 2025-09-06 1722 DK0CN/P       59  058    UP4L          59  000
QSO:  7000 PH 2025-09-06 1726 DK0CN/P       59  059    DF0M/P        59  103
QSO:  7000 PH 2025-09-06 1734 DK0CN/P       59  060    DL0WB/P       59  052
QSO:  7000 PH 2025-09-06 1738 DK0CN/P       59  061    OU7M/P        59  024
QSO:  7000 PH 2025-09-06 1739 DK0CN/P       59  062    GM2T/P        59  194
QSO:  7000 PH 2025-09-06 1742 DK0CN/P       59  063    DR7B/P        59  140
QSO: 14000 PH 2025-09-06 1745 DK0CN/P       59  064    EG1DDA        57  000
QSO: 14000 PH 2025-09-06 1749 DK0CN/P       59  065    RW1F          59  000
QSO:  7000 PH 2025-09-06 1812 DK0CN/P       59  066    OU7K/P        59  341
QSO:  7000 PH 2025-09-06 1815 DK0CN/P       59  067    LA1K/P        59  144
QSO: 14000 PH 2025-09-06 1817 DK0CN/P       59  068    A41CK         59  000
QSO:  7000 PH 2025-09-06 1825 DK0CN/P       59  069    RA9Y          59  000
QSO:  7000 PH 2025-09-06 1838 DK0CN/P       59  070    DP6C/P        59  203
QSO:  7000 PH 2025-09-06 1843 DK0CN/P       59  071    DL0CS/P       59  158
QSO:  7000 PH 2025-09-06 1853 DK0CN/P       59  072    G6SRC/P       59  236
QSO:  7000 PH 2025-09-06 1901 DK0CN/P       59  073    M0DX/P        59  169
QSO:  7000 PH 2025-09-06 1906 DK0CN/P       59  074    DF0VK/P       59  170
QSO: 14000 PH 2025-09-06 1916 DK0CN/P       59  075    5B4NC/P       59  320
QSO: 14000 PH 2025-09-06 1919 DK0CN/P       59  076    TA4A          59  042
QSO: 14000 PH 2025-09-06 1923 DK0CN/P       59  077    4X1IM         59  078
QSO: 14000 PH 2025-09-06 1928 DK0CN/P       59  078    9J2FI/P       59  575
QSO: 14000 PH 2025-09-06 1934 DK0CN/P       59  079    EG3SDC        59  000
QSO: 14000 PH 2025-09-06 1939 DK0CN/P       59  080    4L2M          59  60
QSO:  3500 PH 2025-09-06 1943 DK0CN/P       59  081    DK0HR/P       59  244
QSO:  3500 PH 2025-09-06 1945 DK0CN/P       59  082    DK2A/P        59  250
