START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: AC0C
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: AC0C
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2022.
QSO: 28024 CW 2022-12-10 1858 AC0C          599 KS CX5A          599 1069
QSO: 28053 CW 2022-12-10 1858 AC0C          599 KS W6NV          599 CA
QSO: 28000 CW 2022-12-10 1859 AC0C          599 KS PY3TD         599 273
QSO: 28014 CW 2022-12-10 1859 AC0C          599 KS K9OM          599 FL
QSO: 28033 CW 2022-12-10 1900 AC0C          599 KS HK1MW         599 600
QSO: 28026 CW 2022-12-10 1901 AC0C          599 KS ZF5T          599 1178
QSO: 28065 CW 2022-12-10 1901 AC0C          599 KS VE7XF         599 BC
QSO: 28019 CW 2022-12-10 1902 AC0C          599 KS LU6D          599 0250
QSO: 28017 CW 2022-12-10 1904 AC0C          599 KS 6Y6N          599 0079
QSO: 28031 CW 2022-12-10 1904 AC0C          599 KS K5PI          599 TX
QSO: 28040 CW 2022-12-10 1904 AC0C          599 KS KH6AQ         599 HI
QSO: 28059 CW 2022-12-10 1905 AC0C          599 KS N0AT          599 MN
QSO: 28006 CW 2022-12-10 1906 AC0C          599 KS K5CM          599 OK
QSO: 28007 CW 2022-12-10 1906 AC0C          599 KS K9CT          599 IL
QSO: 28009 CW 2022-12-10 1907 AC0C          599 KS WT9Q          599 WI
QSO: 28029 CW 2022-12-10 1908 AC0C          599 KS K5EK          599 NC
QSO: 28061 CW 2022-12-10 1908 AC0C          599 KS KP4/KO1A      599 822
QSO: 28063 CW 2022-12-10 1908 AC0C          599 KS K2PS          599 FL
QSO: 28044 CW 2022-12-10 1909 AC0C          599 KS K7RI          599 WA
QSO: 28056 CW 2022-12-10 1909 AC0C          599 KS FY5KE         599 1661
