START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: K5GA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K5GA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2022.
QSO: 28014 CW 2022-12-10 1448 K5GA          599 TX DJ5MW         599 380
QSO: 28045 CW 2022-12-10 1451 K5GA          599 TX IK2PFL        599 0546
QSO: 28051 CW 2022-12-10 1452 K5GA          599 TX I5MXX         599 0347
QSO: 28065 CW 2022-12-10 1453 K5GA          599 TX EB5A          599 590
QSO: 28096 CW 2022-12-10 1456 K5GA          599 TX PR1T          599 243
QSO: 28070 CW 2022-12-10 1457 K5GA          599 TX VE9AA         599 NB
QSO: 28082 CW 2022-12-10 1457 K5GA          599 TX IZ8EPX        599 0374
QSO: 28066 CW 2022-12-10 1458 K5GA          599 TX VE3AT         599 ON
QSO: 28080 CW 2022-12-10 1624 K5GA          599 TX K2SX          599 SC
QSO: 28096 CW 2022-12-10 1625 K5GA          599 TX VA3AR         599 ON
QSO: 28083 CW 2022-12-10 1626 K5GA          599 TX W7TVC         599 OR
QSO: 28054 CW 2022-12-10 1627 K5GA          599 TX VE3VN         599 ON
QSO: 28073 CW 2022-12-10 1627 K5GA          599 TX N5CR          599 WA
QSO: 28000 CW 2022-12-10 1629 K5GA          599 TX K1EEE         599 VA
QSO: 28041 CW 2022-12-10 1630 K5GA          599 TX K3CY          599 PA
QSO: 28036 CW 2022-12-10 1631 K5GA          599 TX W2RQ          599 NJ
QSO: 28039 CW 2022-12-10 1631 K5GA          599 TX K3AJ          599 MD
QSO: 28031 CW 2022-12-10 1633 K5GA          599 TX NX3Z          599 MD
QSO: 28008 CW 2022-12-10 1635 K5GA          599 TX W3BGN         599 PA
QSO: 28009 CW 2022-12-10 1635 K5GA          599 TX N3QE          599 MD
QSO: 28002 CW 2022-12-10 1636 K5GA          599 TX KU1CW         599 OR
QSO: 28001 CW 2022-12-10 1637 K5GA          599 TX KV2K          599 NJ
QSO: 28010 CW 2022-12-10 1638 K5GA          599 TX KR2Q          599 NJ
QSO: 28016 CW 2022-12-10 1639 K5GA          599 TX WX3B          599 MD
QSO: 28020 CW 2022-12-10 1639 K5GA          599 TX W1KM          599 MA
QSO: 28023 CW 2022-12-10 1639 K5GA          599 TX AB3CX         599 NY
QSO: 28042 CW 2022-12-10 1643 K5GA          599 TX K1LZ          599 ME
QSO: 28048 CW 2022-12-10 1648 K5GA          599 TX W1QK          599 CT
QSO: 28054 CW 2022-12-10 1649 K5GA          599 TX VE5SF         599 SK
QSO: 28054 CW 2022-12-10 1649 K5GA          599 TX W7FN          599 WA
QSO: 28055 CW 2022-12-10 1650 K5GA          599 TX N1DC          599 MA
QSO: 28062 CW 2022-12-10 1652 K5GA          599 TX N6ZFO         599 CA
QSO: 28065 CW 2022-12-10 1652 K5GA          599 TX K1XM          599 MA
QSO: 28088 CW 2022-12-10 1714 K5GA          599 TX VE6BBP        599 AB
QSO: 28090 CW 2022-12-10 1714 K5GA          599 TX K7SS          599 WA
QSO: 28088 CW 2022-12-10 1715 K5GA          599 TX KP4/NM2O      599 339
QSO: 28087 CW 2022-12-10 1716 K5GA          599 TX LU4HK         599 67
QSO: 28082 CW 2022-12-10 1717 K5GA          599 TX VA7DX         599 BC
QSO: 28050 CW 2022-12-10 1718 K5GA          599 TX KP4/KO1A      599 686
QSO: 28065 CW 2022-12-10 1718 K5GA          599 TX VE4GV         599 MB
QSO: 28049 CW 2022-12-10 1719 K5GA          599 TX W7VJ          599 WA
QSO: 28047 CW 2022-12-10 1720 K5GA          599 TX K7ZS          599 OR
QSO: 28000 CW 2022-12-10 1721 K5GA          599 TX KA2MGE        599 NY
QSO: 28029 CW 2022-12-10 1724 K5GA          599 TX VE5UF         599 SK
QSO: 28015 CW 2022-12-10 1725 K5GA          599 TX KQ7I          599 OR
QSO: 28015 CW 2022-12-10 1725 K5GA          599 TX VE3YT         599 ON
QSO: 28014 CW 2022-12-10 1726 K5GA          599 TX VE3NRT        599 ON
QSO: 28006 CW 2022-12-10 1727 K5GA          599 TX NC1CC         599 RI
QSO: 28007 CW 2022-12-10 1727 K5GA          599 TX K1RM          599 CT
QSO: 28000 CW 2022-12-10 1729 K5GA          599 TX K1VUT         599 MA
QSO: 28003 CW 2022-12-10 1729 K5GA          599 TX N9NC          599 NH
QSO: 28009 CW 2022-12-10 1730 K5GA          599 TX WW5W          599 TX
QSO: 28015 CW 2022-12-10 1732 K5GA          599 TX VE1ZA         599 NS
QSO: 28018 CW 2022-12-10 1733 K5GA          599 TX KP2M          599 850
QSO: 28019 CW 2022-12-10 1738 K5GA          599 TX VA2EBI        599 QC
QSO: 28020 CW 2022-12-10 2036 K5GA          599 TX WJ9B          599 ID
QSO: 28018 CW 2022-12-10 2037 K5GA          599 TX K1IB          599 VT
QSO: 28011 CW 2022-12-10 2038 K5GA          599 TX W0YK          599 CA
QSO: 28013 CW 2022-12-10 2038 K5GA          599 TX N2MM          599 NJ
QSO: 28015 CW 2022-12-10 2038 K5GA          599 TX NO6T          599 CA
QSO: 28008 CW 2022-12-10 2040 K5GA          599 TX KH6TU         599 HI
QSO: 28007 CW 2022-12-10 2042 K5GA          599 TX K9CT          599 IL
QSO: 28000 CW 2022-12-10 2043 K5GA          599 TX CO8NMN        599 352
QSO: 28065 CW 2022-12-10 2046 K5GA          599 TX K1JB          599 ME
QSO: 28073 CW 2022-12-10 2046 K5GA          599 TX VE3TM         599 ON
QSO: 28061 CW 2022-12-10 2047 K5GA          599 TX KB1W          599 MA
QSO: 28063 CW 2022-12-10 2047 K5GA          599 TX N7PI          599 ID
QSO: 28000 CW 2022-12-10 2049 K5GA          599 TX PY3TD         599 308
QSO: 28047 CW 2022-12-10 2050 K5GA          599 TX W2XL          599 NY
QSO: 28042 CW 2022-12-10 2051 K5GA          599 TX K6SRZ         599 CA
QSO: 28045 CW 2022-12-10 2051 K5GA          599 TX AA6PW         599 CA
QSO: 28083 CW 2022-12-10 2053 K5GA          599 TX KG7CW         599 ID
QSO: 28072 CW 2022-12-10 2054 K5GA          599 TX KS1J          599 RI
