START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: WM6Y
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WM6Y
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2022.
QSO: 28011 CW 2022-12-10 0007 WM6Y          599 CA VK4SN         599 14
QSO: 28040 CW 2022-12-10 0013 WM6Y          599 CA K6ZH          599 CA
QSO: 28004 CW 2022-12-10 0015 WM6Y          599 CA NO6T          599 CA
QSO: 28403 PH 2022-12-10 0016 WM6Y          59 CA NO6T          59 CA
QSO: 28034 CW 2022-12-10 0022 WM6Y          599 CA N7VM          599 CA
QSO: 28457 PH 2022-12-10 0036 WM6Y          59 CA VJ4T          59 83
QSO: 28495 PH 2022-12-10 0039 WM6Y          59 CA VL4R          59 44
QSO: 28000 PH 2022-12-10 0040 WM6Y          59 CA VK2GGC        59 090
QSO: 28059 CW 2022-12-10 0044 WM6Y          599 CA VK4DX         599 56
QSO: 28014 CW 2022-12-10 0435 WM6Y          599 CA K4AB          599 AL
QSO: 28000 CW 2022-12-10 0436 WM6Y          599 CA W9RE          599 IN
QSO: 28032 CW 2022-12-10 0437 WM6Y          599 CA K5PI          599 TX
QSO: 28041 CW 2022-12-10 0438 WM6Y          599 CA KU9R          599 IN
QSO: 28039 CW 2022-12-10 0443 WM6Y          599 CA N4KH          599 AL
QSO: 28039 CW 2022-12-10 0444 WM6Y          599 CA K4FJW         599 VA
QSO: 28039 CW 2022-12-10 0450 WM6Y          599 CA AD4EB         599 TN
QSO: 28039 CW 2022-12-10 0457 WM6Y          599 CA K7NXL         599 WA
QSO: 28039 CW 2022-12-10 0458 WM6Y          599 CA KJ6JUS        599 CA
QSO: 28038 CW 2022-12-10 0514 WM6Y          599 CA NG7M          599 UT
QSO: 28044 CW 2022-12-10 1440 WM6Y          599 CA K2SX          599 SC
QSO: 28059 CW 2022-12-10 1442 WM6Y          599 CA K0LUZ         599 FL
QSO: 28060 CW 2022-12-10 1443 WM6Y          599 CA N2NL          599 FL
QSO: 28003 CW 2022-12-10 1447 WM6Y          599 CA N3QE          599 MD
QSO: 28002 CW 2022-12-10 1450 WM6Y          599 CA KP4/NM2O      599 131
QSO: 28005 CW 2022-12-10 1455 WM6Y          599 CA W4MYA         599 VA
QSO: 28007 CW 2022-12-10 1455 WM6Y          599 CA N4CW          599 NC
QSO: 28014 CW 2022-12-10 1457 WM6Y          599 PA K2NV          599 NY
QSO: 28018 CW 2022-12-10 1458 WM6Y          599 CA N4SS          599 KY
QSO: 28547 PH 2022-12-10 1503 WM6Y          59 CA K3DNE         59 SC
QSO: 28049 CW 2022-12-11 1430 WM6Y          599 CA VA3DF         599 ON
QSO: 28057 CW 2022-12-11 1431 WM6Y          599 CA K3EL          599 VA
QSO: 28058 CW 2022-12-11 1432 WM6Y          599 CA N3AD          599 PA
QSO: 28059 CW 2022-12-11 1433 WM6Y          599 CA WA4JUK        599 VA
QSO: 28041 CW 2022-12-11 1447 WM6Y          599 CA KP4/K2IN      599 734
QSO: 28048 CW 2022-12-11 1607 WM6Y          599 CA N8OO          599 LA
QSO: 28004 CW 2022-12-11 1616 WM6Y          599 CA N8EA          599 MI
QSO: 28008 CW 2022-12-11 1618 WM6Y          599 CA VE2FK         599 QC
QSO: 28011 CW 2022-12-11 1621 WM6Y          599 CA VE3JM         599 ON
QSO: 28013 CW 2022-12-11 1621 WM6Y          599 CA N4OGW         599 MS
QSO: 28060 CW 2022-12-11 1628 WM6Y          599 CA KK0U          599 MO
QSO: 28059 CW 2022-12-11 1629 WM6Y          599 CA EA8CN         599 289
QSO: 28060 CW 2022-12-11 1630 WM6Y          599 CA K2YAZ         599 MI
QSO: 28060 CW 2022-12-11 1631 WM6Y          599 CA W3MA          599 PA
QSO: 28000 CW 2022-12-11 1632 WM6Y          599 CA K6RO          599 CA
QSO: 28060 CW 2022-12-11 1633 WM6Y          599 CA K3JT          599 WV
QSO: 28060 CW 2022-12-11 1633 WM6Y          599 CA W9FFA         599 IN
QSO: 28060 CW 2022-12-11 1634 WM6Y          599 CA WA9LEY        599 IL
QSO: 28060 CW 2022-12-11 1634 WM6Y          599 CA WT3K          599 MD
QSO: 28060 CW 2022-12-11 1635 WM6Y          599 CA AJ4F          599 TX
QSO: 28060 CW 2022-12-11 1637 WM6Y          599 CA NS3T          599 MD
QSO: 28060 CW 2022-12-11 1638 WM6Y          599 CA AF8A          599 OH
QSO: 28000 CW 2022-12-11 1639 WM6Y          599 CA NR8I          599 OH
QSO: 28060 CW 2022-12-11 1639 WM6Y          599 CA AC5O          599 LA
QSO: 28060 CW 2022-12-11 1639 WM6Y          599 CA K5GQ          599 TX
QSO: 28060 CW 2022-12-11 1640 WM6Y          599 CA K0SN          599 MT
QSO: 28060 CW 2022-12-11 1640 WM6Y          599 CA K8DSS         599 MI
QSO: 28060 CW 2022-12-11 1643 WM6Y          599 CA W9QL          599 IL
QSO: 28060 CW 2022-12-11 1644 WM6Y          599 CA KX9RT         599 WI
QSO: 28060 CW 2022-12-11 1644 WM6Y          599 CA W9PDS         599 IL
QSO: 28060 CW 2022-12-11 1645 WM6Y          599 CA W6GMT         599 MN
QSO: 28060 CW 2022-12-11 1645 WM6Y          599 CA WD6T          599 CA
QSO: 28059 CW 2022-12-11 1647 WM6Y          599 CA AA8CA         599 OH
QSO: 28059 CW 2022-12-11 1650 WM6Y          599 CA K9PW          599 IL
QSO: 28059 CW 2022-12-11 1652 WM6Y          599 CA K1LZ          599 ME
QSO: 28059 CW 2022-12-11 1653 WM6Y          599 CA WA0LIF        599 MN
QSO: 28059 CW 2022-12-11 1654 WM6Y          599 CA VE3EY         599 ON
QSO: 28060 CW 2022-12-11 1654 WM6Y          599 CA N4NA          599 TN
QSO: 28000 PH 2022-12-11 1700 WM6Y          59 CA AD4XT         59 GA
QSO: 28594 PH 2022-12-11 1703 WM6Y          59 CA N9ATF         59 IL
QSO: 28594 PH 2022-12-11 1704 WM6Y          59 CA W9VTD         59 IL
QSO: 28594 PH 2022-12-11 1705 WM6Y          59 CA WN8Y          59 TN
QSO: 28594 PH 2022-12-11 1707 WM6Y          59 CA K9NW          59 IN
QSO: 28001 CW 2022-12-11 1938 WM6Y          599 CA KN7T          599 WA
QSO: 28003 CW 2022-12-11 1938 WM6Y          599 CA K9CT          599 IL
QSO: 28006 CW 2022-12-11 1939 WM6Y          599 CA K1RM          599 CT
QSO: 28000 CW 2022-12-11 1940 WM6Y          599 CA K1VUT         599 MA
QSO: 28006 CW 2022-12-11 1940 WM6Y          599 CA K7SS          599 WA
QSO: 28008 CW 2022-12-11 1940 WM6Y          599 CA VA7ST         599 BC
QSO: 28008 CW 2022-12-11 1941 WM6Y          599 CA KW9E          599 WI
QSO: 28010 CW 2022-12-11 1943 WM6Y          599 CA N5XZ          599 TX
