START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: XE2JA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: XE2JA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2022.
QSO: 28480 PH 2022-12-10 1338 XE2JA         59 CHH TI5VMJ        59 175
QSO: 28000 PH 2022-12-10 1341 XE2JA         59 CHH TI1T          59 205
QSO: 28537 PH 2022-12-10 1342 XE2JA         59 CHH PJ4DX         59 355
QSO: 28567 PH 2022-12-10 1344 XE2JA         59 CHH LO7H          59 85
QSO: 28607 PH 2022-12-10 1345 XE2JA         59 CHH W5PR          59 TX
QSO: 28365 PH 2022-12-10 1353 XE2JA         59 CHH TI1K          59 343
QSO: 28544 PH 2022-12-10 1415 XE2JA         59 CHH N1PGA         59 MA
QSO: 28468 PH 2022-12-10 1432 XE2JA         59 CHH TM4K          59 396
QSO: 28513 PH 2022-12-10 1439 XE2JA         59 CHH F5VKT         59 252
QSO: 28524 PH 2022-12-10 1440 XE2JA         59 CHH F5LIW         59 187
QSO: 28560 PH 2022-12-10 1442 XE2JA         59 CHH F4KJN         59 187
QSO: 28565 PH 2022-12-10 1442 XE2JA         59 CHH N3FZ          59 MD
QSO: 28000 PH 2022-12-10 1446 XE2JA         59 CHH WA2JQK        59 NY
QSO: 28590 PH 2022-12-10 1446 XE2JA         59 CHH WA3LXD        59 FL
QSO: 28000 PH 2022-12-10 1450 XE2JA         59 CHH KM4LPW        59 FL
QSO: 28590 PH 2022-12-10 1451 XE2JA         59 CHH W3FR          59 MD
QSO: 28590 PH 2022-12-10 1452 XE2JA         59 CHH IU4NGP        59 0015
QSO: 28000 PH 2022-12-10 1453 XE2JA         59 CHH W2REA         59 NY
QSO: 28590 PH 2022-12-10 1453 XE2JA         59 CHH VA3GKO        59 ON
QSO: 28590 PH 2022-12-10 1500 XE2JA         59 CHH DL7BC         59 276
QSO: 28000 PH 2022-12-10 1503 XE2JA         59 CHH J79WTA        59 106
