START-OF-LOG: 3.0
CALLSIGN: PA1B
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 53464
CREATED-BY: Bert V10.72C
NAME: Bert Kruyswijk
OPERATORS: PA1B
SOAPBOX:       I had great fun with QRP and QRPp, with a FT-817 and an Inverted Vee.
SOAPBOX:       As a milliwatt enthusiast I often use the lowest possible power in each QSO.
SOAPBOX:       Power: 2.7 W down to 18 mW with an additional attenuator of 10 dB or 20 dB.
SOAPBOX:       I made 100 QSO's with "more than 1000 Miles per Watt" with search and pounce.
SOAPBOX:       Total 192 QSO's. About the same number of QSO as last year. Hi
SOAPBOX:       Thank you for the activity in this king size contest.
QSO: 14000 CW 2012-05-26 0753 PA1B          599  001   NR4M          599  773
QSO: 14000 CW 2012-05-26 0757 PA1B          599  002   SO2R          599  712
QSO: 14000 CW 2012-05-26 0818 PA1B          599  003   LZ5W          599  642
QSO: 14000 CW 2012-05-26 0819 PA1B          599  004   OM0WR         599  453
QSO: 14000 CW 2012-05-26 0821 PA1B          599  005   RN3F          599  474
QSO: 14000 CW 2012-05-26 0834 PA1B          599  006   RQ5D          599  399
QSO: 14000 CW 2012-05-26 0836 PA1B          599  007   TK4A          599  419
QSO: 14000 CW 2012-05-26 0843 PA1B          599  008   E7DX          599 1002
QSO: 14000 CW 2012-05-26 0848 PA1B          599  009   EU5T          599  716
QSO: 14000 CW 2012-05-26 0850 PA1B          599  010   OM7M          599  941
QSO: 14000 CW 2012-05-26 0853 PA1B          599  011   SP5GRM        599  259
QSO: 14000 CW 2012-05-26 0859 PA1B          599  012   RM5D          599  636
QSO: 14000 CW 2012-05-26 0904 PA1B          599  013   GI0RQK        599  299
QSO: 14000 CW 2012-05-26 0917 PA1B          599  014   S54K          599  553
QSO: 14000 CW 2012-05-26 0919 PA1B          599  015   RT2M          599  211
QSO: 14000 CW 2012-05-26 0919 PA1B          599  016   RA1OT         599  354
QSO: 14000 CW 2012-05-26 0922 PA1B          599  017   YP5A          599  371
QSO: 21000 CW 2012-05-26 0933 PA1B          599  018   9A5Y          599  409
QSO: 21000 CW 2012-05-26 0936 PA1B          599  019   E73W          599  473
