START-OF-LOG: 3.0
LOCATION: UT
CONTEST: CQ-WPX-CW
CALLSIGN: UY1AW/QRP
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-POWER: QRP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
CATEGORY-TIME: 12-HOURS
CLAIMED-SCORE: 61030
OPERATORS:
OFFTIME:
CLUB: UR-QRP-CLUB
NAME: Sorbat Igor
CREATED-BY: 5MContest ver.5.0.11 Февраль 2012
SOAPBOX: TRX - FT817, Ant: 10-20m  4el Yagi, 40-80m  Delta vertikal
QSO: 14000 CW 2012-05-26 0633 UY1AW/QRP     599 001    N3RR          599 229     0
QSO: 14000 CW 2012-05-26 0635 UY1AW/QRP     599 002    NR4M          599 676     0
QSO: 14000 CW 2012-05-26 0640 UY1AW/QRP     599 003    WW4R          599 645     0
QSO: 14000 CW 2012-05-26 0644 UY1AW/QRP     599 004    PB2JJ         599 285     0
QSO: 14000 CW 2012-05-26 0647 UY1AW/QRP     599 005    DG7EE         599 200     0
QSO: 14000 CW 2012-05-26 0649 UY1AW/QRP     599 006    9A0Z          599 673     0
QSO: 14000 CW 2012-05-26 0653 UY1AW/QRP     599 007    SO4M          599 664     0
QSO: 14000 CW 2012-05-26 0656 UY1AW/QRP     599 008    SO9Q          599 580     0
QSO: 14000 CW 2012-05-26 0658 UY1AW/QRP     599 009    EF8M          599 888     0
QSO: 14000 CW 2012-05-26 0701 UY1AW/QRP     599 010    OG73X         599 483     0
QSO: 14000 CW 2012-05-26 0705 UY1AW/QRP     599 011    UT8AL         599 283     0
QSO: 14000 CW 2012-05-26 0709 UY1AW/QRP     599 012    S53F          599 609     0
QSO: 14000 CW 2012-05-26 0710 UY1AW/QRP     599 013    M2W           599 525     0
QSO: 14000 CW 2012-05-26 0712 UY1AW/QRP     599 014    OM7M          599 770     0
QSO: 14000 CW 2012-05-26 0715 UY1AW/QRP     599 015    DM8D          599 168     0
QSO: 14000 CW 2012-05-26 0718 UY1AW/QRP     599 016    SK3W          599 473     0
QSO: 14000 CW 2012-05-26 0720 UY1AW/QRP     599 017    G3XTT         599 588     0
QSO: 21000 CW 2012-05-26 0734 UY1AW/QRP     599 018    DJ5MW         599 837     0
QSO: 21000 CW 2012-05-26 0737 UY1AW/QRP     599 019    JR1AIB        599 484     0
QSO: 21000 CW 2012-05-26 0744 UY1AW/QRP     599 020    UP2L          599 893     0
QSO: 21000 CW 2012-05-26 0747 UY1AW/QRP     599 021    JH0INP        599 428     0
QSO: 21000 CW 2012-05-26 0749 UY1AW/QRP     599 022    JS3CTQ        599 404     0
QSO: 21000 CW 2012-05-26 0752 UY1AW/QRP     599 023    JA1PNA        599 153     0
QSO: 21000 CW 2012-05-26 0757 UY1AW/QRP     599 024    LX7I          599 754     0
QSO: 21000 CW 2012-05-26 0815 UY1AW/QRP     599 025    HB75FG        599 152     0
QSO: 21000 CW 2012-05-26 0819 UY1AW/QRP     599 026    DQ4W          599 159     0
QSO: 21000 CW 2012-05-26 0821 UY1AW/QRP     599 027    9A2A          599 530     0
QSO: 21000 CW 2012-05-26 0824 UY1AW/QRP     599 028    3Z2X          599 330     0
QSO: 21000 CW 2012-05-26 0828 UY1AW/QRP     599 029    RK9QWM        599 206     0
QSO: 21000 CW 2012-05-26 0840 UY1AW/QRP     599 030    RV9UP         599 425     0
QSO: 21000 CW 2012-05-26 0842 UY1AW/QRP     599 031    JF9JTS        599 377     0
QSO: 21000 CW 2012-05-26 0847 UY1AW/QRP     599 032    OG6N          599 523     0
QSO: 21000 CW 2012-05-26 0850 UY1AW/QRP     599 033    SA6G          599 148     0
QSO: 21000 CW 2012-05-26 0851 UY1AW/QRP     599 034    DL5JS         599 109     0
QSO: 21000 CW 2012-05-26 0854 UY1AW/QRP     599 035    9K2RA         599 1020    0
QSO: 21000 CW 2012-05-26 0901 UY1AW/QRP     599 036    JA8RWU        599 423     0
QSO:  7000 CW 2012-05-26 0903 UY1AW/QRP     599 037    LY2MM         599 430     0
QSO:  7000 CW 2012-05-26 0905 UY1AW/QRP     599 038    DK7YY/P       599 383     0
QSO:  7000 CW 2012-05-26 0908 UY1AW/QRP     599 039    LY7A          599 491     0
QSO:  7000 CW 2012-05-26 0917 UY1AW/QRP     599 040    OL4A          599 433     0
QSO:  7000 CW 2012-05-26 0921 UY1AW/QRP     599 041    YL3FT         599 390     0
QSO: 28000 CW 2012-05-26 0925 UY1AW/QRP     599 042    DR1A          599 124     0
QSO: 28000 CW 2012-05-26 0931 UY1AW/QRP     599 043    DL2NBY        599 055     0
QSO: 28000 CW 2012-05-26 0943 UY1AW/QRP     599 044    OG0Z          599 1031    0
QSO: 28000 CW 2012-05-26 0945 UY1AW/QRP     599 045    P33W          599 1681    0
QSO: 21000 CW 2012-05-26 0950 UY1AW/QRP     599 046    R0QA          599 186     0
QSO: 21000 CW 2012-05-26 0954 UY1AW/QRP     599 047    OL7C          599 808     0
QSO: 21000 CW 2012-05-26 0959 UY1AW/QRP     599 048    A73A          599 998     0
QSO: 21000 CW 2012-05-26 1002 UY1AW/QRP     599 049    DR1A          599 460     0
QSO: 21000 CW 2012-05-26 1006 UY1AW/QRP     599 050    DM6V          599 964     0
QSO: 21000 CW 2012-05-26 1007 UY1AW/QRP     599 051    OK1NI         599 367     0
QSO: 21000 CW 2012-05-26 1010 UY1AW/QRP     599 052    UN9GD         599 819     0
QSO: 21000 CW 2012-05-26 1011 UY1AW/QRP     599 053    SJ2W          599 1063    0
QSO: 21000 CW 2012-05-26 1012 UY1AW/QRP     599 054    I1EIS         599 086     0
QSO: 21000 CW 2012-05-26 1014 UY1AW/QRP     599 055    S57C          599 332     0
QSO: 21000 CW 2012-05-26 1015 UY1AW/QRP     599 056    YT5N          599 192     0
QSO: 21000 CW 2012-05-26 1025 UY1AW/QRP     599 057    DL9W          599 057     0
QSO: 21000 CW 2012-05-26 1027 UY1AW/QRP     599 058    CR1X          599 552     0
QSO: 21000 CW 2012-05-26 1029 UY1AW/QRP     599 059    RF9C          599 1535    0
QSO: 21000 CW 2012-05-26 1031 UY1AW/QRP     599 060    OP4K          599 692     0
QSO: 21000 CW 2012-05-26 1041 UY1AW/QRP     599 061    9A5D          599 462     0
QSO: 21000 CW 2012-05-26 1043 UY1AW/QRP     599 062    P33W          599 1816    0
QSO: 21000 CW 2012-05-26 1053 UY1AW/QRP     599 063    NR4M          599 317     0
QSO: 21000 CW 2012-05-26 1055 UY1AW/QRP     599 064    M3W           599 311     0
QSO: 21000 CW 2012-05-26 1102 UY1AW/QRP     599 065    WX7T          599 037     0
QSO: 21000 CW 2012-05-26 1124 UY1AW/QRP     599 066    CS2W          599 859     0
QSO: 21000 CW 2012-05-26 1126 UY1AW/QRP     599 067    PA3AAV        599 532     0
QSO: 14000 CW 2012-05-26 1131 UY1AW/QRP     599 068    OE3K          599 1256    0
QSO: 14000 CW 2012-05-26 1134 UY1AW/QRP     599 069    RX9AF         599 384     0
QSO: 14000 CW 2012-05-26 1135 UY1AW/QRP     599 070    E74Y          599 041     0
QSO: 14000 CW 2012-05-26 1141 UY1AW/QRP     599 071    YT4W          599 616     0
