START-OF-LOG: 3.0
CONTEST: ARRL-DX-CW
LOCATION: DX
CALLSIGN: IR4M
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: ALL
CREATED-BY: QARTEST 8.1.2
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: CW
OPERATORS: I4EWH I4IFL IK0YUT IK3QAR IK4DCW IK4HVR IK4MGP IK4WMH IZ4ZZB IZ5ICH
HQ-CATEGORY: Multioperator, Single Transmitter, High Power
HQ-GRID-LOCATOR: JN64ca
QSO: 7013 CW 2018-02-17 0002 IR4M 599 500 W3LPL 599 MD
QSO: 7013 CW 2018-02-17 0002 IR4M 599 500 NR5M 599 TX
QSO: 7013 CW 2018-02-17 0002 IR4M 599 500 K2NV 599 NY
QSO: 7013 CW 2018-02-17 0003 IR4M 599 500 WX1S 599 NH
QSO: 7013 CW 2018-02-17 0003 IR4M 599 500 W1RM 599 CT
QSO: 7013 CW 2018-02-17 0003 IR4M 599 500 K0SR 599 MN
QSO: 7013 CW 2018-02-17 0003 IR4M 599 500 AA9A 599 WI
QSO: 7013 CW 2018-02-17 0003 IR4M 599 500 W3KB 599 PA
QSO: 7013 CW 2018-02-17 0004 IR4M 599 500 W1EBI 599 MA
QSO: 7013 CW 2018-02-17 0004 IR4M 599 500 W0UO 599 TX
QSO: 7013 CW 2018-02-17 0004 IR4M 599 500 KB3Z 599 PA
QSO: 7013 CW 2018-02-17 0004 IR4M 599 500 W9YK 599 IL
QSO: 7013 CW 2018-02-17 0005 IR4M 599 500 W1FQ 599 MA
QSO: 7013 CW 2018-02-17 0005 IR4M 599 500 NG3J 599 PA
QSO: 7013 CW 2018-02-17 0005 IR4M 599 500 NW0M 599 MO
QSO: 7013 CW 2018-02-17 0005 IR4M 599 500 K2LNS 599 PA
QSO: 7013 CW 2018-02-17 0006 IR4M 599 500 KA1AF 599 FL
QSO: 7013 CW 2018-02-17 0006 IR4M 599 500 K3AU 599 MD
QSO: 7013 CW 2018-02-17 0006 IR4M 599 500 K3WI 599 DE
QSO: 7013 CW 2018-02-17 0007 IR4M 599 500 N4HA 599 NC
QSO: 7013 CW 2018-02-17 0007 IR4M 599 500 AB2DP 599 NY
QSO: 7013 CW 2018-02-17 0008 IR4M 599 500 K3IE 599 TN
QSO: 7013 CW 2018-02-17 0008 IR4M 599 500 N8VV 599 OH
QSO: 7013 CW 2018-02-17 0008 IR4M 599 500 VE2FK 599 QC
QSO: 7013 CW 2018-02-17 0008 IR4M 599 500 N3ED 599 PA
QSO: 7013 CW 2018-02-17 0009 IR4M 599 500 W7MRF 599 AZ
QSO: 7013 CW 2018-02-17 0009 IR4M 599 500 NA8V 599 MI
QSO: 7013 CW 2018-02-17 0009 IR4M 599 500 KK8D 599 OH
QSO: 7013 CW 2018-02-17 0009 IR4M 599 500 W2VRK 599 NJ
QSO: 7013 CW 2018-02-17 0010 IR4M 599 500 N4LZ 599 FL
QSO: 7013 CW 2018-02-17 0010 IR4M 599 500 VA3EC 599 ON
QSO: 7013 CW 2018-02-17 0011 IR4M 599 500 VA2CZ 599 QC
QSO: 7013 CW 2018-02-17 0011 IR4M 599 500 N0IJ 599 WI
QSO: 7013 CW 2018-02-17 0011 IR4M 599 500 N6AR 599 FL
QSO: 7013 CW 2018-02-17 0012 IR4M 599 500 N4WE 599 AL
