START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: F5USK
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F5USK
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28407 PH 2023-12-09 1351 F5USK         59 001 V55Y          59 417
QSO: 28379 PH 2023-12-09 1401 F5USK         59 2 WA2BOT        59 MA
QSO: 28352 PH 2023-12-09 1404 F5USK         59 3 WT1A          59 ME
QSO: 28000 PH 2023-12-09 1405 F5USK         59 005 VY2OM         59 PE
QSO: 28544 PH 2023-12-09 1407 F5USK         59 008 N1UR          59 VT
QSO: 28612 PH 2023-12-09 1408 F5USK         59 9 K3DNE         59 SC
QSO: 28000 PH 2023-12-09 1409 F5USK         59 11 AF1T          59 NH
QSO: 28394 PH 2023-12-09 1409 F5USK         59 10 K1RX          59 NH
QSO: 28515 PH 2023-12-09 1410 F5USK         59 13 N4RV          59 VA
QSO: 28533 PH 2023-12-09 1410 F5USK         59 12 W4AC          59 FL
QSO: 28543 PH 2023-12-09 1411 F5USK         59 14 N4UU          59 FL
QSO: 28348 PH 2023-12-09 1413 F5USK         59 16 N2NT          59 NJ
QSO: 28371 PH 2023-12-09 1413 F5USK         59 15 KA1ZD         59 CT
QSO: 28462 PH 2023-12-09 1413 F5USK         59 17 K3AJ          59 MD
QSO: 28317 PH 2023-12-09 1414 F5USK         59 18 N2ZN          59 NY
QSO: 28586 PH 2023-12-09 1414 F5USK         59 19 NF3R          59 PA
QSO: 28000 PH 2023-12-09 1415 F5USK         59 42 KN4UQM        59 NC
QSO: 28615 PH 2023-12-09 1415 F5USK         59 21 W5PR          59 TX
QSO: 28368 PH 2023-12-09 1416 F5USK         59 23 K9MU          59 WI
QSO: 28608 PH 2023-12-09 1416 F5USK         59 22 VE2HTC        59 QC
QSO: 28427 PH 2023-12-09 1417 F5USK         59 25 N8OO          59 LA
QSO: 28601 PH 2023-12-09 1417 F5USK         59 24 K4AB          59 AL
QSO: 28331 PH 2023-12-09 1419 F5USK         59 26 N5GF          59 FL
QSO: 28651 PH 2023-12-09 1425 F5USK         59 28 W1XX          59 RI
QSO: 28338 PH 2023-12-09 1426 F5USK         59 29 W1AW          59 LA
QSO: 28397 PH 2023-12-09 1428 F5USK         59 30 N3MWQ         59 DE
QSO: 28397 PH 2023-12-09 1429 F5USK         59 32 WU2M          59 NY
QSO: 28397 PH 2023-12-09 1431 F5USK         59 33 WS4WW         59 VA
QSO: 28397 PH 2023-12-09 1432 F5USK         59 34 NT3U          59 MD
QSO: 28398 PH 2023-12-09 1433 F5USK         59 035 W5LO          59 TX
QSO: 28398 PH 2023-12-09 1434 F5USK         59 37 NF1O          59 NH
QSO: 28398 PH 2023-12-09 1434 F5USK         59 038 XE1CIC        59 GTO
QSO: 28000 PH 2023-12-09 1435 F5USK         59 40 WR3R          59 MD
QSO: 28398 PH 2023-12-09 1435 F5USK         59 39 NE1F          59 NH
QSO: 28398 PH 2023-12-09 1440 F5USK         59 46 W3FOX         59 MD
QSO: 28000 PH 2023-12-09 1441 F5USK         59 49 NO4FX         59 NC
QSO: 28398 PH 2023-12-09 1441 F5USK         59 58 N8CWU         59 OH
QSO: 28398 PH 2023-12-09 1442 F5USK         59 50 W4ZD          59 NC
QSO: 28398 PH 2023-12-09 1443 F5USK         59 53 K0TJT         59 MN
QSO: 28398 PH 2023-12-09 1443 F5USK         59 54 W0CN          59 MN
QSO: 28398 PH 2023-12-09 1444 F5USK         59 56 WV4P          59 TN
QSO: 28398 PH 2023-12-09 1446 F5USK         59 62 N4QS          59 KY
QSO: 28398 PH 2023-12-09 1448 F5USK         59 64 N0XT          59 MN
QSO: 28398 PH 2023-12-09 1451 F5USK         59 70 N5GI          59 SC
QSO: 28000 PH 2023-12-09 1452 F5USK         59 73 KC9JML        59 IN
QSO: 28397 PH 2023-12-09 1452 F5USK         59 72 N1JTR         59 FL
QSO: 28398 PH 2023-12-09 1453 F5USK         59 74 VA3DF         59 ON
QSO: 28000 PH 2023-12-09 1454 F5USK         59 76 K4ZGB         59 AL
QSO: 28000 PH 2023-12-09 1454 F5USK         59 75 WA5SOG        59 AR
QSO: 28398 PH 2023-12-09 1454 F5USK         59 79 N3MN          59 VA
QSO: 28398 PH 2023-12-09 1454 F5USK         59 77 W1CTN         59 NC
QSO: 28398 PH 2023-12-09 1456 F5USK         59 82 N5OHL         59 OK
QSO: 28398 PH 2023-12-09 1458 F5USK         59 85 NA4DA         59 FL
QSO: 28398 PH 2023-12-09 1458 F5USK         59 86 W9KEY         59 WI
QSO: 28398 PH 2023-12-09 1459 F5USK         59 88 K9UC          59 TN
QSO: 28398 PH 2023-12-09 1500 F5USK         59 091 KA2KON        59 NH
QSO: 28398 PH 2023-12-09 1500 F5USK         59 89 VA2EBI        59 QC
QSO: 28398 PH 2023-12-09 1500 F5USK         59 90 WW4LL         59 GA
QSO: 28000 PH 2023-12-09 1501 F5USK         59 093 KA9JCP        59 WI
QSO: 28000 PH 2023-12-09 1501 F5USK         59 92 N9GH          59 WI
QSO: 28398 PH 2023-12-09 1503 F5USK         59 95 W9KM          59 IL
QSO: 28000 PH 2023-12-09 1507 F5USK         59 97 KD8TNF        59 OH
QSO: 28506 PH 2023-12-09 1512 F5USK         59 101 N0MA          59 IA
QSO: 28577 PH 2023-12-09 1513 F5USK         59 102 KG9N          59 IL
QSO: 28000 PH 2023-12-09 1514 F5USK         59 103 K0JU          59 CO
QSO: 28401 PH 2023-12-09 1515 F5USK         59 104 AD5XD         59 TX
QSO: 28000 PH 2023-12-09 1519 F5USK         59 107 W3ICM         59 MD
QSO: 28300 PH 2023-12-09 1519 F5USK         59 106 W1SJ          59 VT
QSO: 28324 PH 2023-12-09 1520 F5USK         59 109 K1JB          59 ME
QSO: 28635 PH 2023-12-09 1520 F5USK         59 108 KQ2M          59 CT
QSO: 28000 PH 2023-12-09 1521 F5USK         59 110 K1FMS         59 MA
QSO: 28000 PH 2023-12-09 1527 F5USK         59 111 VA5DX         59 SK
QSO: 28478 PH 2023-12-09 1528 F5USK         59 112 KY7M          59 AZ
QSO: 28000 PH 2023-12-09 1531 F5USK         59 113 K0SIX         59 MN
QSO: 28414 PH 2023-12-09 1532 F5USK         59 115 AC0W          59 MN
QSO: 28412 PH 2023-12-09 1536 F5USK         59 120 KI0F          59 MN
QSO: 28412 PH 2023-12-09 1537 F5USK         59 123 NC0B          59 CO
QSO: 28412 PH 2023-12-09 1537 F5USK         59 124 WA4GUD        59 MD
QSO: 28412 PH 2023-12-09 1538 F5USK         59 125 N7WS          59 AZ
QSO: 28412 PH 2023-12-09 1539 F5USK         59 127 VE3TW         59 ON
QSO: 28412 PH 2023-12-09 1542 F5USK         59 130 KK4ADQ        59 VA
QSO: 28412 PH 2023-12-09 1543 F5USK         59 131 NT5V          59 TX
QSO: 28412 PH 2023-12-09 1545 F5USK         59 134 K9JK          59 IL
QSO: 28412 PH 2023-12-09 1545 F5USK         59 133 WB4YDY        59 TN
QSO: 28412 PH 2023-12-09 1546 F5USK         59 135 N0AT          59 MN
QSO: 28412 PH 2023-12-09 1547 F5USK         59 137 KT4Q          59 NC
QSO: 28412 PH 2023-12-09 1549 F5USK         59 139 VE3YV         59 ON
QSO: 28000 PH 2023-12-09 1552 F5USK         59 144 W5GCX         59 TX
QSO: 28412 PH 2023-12-09 1552 F5USK         59 143 WA2QAU        59 NY
QSO: 28412 PH 2023-12-09 1553 F5USK         59 145 N2NQ          59 VA
QSO: 28412 PH 2023-12-09 1554 F5USK         59 147 N4OO          59 GA
