START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: F5IN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F5IN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28023 CW 2023-12-09 0738 F5IN          599 1 UA6AA         599 146
QSO: 28022 CW 2023-12-09 0739 F5IN          599 002 R7AM          599 0090
QSO: 28019 CW 2023-12-09 0756 F5IN          599 3 R8TT          599 145
QSO: 28030 CW 2023-12-09 0803 F5IN          599 5 BD7MM         599 638
QSO: 28019 CW 2023-12-09 0843 F5IN          599 006 RM3A          599 33
QSO: 28019 CW 2023-12-09 0843 F5IN          599 007 UA6GO         599 18
QSO: 28018 CW 2023-12-09 0852 F5IN          599 008 R7KX          599 065
QSO: 28029 CW 2023-12-09 0855 F5IN          599 009 RC7KF         599 076
QSO: 28016 CW 2023-12-09 0859 F5IN          599 10 OG3B          599 24
QSO: 28058 CW 2023-12-09 1003 F5IN          599 62 PA4VHF        599 151
QSO: 28025 CW 2023-12-09 1037 F5IN          599 011 RK2M          599 49
QSO: 28012 CW 2023-12-09 1038 F5IN          599 013 RW7F          599 473
QSO: 28011 CW 2023-12-09 1039 F5IN          599 14 UC4L          599 376
QSO: 28045 CW 2023-12-09 1044 F5IN          599 15 R1MJ          599 83
QSO: 28000 CW 2023-12-09 1046 F5IN          599 016 RO5X          599 173
QSO: 28022 CW 2023-12-09 1052 F5IN          599 18 R7NW          599 352
QSO: 28018 CW 2023-12-09 1053 F5IN          599 19 RV3FF         599 376
QSO: 28022 CW 2023-12-09 1058 F5IN          599 020 TO0GL         599 61
QSO: 28018 CW 2023-12-09 1507 F5IN          599 21 K0VBU         599 KS
QSO: 28018 CW 2023-12-09 1508 F5IN          599 22 NE8P          599 FL
QSO: 28018 CW 2023-12-09 1508 F5IN          599 23 PT7WM         599 151
QSO: 28017 CW 2023-12-09 1509 F5IN          599 024 N3CKI         599 NC
QSO: 28018 CW 2023-12-09 1510 F5IN          599 25 W2JV          599 NY
QSO: 28018 CW 2023-12-09 1511 F5IN          599 27 K1TH          599 MA
QSO: 28018 CW 2023-12-09 1511 F5IN          599 26 WR2G          599 NJ
QSO: 28018 CW 2023-12-09 1513 F5IN          599 29 K3PP          599 PA
QSO: 28017 CW 2023-12-09 1515 F5IN          599 31 E7DX          599 1000
QSO: 28018 CW 2023-12-09 1515 F5IN          599 030 W1HNZ         599 MA
QSO: 28018 CW 2023-12-09 1517 F5IN          599 32 9A5Y          599 992
QSO: 28027 CW 2023-12-09 1517 F5IN          599 33 VA2EBI        599 QC
QSO: 28018 CW 2023-12-09 1519 F5IN          599 035 K3EW          599 MD
QSO: 28018 CW 2023-12-09 1520 F5IN          599 034 K9WX          599 IN
QSO: 28017 CW 2023-12-09 1521 F5IN          599 038 K3VA          599 PA
QSO: 28017 CW 2023-12-09 1521 F5IN          599 036 WA3C          599 OH
QSO: 28018 CW 2023-12-09 1521 F5IN          599 037 AD1C          599 CO
QSO: 28018 CW 2023-12-09 1521 F5IN          599 39 K9WO          599 WI
QSO: 28019 CW 2023-12-09 1547 F5IN          599 640 KB8GAE        599 OH
QSO: 28019 CW 2023-12-09 1602 F5IN          599 41 K4BAI         599 GA
QSO: 28017 CW 2023-12-09 1604 F5IN          599 43 K1LZ          599 ME
QSO: 28000 CW 2023-12-09 1606 F5IN          599 44 K4ORD         599 VA
QSO: 28018 CW 2023-12-09 1607 F5IN          599 42 W1XX          599 RI
QSO: 28018 CW 2023-12-09 1608 F5IN          599 53 K3DNE         599 SC
QSO: 28018 CW 2023-12-09 1608 F5IN          599 46 W1QK          599 CT
QSO: 28018 CW 2023-12-09 1609 F5IN          599 48 K3ZU          599 MD
QSO: 28018 CW 2023-12-09 1609 F5IN          599 047 W3DQS         599 NC
QSO: 28013 CW 2023-12-09 1615 F5IN          599 50 N5DX          599 NY
QSO: 28001 CW 2023-12-09 1616 F5IN          599 53 LU3MG         599 541
QSO: 28003 CW 2023-12-09 1616 F5IN          599 52 K1BX          599 NH
QSO: 28008 CW 2023-12-09 1616 F5IN          599 51 K1TR          599 NH
QSO: 28009 CW 2023-12-09 1617 F5IN          599 56 LW5HR         599 196
QSO: 28040 CW 2023-12-09 1619 F5IN          599 55 WO4O          599 FL
QSO: 28042 CW 2023-12-09 1620 F5IN          599 56 N4UU          599 FL
QSO: 28046 CW 2023-12-09 1621 F5IN          599 57 VE3EJ         599 ON
QSO: 28038 CW 2023-12-09 1622 F5IN          599 58 VE3AT         599 ON
QSO: 28043 CW 2023-12-09 1629 F5IN          599 60 VP2VMM        599 915
QSO: 28013 CW 2023-12-10 0935 F5IN          599 061 UA6LCJ        599 218
QSO: 28013 CW 2023-12-10 0938 F5IN          599 062 UX1VT         599 140
QSO: 28015 CW 2023-12-10 0941 F5IN          599 63 UA6AK         599 306
QSO: 28015 CW 2023-12-10 0943 F5IN          599 064 UA6LCN        599 468
QSO: 28015 CW 2023-12-10 0947 F5IN          599 65 UR7EC         599 160
QSO: 28014 CW 2023-12-10 0948 F5IN          599 066 UR5EJ         599 134
QSO: 28014 CW 2023-12-10 1001 F5IN          599 067 R5AJ          599 706
QSO: 28016 CW 2023-12-10 1004 F5IN          599 68 UR4L          599 193
QSO: 28014 CW 2023-12-10 1220 F5IN          599 69 K2XR          599 NJ
QSO: 28013 CW 2023-12-10 1222 F5IN          599 70 UA4W          599 1162
QSO: 28014 CW 2023-12-10 1224 F5IN          599 72 K1KI          599 CT
QSO: 28014 CW 2023-12-10 1224 F5IN          599 73 N4RV          599 VA
QSO: 28014 CW 2023-12-10 1225 F5IN          599 071 RV6AVU        599 257
QSO: 28014 CW 2023-12-10 1228 F5IN          599 74 WB4TDH        599 FL
QSO: 28014 CW 2023-12-10 1230 F5IN          599 76 AE1T          599 NH
QSO: 28014 CW 2023-12-10 1231 F5IN          599 077 KA4RRU        599 VA
QSO: 28014 CW 2023-12-10 1232 F5IN          599 8 RA4Y          599 436
QSO: 28014 CW 2023-12-10 1232 F5IN          599 79 W2NO          599 NJ
QSO: 28013 CW 2023-12-10 1236 F5IN          599 082 UA6HFI        599 0084
QSO: 28013 CW 2023-12-10 1237 F5IN          599 083 RZ4AG         599 427
QSO: 28014 CW 2023-12-10 1238 F5IN          599 84 NN4SS         599 SC
QSO: 28000 CW 2023-12-10 1239 F5IN          599 85 N8II          599 WV
QSO: 28014 CW 2023-12-10 1240 F5IN          599 86 NB1N          599 MA
QSO: 28014 CW 2023-12-10 1242 F5IN          599 87 NJ3K          599 PA
QSO: 28014 CW 2023-12-10 1243 F5IN          599 089 UA7G          599 295
