START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: EA1DR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: EA1DR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28000 PH 2023-12-10 0000 EA1DR         59 182 KA8FQS        59 MI
QSO: 28009 CW 2023-12-10 0854 EA1DR         599 1 3W9A          599 610
QSO: 28386 PH 2023-12-10 0916 EA1DR         59 001 4F1EBD        59 505
QSO: 28422 PH 2023-12-10 0921 EA1DR         59 003 UN8PT         59 491
QSO: 28423 PH 2023-12-10 0923 EA1DR         59 6 RZ3Z          59 253
QSO: 28357 PH 2023-12-10 0924 EA1DR         59 7 VR2XAN        59 1698
QSO: 28460 PH 2023-12-10 0928 EA1DR         59 9 RA9Y          59 1066
QSO: 28523 PH 2023-12-10 0929 EA1DR         59 010 UA3BL         59 233
QSO: 28418 PH 2023-12-10 0930 EA1DR         59 013 RW3RN         59 0827
QSO: 28000 PH 2023-12-10 0931 EA1DR         59 014 UA7K          59 326
QSO: 28000 PH 2023-12-10 0931 EA1DR         59 015 VJ2J          59 00680
QSO: 28000 PH 2023-12-10 0933 EA1DR         59 016 VK2GGC        59 1165
QSO: 28448 PH 2023-12-10 0933 EA1DR         59 017 RU1A          59 665
QSO: 28430 PH 2023-12-10 1501 EA1DR         59 019 N1UR          59 VT
QSO: 28431 PH 2023-12-10 1502 EA1DR         59 20 VE2CWQ        59 QC
QSO: 28431 PH 2023-12-10 1503 EA1DR         59 22 K4QQG         59 SC
QSO: 28431 PH 2023-12-10 1503 EA1DR         59 21 KD9AC         59 IL
QSO: 28431 PH 2023-12-10 1503 EA1DR         59 23 VE2HTC        59 QC
QSO: 28431 PH 2023-12-10 1504 EA1DR         59 25 K5ZD          59 MA
