START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: 4U1UN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: 4U1UN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28021 CW 2023-12-10 1822 4U1UN         599 1 K1KI          599 CT
QSO: 28021 CW 2023-12-10 1823 4U1UN         599 2 CW5W          599 2583
QSO: 28021 CW 2023-12-10 1823 4U1UN         599 3 N7CW          599 AZ
QSO: 28021 CW 2023-12-10 1824 4U1UN         599 5 K3PA          599 KS
QSO: 28021 CW 2023-12-10 1824 4U1UN         599 6 K6RC          599 CA
QSO: 28021 CW 2023-12-10 1824 4U1UN         599 4 KY7M          599 AZ
QSO: 28021 CW 2023-12-10 1825 4U1UN         599 7 N7XU          599 OR
QSO: 28021 CW 2023-12-10 1825 4U1UN         599 8 NW6P          599 CA
QSO: 28020 CW 2023-12-10 1826 4U1UN         599 9 K1LZ          599 ME
QSO: 28021 CW 2023-12-10 1827 4U1UN         599 10 N4BP          599 FL
QSO: 28020 CW 2023-12-10 1828 4U1UN         599 011 FY5KE         599 3389
QSO: 28021 CW 2023-12-10 1828 4U1UN         599 12 W0VX          599 TX
QSO: 28021 CW 2023-12-10 1830 4U1UN         599 15 N8OO          599 LA
QSO: 28021 CW 2023-12-10 1831 4U1UN         599 16 N5TJ          599 TX
QSO: 28021 CW 2023-12-10 1831 4U1UN         599 17 W2UP          599 CO
QSO: 28021 CW 2023-12-10 1832 4U1UN         599 18 VE5MX         599 SK
QSO: 28018 CW 2023-12-10 1835 4U1UN         599 19 VE7JKZ        599 BC
QSO: 28018 CW 2023-12-10 1837 4U1UN         599 22 NX6T          599 CA
QSO: 28000 CW 2023-12-10 1838 4U1UN         599 25 WF0GM         599 CO
QSO: 28018 CW 2023-12-10 1839 4U1UN         599 26 AF2F          599 NJ
QSO: 28018 CW 2023-12-10 1839 4U1UN         599 25 PY1AX         599 205
QSO: 28018 CW 2023-12-10 1840 4U1UN         599 28 N9NC          599 NH
QSO: 28018 CW 2023-12-10 1841 4U1UN         599 30 NU6N          599 CA
QSO: 28018 CW 2023-12-10 1841 4U1UN         599 29 W0ZA          599 NE
QSO: 28018 CW 2023-12-10 1843 4U1UN         599 32 K0TRL         599 KS
QSO: 28018 CW 2023-12-10 1844 4U1UN         599 33 K8MR          599 FL
