START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: KT5V
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KT5V
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28069 CW 2023-12-10 1640 KT5V          599 ME PR1T          599 1709
QSO: 28071 CW 2023-12-10 1642 KT5V          599 ME GM4Z          599 505
QSO: 28072 CW 2023-12-10 1642 KT5V          599 ME W7UT          599 SD
QSO: 28072 CW 2023-12-10 1643 KT5V          599 ME AD4EB         599 TN
QSO: 28072 CW 2023-12-10 1643 KT5V          599 ME W0ZW          599 NM
QSO: 28071 CW 2023-12-10 1644 KT5V          599 ME NU6S          599 CA
QSO: 28072 CW 2023-12-10 1644 KT5V          599 ME K0CN          599 MN
QSO: 28072 CW 2023-12-10 1644 KT5V          599 ME W7QF          599 OR
QSO: 28072 CW 2023-12-10 1645 KT5V          599 ME KG5U          599 TX
QSO: 28072 CW 2023-12-10 1646 KT5V          599 ME EC7B          599 311
QSO: 28072 CW 2023-12-10 1646 KT5V          599 ME GW4W          599 90
QSO: 28072 CW 2023-12-10 1646 KT5V          599 ME NC6V          599 CA
QSO: 28072 CW 2023-12-10 1649 KT5V          599 TX NX0I          599 MO
QSO: 28071 CW 2023-12-10 1650 KT5V          599 ME G3P           599 480
QSO: 28072 CW 2023-12-10 1650 KT5V          599 ME G3XTZ         599 85
QSO: 28072 CW 2023-12-10 1650 KT5V          599 ME G4BUE         599 160
QSO: 28072 CW 2023-12-10 1651 KT5V          599 ME KC9EE         599 IL
QSO: 28072 CW 2023-12-10 1651 KT5V          599 ME KI7Y          599 OR
QSO: 28071 CW 2023-12-10 1652 KT5V          599 ME K1LZ          599 ME
QSO: 28072 CW 2023-12-10 1652 KT5V          599 ME K6JS          599 CA
QSO: 28072 CW 2023-12-10 1652 KT5V          599 ME ZS6WN         599 656
QSO: 28072 CW 2023-12-10 1653 KT5V          599 ME N4AO          599 FL
QSO: 28072 CW 2023-12-10 1653 KT5V          599 ME N7IR          599 AZ
QSO: 28000 CW 2023-12-10 1654 KT5V          599 ME KB0V          599 IL
QSO: 28072 CW 2023-12-10 1654 KT5V          599 ME AB3AI         599 GA
QSO: 28072 CW 2023-12-10 1654 KT5V          599 ME K3DNE         599 SC
QSO: 28072 CW 2023-12-10 1655 KT5V          599 ME N7XU          599 OR
QSO: 28072 CW 2023-12-10 1656 KT5V          599 ME W6JTI         599 CA
QSO: 28072 CW 2023-12-10 1657 KT5V          599 ME N7RCS         599 FL
QSO: 28071 CW 2023-12-10 1659 KT5V          599 ME IK2PFL        599 1361
QSO: 28072 CW 2023-12-10 1659 KT5V          599 ME KV0I          599 NE
QSO: 28072 CW 2023-12-10 1700 KT5V          599 ME HI3LT         599 946
QSO: 28000 CW 2023-12-10 1701 KT5V          599 ME WA5ZKO        599 TX
QSO: 28072 CW 2023-12-10 1701 KT5V          599 ME K9CT          599 IL
QSO: 28072 CW 2023-12-10 1702 KT5V          599 ME AI5IN         599 TX
QSO: 28072 CW 2023-12-10 1702 KT5V          599 ME KE7AUB        599 OR
QSO: 28072 CW 2023-12-10 1702 KT5V          599 ME W0ELT         599 WI
QSO: 28072 CW 2023-12-10 1703 KT5V          599 ME KD7MT         599 MT
QSO: 28072 CW 2023-12-10 1703 KT5V          599 ME N0UI          599 MO
QSO: 28000 CW 2023-12-10 1704 KT5V          599 ME N5OE          599 TX
QSO: 28072 CW 2023-12-10 1704 KT5V          599 ME WI9P          599 MN
