START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: IZ4JMA
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IZ4JMA
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28000 CW 2023-12-09 0640 IZ4JMA        599 001 5Z4VJ         599 133
QSO: 28002 CW 2023-12-09 0642 IZ4JMA        599 002 RZ4AG         599 052
QSO: 28000 CW 2023-12-09 0644 IZ4JMA        599 3 UA4W          599 149
QSO: 28029 CW 2023-12-09 0647 IZ4JMA        599 5 RW9DX         599 011
QSO: 28035 CW 2023-12-09 0653 IZ4JMA        599 007 UC9A          599 127
QSO: 28043 CW 2023-12-09 0655 IZ4JMA        599 8 UA9CTT        599 99
QSO: 28034 CW 2023-12-09 0658 IZ4JMA        599 9 UN9L          599 184
QSO: 28033 CW 2023-12-09 0659 IZ4JMA        599 010 RM9I          599 250
QSO: 28042 CW 2023-12-09 0702 IZ4JMA        599 011 RW4W          599 094
QSO: 28051 CW 2023-12-09 0704 IZ4JMA        599 012 RW7F          599 158
QSO: 28056 CW 2023-12-09 0704 IZ4JMA        599 13 RU9AD         599 88
QSO: 28030 CW 2023-12-09 0707 IZ4JMA        599 14 BD7MM         599 553
QSO: 28046 CW 2023-12-09 0710 IZ4JMA        599 15 BD4SDX        599 269
QSO: 28005 CW 2023-12-09 0711 IZ4JMA        599 16 R7NW          599 149
QSO: 28026 CW 2023-12-09 0713 IZ4JMA        599 17 RA7A          599 119
QSO: 28015 CW 2023-12-09 0714 IZ4JMA        599 18 UP7L          599 225
QSO: 28013 CW 2023-12-09 0719 IZ4JMA        599 19 BI4VIP        599 382
QSO: 28018 CW 2023-12-09 0719 IZ4JMA        599 20 R8TT          599 66
QSO: 28051 CW 2023-12-09 0759 IZ4JMA        599 21 4Z5LA         599 209
QSO: 28012 CW 2023-12-09 0801 IZ4JMA        599 22 UC4L          599 156
QSO: 28010 CW 2023-12-09 0802 IZ4JMA        599 023 R4WDX         599 181
QSO: 28021 CW 2023-12-09 0802 IZ4JMA        599 24 RC9A          599 199
QSO: 28029 CW 2023-12-09 0803 IZ4JMA        599 25 RN4AO         599 4
QSO: 28018 CW 2023-12-09 0804 IZ4JMA        599 026 UA4CC         599 65
QSO: 28043 CW 2023-12-09 0805 IZ4JMA        599 27 4X1VF         599 173
QSO: 28051 CW 2023-12-09 0806 IZ4JMA        599 28 UA9CDC        599 99
QSO: 28010 CW 2023-12-09 0807 IZ4JMA        599 29 UA6AK         599 31
QSO: 28008 CW 2023-12-09 0810 IZ4JMA        599 30 UA4FER        599 001
QSO: 28013 CW 2023-12-09 0837 IZ4JMA        599 31 R1MJ          599 28
QSO: 28018 CW 2023-12-09 0837 IZ4JMA        599 032 R5AJ          599 220
QSO: 28033 CW 2023-12-09 0841 IZ4JMA        599 033 E7DX          599 243
QSO: 28049 CW 2023-12-10 0733 IZ4JMA        599 34 R9CX          599 238
QSO: 28013 CW 2023-12-10 0736 IZ4JMA        599 36 R4GM          599 451
QSO: 28025 CW 2023-12-10 1127 IZ4JMA        599 037 RX9WN         599 436
QSO: 28066 CW 2023-12-10 1131 IZ4JMA        599 039 RU9AC         599 386
QSO: 28028 CW 2023-12-10 1132 IZ4JMA        599 40 RW9QA         599 367
QSO: 28000 CW 2023-12-10 1301 IZ4JMA        599 42 K1VUT         599 MA
QSO: 28055 CW 2023-12-10 1301 IZ4JMA        599 041 K1TO          599 FL
QSO: 28034 CW 2023-12-10 1302 IZ4JMA        599 43 K9RS          599 DE
QSO: 28042 CW 2023-12-10 1305 IZ4JMA        599 45 AB3CX         599 NY
QSO: 28060 CW 2023-12-10 1307 IZ4JMA        599 46 VA3DF         599 ON
QSO: 28000 CW 2023-12-10 1309 IZ4JMA        599 047 PY2EX         599 756
QSO: 28049 CW 2023-12-10 1309 IZ4JMA        599 48 K5ZD          599 MA
QSO: 28080 CW 2023-12-10 1311 IZ4JMA        599 49 K2XR          599 NJ
QSO: 28025 CW 2023-12-10 1313 IZ4JMA        599 50 K1KI          599 CT
QSO: 28026 CW 2023-12-10 1315 IZ4JMA        599 51 AD4EB         599 TN
QSO: 28072 CW 2023-12-10 1315 IZ4JMA        599 52 VE3DZ         599 ON
QSO: 28085 CW 2023-12-10 1316 IZ4JMA        599 53 PX2W          599 1844
QSO: 28099 CW 2023-12-10 1318 IZ4JMA        599 54 N4OX          599 FL
QSO: 28013 CW 2023-12-10 1319 IZ4JMA        599 55 W1KM          599 MA
QSO: 28081 CW 2023-12-10 1320 IZ4JMA        599 057 W2XL          599 NY
QSO: 28095 CW 2023-12-10 1320 IZ4JMA        599 56 K1LT          599 OH
QSO: 28063 CW 2023-12-10 1322 IZ4JMA        599 58 K2SSS         599 NY
QSO: 28096 CW 2023-12-10 1324 IZ4JMA        599 60 PY2KJ         599 1152
QSO: 28000 CW 2023-12-10 1328 IZ4JMA        599 62 KQ2M          599 CT
QSO: 28022 CW 2023-12-10 1328 IZ4JMA        599 61 N1RR          599 MA
QSO: 28032 CW 2023-12-10 1330 IZ4JMA        599 63 AA3B          599 PA
QSO: 28091 CW 2023-12-10 1330 IZ4JMA        599 64 AJ1AJ         599 MA
QSO: 28002 CW 2023-12-10 1331 IZ4JMA        599 65 K1LZ          599 ME
QSO: 28023 CW 2023-12-10 1332 IZ4JMA        599 66 K4AB          599 AL
QSO: 28065 CW 2023-12-10 1334 IZ4JMA        599 68 KW1X          599 MA
QSO: 28091 CW 2023-12-10 1334 IZ4JMA        599 67 KR2Q          599 NJ
QSO: 28018 CW 2023-12-10 1337 IZ4JMA        599 069 N2YO          599 VA
QSO: 28028 CW 2023-12-10 1337 IZ4JMA        599 70 N4BP          599 FL
QSO: 28071 CW 2023-12-10 1338 IZ4JMA        599 071 N4AO          599 FL
QSO: 28009 CW 2023-12-10 1339 IZ4JMA        599 72 N5DX          599 NY
QSO: 28047 CW 2023-12-10 1340 IZ4JMA        599 073 N4AF          599 NC
QSO: 28058 CW 2023-12-10 1341 IZ4JMA        599 74 N4QS          599 KY
QSO: 28038 CW 2023-12-10 1342 IZ4JMA        599 075 NN7CW         599 FL
QSO: 28023 CW 2023-12-10 1343 IZ4JMA        599 76 NR4M          599 VA
QSO: 28038 CW 2023-12-10 1343 IZ4JMA        599 077 NN7CW         599 FL
QSO: 28040 CW 2023-12-10 1345 IZ4JMA        599 077 PW2E          599 1648
