START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: OX3XR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OX3XR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28000 CW 2023-12-09 1250 OX3XR         599 1 LZ2PS         599 100
QSO: 28001 CW 2023-12-09 1251 OX3XR         599 002 YO7ARZ        599 24
QSO: 28001 CW 2023-12-09 1252 OX3XR         599 004 SV1AZL        599 62
QSO: 28001 CW 2023-12-09 1255 OX3XR         599 5 YO3APJ        599 61
QSO: 28001 CW 2023-12-09 1300 OX3XR         599 8 EA7FPG        599 4
QSO: 28001 CW 2023-12-09 1300 OX3XR         599 009 LZ6K          599 338
QSO: 28021 CW 2023-12-09 1303 OX3XR         599 11 M2G           599 266
QSO: 28023 CW 2023-12-09 1305 OX3XR         599 13 NC1CC         599 RI
QSO: 28025 CW 2023-12-09 1305 OX3XR         599 14 MM0T          599 259
QSO: 28037 CW 2023-12-09 1307 OX3XR         599 15 OZ5W          599 212
QSO: 28043 CW 2023-12-09 1308 OX3XR         599 16 LA9GX         599 273
QSO: 28045 CW 2023-12-09 1310 OX3XR         599 17 J42L          599 110
QSO: 28056 CW 2023-12-09 1311 OX3XR         599 18 MM1E          599 83
QSO: 28001 CW 2023-12-09 1313 OX3XR         599 96 K4EA          599 GA
QSO: 28005 CW 2023-12-09 1315 OX3XR         599 19 MI5I          599 238
QSO: 28001 CW 2023-12-09 1317 OX3XR         599 20 N3JT          599 VA
QSO: 28001 CW 2023-12-09 1318 OX3XR         599 22 HA5JI         599 467
QSO: 28001 CW 2023-12-09 1318 OX3XR         599 22 IK3ORD        599 0200
QSO: 28001 CW 2023-12-09 1318 OX3XR         599 21 SP8R          599 396
QSO: 28001 CW 2023-12-09 1319 OX3XR         599 023 HA1AG         599 485
QSO: 28000 CW 2023-12-09 1320 OX3XR         599 024 ZS2M          599 0044
QSO: 28001 CW 2023-12-09 1320 OX3XR         599 25 IR9K          599 306
QSO: 28001 CW 2023-12-09 1322 OX3XR         599 27 SP1NY         599 195
QSO: 28000 CW 2023-12-09 1323 OX3XR         599 29 IK2PFL        599 411
QSO: 28001 CW 2023-12-09 1323 OX3XR         599 30 K1LZ          599 ME
QSO: 28001 CW 2023-12-09 1324 OX3XR         599 1 W1TJL         599 CT
QSO: 28001 CW 2023-12-09 1326 OX3XR         599 31 N1RM          599 VA
QSO: 28001 CW 2023-12-09 1327 OX3XR         599 32 N3AM          599 MD
QSO: 28001 CW 2023-12-09 1327 OX3XR         599 033 SP1D          599 185
QSO: 28001 CW 2023-12-09 1328 OX3XR         599 34 LZ6W          599 188
QSO: 28001 CW 2023-12-09 1329 OX3XR         599 36 OK3C          599 503
QSO: 28001 CW 2023-12-09 1329 OX3XR         599 035 W2AW          599 NJ
QSO: 28001 CW 2023-12-09 1329 OX3XR         599 37 W2GDJ         599 NY
QSO: 28001 CW 2023-12-09 1330 OX3XR         599 39 K3TS          599 NJ
QSO: 28001 CW 2023-12-09 1330 OX3XR         599 38 TK5MH         599 53
QSO: 28001 CW 2023-12-09 1331 OX3XR         599 41 MM2N          599 233
QSO: 28001 CW 2023-12-09 1331 OX3XR         599 040 N4DJ          599 VA
QSO: 28001 CW 2023-12-09 1332 OX3XR         599 042 E7DX          599 713
QSO: 28001 CW 2023-12-09 1333 OX3XR         599 44 SV2CLJ        599 1
QSO: 28001 CW 2023-12-09 1335 OX3XR         599 46 PA4Y          599 43
QSO: 28001 CW 2023-12-09 1335 OX3XR         599 045 YT3X          599 552
QSO: 28001 CW 2023-12-09 1336 OX3XR         599 047 HG5D          599 313
QSO: 28001 CW 2023-12-09 1336 OX3XR         599 48 LZ5R          599 809
QSO: 28002 CW 2023-12-09 1337 OX3XR         599 043 9A2M          599 71
QSO: 28001 CW 2023-12-09 1338 OX3XR         599 50 PA0O          599 183
QSO: 28000 CW 2023-12-09 1339 OX3XR         599 053 YU1YV         599 128
QSO: 28001 CW 2023-12-09 1339 OX3XR         599 052 K1AR          599 NH
QSO: 28001 CW 2023-12-09 1340 OX3XR         599 54 LZ7W          599 50
QSO: 28001 CW 2023-12-09 1340 OX3XR         599 55 SN2M          599 459
QSO: 28001 CW 2023-12-09 1342 OX3XR         599 56 W1ARY         599 CT
QSO: 28001 CW 2023-12-09 1342 OX3XR         599 057 WA3C          599 OH
QSO: 28001 CW 2023-12-09 1343 OX3XR         599 58 9A5M          599 457
QSO: 28001 CW 2023-12-09 1343 OX3XR         599 059 N2YO          599 VA
QSO: 28001 CW 2023-12-09 1343 OX3XR         599 60 VE3RZ         599 ON
QSO: 28001 CW 2023-12-09 1524 OX3XR         599 61 K1MM          599 FL
QSO: 28003 CW 2023-12-09 1524 OX3XR         599 62 N9NC          599 NH
QSO: 28001 CW 2023-12-09 1526 OX3XR         599 63 LU3MG         599 455
QSO: 28017 CW 2023-12-09 1528 OX3XR         599 65 VE5MX         599 SK
