START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: ARRL-10
CALLSIGN: GM3YTS
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: GM3YTS
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for ARRL-10 ARRL/arrl_10_meter_contest/2023.
QSO: 28031 CW 2023-12-10 1514 GM3YTS        599 2 KP3W          599 142
QSO: 28031 CW 2023-12-10 1515 GM3YTS        599 3 W1FJ          599 MA
QSO: 28031 CW 2023-12-10 1516 GM3YTS        599 4 K1LZ          599 ME
QSO: 28031 CW 2023-12-10 1517 GM3YTS        599 7 K8LF          599 VA
QSO: 28031 CW 2023-12-10 1517 GM3YTS        599 6 W0UC          599 MN
QSO: 28031 CW 2023-12-10 1518 GM3YTS        599 11 K0UK          599 CO
QSO: 28031 CW 2023-12-10 1518 GM3YTS        599 8 KC9K          599 IL
QSO: 28031 CW 2023-12-10 1518 GM3YTS        599 10 N9GUN         599 IL
QSO: 28031 CW 2023-12-10 1519 GM3YTS        599 13 NX3Z          599 MD
QSO: 28031 CW 2023-12-10 1519 GM3YTS        599 12 VA2IW         599 QC
QSO: 28031 CW 2023-12-10 1520 GM3YTS        599 16 K5VIP         599 VA
QSO: 28031 CW 2023-12-10 1520 GM3YTS        599 17 KE4KY         599 KY
QSO: 28031 CW 2023-12-10 1520 GM3YTS        599 15 N4QS          599 KY
QSO: 28031 CW 2023-12-10 1520 GM3YTS        599 14 NE8P          599 FL
QSO: 28031 CW 2023-12-10 1521 GM3YTS        599 18 WB0POH        599 VA
QSO: 28031 CW 2023-12-10 1522 GM3YTS        599 21 KR2AA         599 NY
QSO: 28031 CW 2023-12-10 1522 GM3YTS        599 20 W3AVP         599 PA
QSO: 28031 CW 2023-12-10 1523 GM3YTS        599 23 KB9S          599 WI
