START-OF-LOG: 3.0
CONTEST: CQ-WPX-SSB
CALLSIGN: KA6HUM
LOCATION: SF
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION:
CATEGORY-OVERLAY:
GRID-LOCATOR: CN70XU
CLAIMED-SCORE: 24
NAME: Dick Johnson
OPERATORS: KA6HUM
CREATED-BY:
SOAPBOX: First time putting together a Cabrillo file. Hope it's right!
QSO:   28600 PH 2025-03-29 0046 KA6HUM           59  001   JJ1MBU           59   44       
QSO:   28354 PH 2025-03-29 0050 KA6HUM           59  002   WH7T             59   214      
QSO:   28535 PH 2025-03-29 0104 KA6HUM           59  003   K9CT             59   145      
QSO:   28523 PH 2025-03-29 0108 KA6HUM           59  004   NU5A             59   206      
QSO:   28313 PH 2025-03-29 0159 KA6HUM           59  005   KN6ZB            59   308      
QSO:   28313 PH 2025-03-29 0211 KA6HUM           59  006   NH6D             59   175      
QSO:   28603 PH 2025-03-29 0218 KA6HUM           59  007   JA2AXB           59   119      
QSO:   28520 PH 2025-03-29 0227 KA6HUM           59  008   VJ2X             59   386      
QSO:   28417 PH 2025-03-29 0233 KA6HUM           59  009   RT0F             59   204      
QSO:   28399 PH 2025-03-29 1848 KA6HUM           59  010   NQ2F             59   188      
QSO:   28410 PH 2025-03-29 1852 KA6HUM           59  011   NI4W             59   259      
QSO:   28547 PH 2025-03-29 1856 KA6HUM           59  012   WN2O             59   788      
QSO:   28675 PH 2025-03-30 1802 KA6HUM           59  013   K0AP             59   899      
QSO:   21307 PH 2025-03-30 1827 KA6HUM           59  014   KL5DX            59   2088     
QSO:   14256 PH 2025-03-30 1847 KA6HUM           59  015   NH6D             59   2933     
QSO:   28585 PH 2025-03-30 1904 KA6HUM           59  016   KT5J             59   3120     
END-OF-LOG:
