START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: KA3MTT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KA3MTT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2018.
QSO:  7189 PH 2018-03-25 0326 KA3MTT        59 0073 VE6AO         59 1860
QSO:  7237 PH 2018-03-25 0331 KA3MTT        59 0074 W8WOM         59 0454
QSO:  3500 PH 2018-03-25 0336 KA3MTT        59 075 KC4NX         59 140
QSO:  3603 PH 2018-03-25 0338 KA3MTT        59 0076 KR1CW         59 0157
QSO:  3655 PH 2018-03-25 0342 KA3MTT        59 0078 N4RV          59 0715
QSO:  3655 PH 2018-03-25 0342 KA3MTT        59 0079 W4MYA         59 0620
QSO:  3667 PH 2018-03-25 0345 KA3MTT        59 0080 KO0A          59 0894
QSO:  3669 PH 2018-03-25 0351 KA3MTT        59 0081 AJ7G          59 0362
QSO:  3675 PH 2018-03-25 0352 KA3MTT        59 0082 WW4LL         59 0572
QSO:  3691 PH 2018-03-25 0356 KA3MTT        59 0083 K2RB          59 0417
QSO:  3701 PH 2018-03-25 0357 KA3MTT        59 0084 VC2A          59 2236
QSO:  3718 PH 2018-03-25 0400 KA3MTT        59 0085 K0MD          59 0437
QSO:  3736 PH 2018-03-25 0405 KA3MTT        59 0086 KU8E          59 0415
QSO:  3783 PH 2018-03-25 0421 KA3MTT        59 0087 W3LL          59 0637
QSO:  7221 PH 2018-03-25 0429 KA3MTT        59 88 8P5A          59 3840
QSO:  7000 PH 2018-03-25 0434 KA3MTT        59 089 TO2BC         59 1239
QSO:  3651 PH 2018-03-25 0435 KA3MTT        59 0090 WZ4F          59 0868
QSO:  3662 PH 2018-03-25 0437 KA3MTT        59 91 P49Y          59 3320
QSO:  3676 PH 2018-03-25 0437 KA3MTT        59 092 WV8SW         59 193
QSO:  3685 PH 2018-03-25 0440 KA3MTT        59 0093 K4MMW         59 0176
QSO:  3754 PH 2018-03-25 0448 KA3MTT        59 0095 VE3UDX        59 2034
