START-OF-LOG: 3.0
CONTEST: IARU-HF
CALLSIGN: Z30HQ
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-STATION: HQ
OPERATORS: Z30A Z31PM Z31RM Z32ID Z32TW Z33B Z34PEC Z34Z Z35F Z35T Z35U
OPERATORS: Z35W
CREATED-BY: DXLOG.NET V2.6.18
HQ-CATEGORY: IARU Headquarters Station
HQ-GRID-LOCATOR: KN11CE
QSO: 14000 CW 2025-07-12 1201 Z30HQ 599 RSM UZ1U 599 29 0
QSO: 7008 CW 2025-07-12 1202 Z30HQ 599 RSM 9A3SM 599 28 0
QSO: 14000 CW 2025-07-12 1202 Z30HQ 599 RSM LA7LV 599 27 0
QSO: 14000 CW 2025-07-12 1203 Z30HQ 599 RSM OK1HEH 599 28 0
QSO: 7008 CW 2025-07-12 1203 Z30HQ 599 RSM 9A2NO 599 28 0
QSO: 14000 CW 2025-07-12 1203 Z30HQ 599 RSM DF6PK 599 28 0
QSO: 14000 CW 2025-07-12 1204 Z30HQ 599 RSM LY3CY 599 29 0
QSO: 14000 CW 2025-07-12 1205 Z30HQ 599 RSM DL4XU 599 28 0
QSO: 14000 CW 2025-07-12 1205 Z30HQ 599 RSM DF7EE 599 28 0
QSO: 14000 CW 2025-07-12 1206 Z30HQ 599 RSM SP5WAZ 599 28 0
QSO: 14000 CW 2025-07-12 1206 Z30HQ 599 RSM LY2K 599 29 0
QSO: 7008 CW 2025-07-12 1206 Z30HQ 599 RSM 9A0HQ 599 HRS 0
QSO: 14000 CW 2025-07-12 1207 Z30HQ 599 RSM SQ1DNJ 599 28 0
QSO: 14000 CW 2025-07-12 1208 Z30HQ 599 RSM OK8IF 599 28 0
QSO: 14000 CW 2025-07-12 1208 Z30HQ 599 RSM HG6N 599 28 0
QSO: 14000 CW 2025-07-12 1209 Z30HQ 599 RSM SN9S 599 28 0
QSO: 14000 CW 2025-07-12 1209 Z30HQ 599 RSM DD5M 599 28 0
QSO: 14000 CW 2025-07-12 1210 Z30HQ 599 RSM SN0HQ 599 PZK 0
QSO: 14000 CW 2025-07-12 1210 Z30HQ 599 RSM EW1E 599 29 0
QSO: 14000 CW 2025-07-12 1211 Z30HQ 599 RSM DF4XX 599 28 0
QSO: 14000 CW 2025-07-12 1211 Z30HQ 599 RSM PE3T 599 27 0
QSO: 14000 CW 2025-07-12 1211 Z30HQ 599 RSM SP9DTE 599 28 0
QSO: 14000 CW 2025-07-12 1212 Z30HQ 599 RSM DK2OY 599 28 0
QSO: 21038 CW 2025-07-12 1212 Z30HQ 599 RSM 3V8HS 599 ARAT 0
QSO: 14000 CW 2025-07-12 1212 Z30HQ 599 RSM DL3KWF 599 28 0
QSO: 14000 CW 2025-07-12 1213 Z30HQ 599 RSM SP2XX 599 28 0
QSO: 14000 CW 2025-07-12 1213 Z30HQ 599 RSM F5IQJ 599 27 0
QSO: 14000 CW 2025-07-12 1213 Z30HQ 599 RSM OK6CX 599 28 0
QSO: 14000 CW 2025-07-12 1214 Z30HQ 599 RSM HG6N 599 28 0
