START-OF-LOG: 3.0
CONTEST: IARU-HF
CALLSIGN: ED0HQ
LOCATION: DX
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-POWER: HIGH
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-STATION: HQ
OPERATORS: EA1X EA1P EA1TL EB4A EC1KR EB1RL EA2DR EA2BFM EA2EJO EA3AKA EA3QP
OPERATORS: EA5BWR EA5RS EA5BY EA5FID EB5A EA5GX EA5OH EA5KA EA5WP EA3NT EA5KM
OPERATORS: EA5XA EC5K EA5PI EC5Y EA5J EA7ATX EA7FPG EA7JZ EA7AKK EA7FUN EA7KE
OPERATORS: EA4R EB7A EC7WR EA1V EA5DFV EA7X
CREATED-BY: WIN-TEST 4.57.0
HQ-CATEGORY: IARU Headquarters Station
HQ-GRID-LOCATOR: IN80MM
QSO: 21321 PH 2025-07-12 1200 ED0HQ 59 URE UT6EE 59 29 0
QSO: 21028 CW 2025-07-12 1200 ED0HQ 599 URE Z33F 599 28 0
QSO: 21321 PH 2025-07-12 1200 ED0HQ 59 URE ES6RW 59 29 0
QSO: 14004 CW 2025-07-12 1200 ED0HQ 599 URE EA1GT/QRP 599 37 0
QSO: 14283 PH 2025-07-12 1200 ED0HQ 59 URE DD2EA 59 28 0
QSO: 7130 PH 2025-07-12 1200 ED0HQ 59 URE EA1CP 59 37 0
QSO: 7026 CW 2025-07-12 1200 ED0HQ 599 URE EC5A 599 37 0
QSO: 28016 CW 2025-07-12 1200 ED0HQ 599 URE UZ1WW 599 29 0
QSO: 14004 CW 2025-07-12 1200 ED0HQ 599 URE SN0HQ 599 PZK 0
QSO: 14283 PH 2025-07-12 1200 ED0HQ 59 URE 9A7Y 59 28 0
QSO: 28016 CW 2025-07-12 1201 ED0HQ 599 URE DP6R 599 28 0
QSO: 21028 CW 2025-07-12 1201 ED0HQ 599 URE UA3SKV 599 29 0
QSO: 14004 CW 2025-07-12 1201 ED0HQ 599 URE DL2MM 599 28 0
QSO: 14283 PH 2025-07-12 1201 ED0HQ 59 URE YT0HQ 59 SRS 0
QSO: 14283 PH 2025-07-12 1201 ED0HQ 59 URE 9A8TT 59 28 0
QSO: 14004 CW 2025-07-12 1201 ED0HQ 599 URE SP7OGP 599 28 0
QSO: 28016 CW 2025-07-12 1201 ED0HQ 599 URE DK3YD 599 28 0
QSO: 7130 PH 2025-07-12 1201 ED0HQ 59 URE EC5A 59 37 0
QSO: 21031 CW 2025-07-12 1201 ED0HQ 599 URE 9A0HQ 599 HRS 0
QSO: 14283 PH 2025-07-12 1201 ED0HQ 59 URE S56RM 59 28 0
QSO: 14004 CW 2025-07-12 1201 ED0HQ 599 URE PE2K 599 27 0
QSO: 21321 PH 2025-07-12 1201 ED0HQ 59 URE I4VIL 59 28 0
QSO: 21028 CW 2025-07-12 1201 ED0HQ 599 URE EA5O 599 37 0
QSO: 7130 PH 2025-07-12 1201 ED0HQ 59 URE EA1Y 59 37 0
QSO: 14283 PH 2025-07-12 1202 ED0HQ 59 URE DJ6DO 59 28 0
QSO: 28459 PH 2025-07-12 1202 ED0HQ 59 URE EA8KR 59 36 0
QSO: 21028 CW 2025-07-12 1202 ED0HQ 599 URE LZ0HQ 599 BFRA 0
QSO: 28016 CW 2025-07-12 1202 ED0HQ 599 URE DM3M 599 28 0
QSO: 14004 CW 2025-07-12 1202 ED0HQ 599 URE DJ0YI 599 28 0
QSO: 7130 PH 2025-07-12 1202 ED0HQ 59 URE EA2DPS 59 37 0
QSO: 21028 CW 2025-07-12 1202 ED0HQ 599 URE RU1A 599 29 0
QSO: 7026 CW 2025-07-12 1202 ED0HQ 599 URE EA1CP 599 37 0
QSO: 28016 CW 2025-07-12 1202 ED0HQ 599 URE DM3ZM 599 28 0
QSO: 28459 PH 2025-07-12 1202 ED0HQ 59 URE PU7MLI 59 13 0
QSO: 21028 CW 2025-07-12 1202 ED0HQ 599 URE UW5IM 599 29 0
QSO: 21321 PH 2025-07-12 1202 ED0HQ 59 URE DL9CT 59 28 0
QSO: 14004 CW 2025-07-12 1202 ED0HQ 599 URE IK4RVY 599 28 0
QSO: 7130 PH 2025-07-12 1202 ED0HQ 59 URE EA1DFP 59 37 0
QSO: 21028 CW 2025-07-12 1202 ED0HQ 599 URE R4WAE 599 30 0
QSO: 21321 PH 2025-07-12 1202 ED0HQ 59 URE DL7AOS 59 28 0
QSO: 14004 CW 2025-07-12 1202 ED0HQ 599 URE F5ICC 599 27 0
QSO: 21011 CW 2025-07-12 1202 ED0HQ 599 URE GR2HQ 599 RSGB 0
QSO: 28459 PH 2025-07-12 1202 ED0HQ 59 URE PU7MLI 59 13 0
QSO: 14283 PH 2025-07-12 1202 ED0HQ 59 URE PA0KD 59 27 0
QSO: 14004 CW 2025-07-12 1203 ED0HQ 599 URE DL4XU 599 28 0
QSO: 28028 CW 2025-07-12 1203 ED0HQ 599 URE PW2F 599 15 0
QSO: 21028 CW 2025-07-12 1203 ED0HQ 599 URE EV1R 599 29 0
QSO: 21321 PH 2025-07-12 1203 ED0HQ 59 URE R3LCV 59 29 0
QSO: 28459 PH 2025-07-12 1203 ED0HQ 59 URE LP1D 59 14 0
QSO: 21012 CW 2025-07-12 1203 ED0HQ 599 URE SK9HQ 599 SSA 0
QSO: 14004 CW 2025-07-12 1203 ED0HQ 599 URE F4ITQ 599 27 0
QSO: 21028 CW 2025-07-12 1203 ED0HQ 599 URE EC5A 599 37 0
QSO: 21321 PH 2025-07-12 1203 ED0HQ 59 URE 9A0HQ 59 HRS 0
QSO: 28016 CW 2025-07-12 1203 ED0HQ 599 URE DF7C 599 28 0
QSO: 21321 PH 2025-07-12 1203 ED0HQ 59 URE RM9A 59 30 0
QSO: 14004 CW 2025-07-12 1203 ED0HQ 599 URE EA8DOX 599 36 0
QSO: 28459 PH 2025-07-12 1203 ED0HQ 59 URE PY2MP 59 15 0
QSO: 14283 PH 2025-07-12 1203 ED0HQ 59 URE IT9KLY 59 28 0
QSO: 21028 CW 2025-07-12 1203 ED0HQ 599 URE R6SX 599 29 0
QSO: 21321 PH 2025-07-12 1203 ED0HQ 59 URE PI4DX 59 27 0
QSO: 14034 CW 2025-07-12 1203 ED0HQ 599 URE LZ0HQ 599 BFRA 0
QSO: 21321 PH 2025-07-12 1203 ED0HQ 59 URE WX3B 59 08 0
QSO: 14004 CW 2025-07-12 1203 ED0HQ 599 URE SP2XX 599 28 0
QSO: 21028 CW 2025-07-12 1203 ED0HQ 599 URE EU8U 599 29 0
QSO: 28459 PH 2025-07-12 1204 ED0HQ 59 URE PY2BN 59 15 0
QSO: 21321 PH 2025-07-12 1204 ED0HQ 59 URE LZ6LZ 59 28 0
QSO: 14283 PH 2025-07-12 1204 ED0HQ 59 URE SP3WKW 59 28 0
QSO: 21037 CW 2025-07-12 1204 ED0HQ 599 URE S50HQ 599 ZRS 0
QSO: 28016 CW 2025-07-12 1204 ED0HQ 599 URE EA5O 599 37 0
QSO: 14004 CW 2025-07-12 1204 ED0HQ 599 URE M0CYR 599 27 0
QSO: 7026 CW 2025-07-12 1204 ED0HQ 599 URE EA1DFP 599 37 0
QSO: 21028 CW 2025-07-12 1204 ED0HQ 599 URE OK7O 599 28 0
QSO: 14347 PH 2025-07-12 1204 ED0HQ 59 URE EI0HQ 59 IRTS 0
QSO: 21321 PH 2025-07-12 1204 ED0HQ 59 URE I4XNN 59 28 0
QSO: 21321 PH 2025-07-12 1204 ED0HQ 59 URE OK1KKU 59 28 0
QSO: 14004 CW 2025-07-12 1204 ED0HQ 599 URE OK8IF 599 28 0
QSO: 21321 PH 2025-07-12 1204 ED0HQ 59 URE UA3BL 59 29 0
QSO: 7130 PH 2025-07-12 1204 ED0HQ 59 URE EA4E 59 37 0
QSO: 14004 CW 2025-07-12 1204 ED0HQ 599 URE S50HQ 599 ZRS 0
QSO: 28459 PH 2025-07-12 1204 ED0HQ 59 URE PY5IQ 59 15 0
QSO: 14283 PH 2025-07-12 1204 ED0HQ 59 URE IV3KOJ 59 28 0
QSO: 28011 CW 2025-07-12 1204 ED0HQ 599 URE PY2NY 599 15 0
QSO: 28016 CW 2025-07-12 1204 ED0HQ 599 URE 9A1AA 599 28 0
QSO: 21321 PH 2025-07-12 1204 ED0HQ 59 URE HA3DX 59 28 0
QSO: 14337 PH 2025-07-12 1205 ED0HQ 59 URE OE0HQ 59 OV 0
QSO: 28016 CW 2025-07-12 1205 ED0HQ 599 URE DM3CW 599 28 0
QSO: 21321 PH 2025-07-12 1205 ED0HQ 59 URE DL1ABR 59 28 0
QSO: 14283 PH 2025-07-12 1205 ED0HQ 59 URE PD1TV 59 27 0
QSO: 14004 CW 2025-07-12 1205 ED0HQ 599 URE EA1DFP 599 37 0
QSO: 14031 CW 2025-07-12 1205 ED0HQ 599 URE 9A0HQ 599 HRS 0
QSO: 21037 CW 2025-07-12 1205 ED0HQ 599 URE HB9HQ 599 USKA 0
QSO: 21028 CW 2025-07-12 1205 ED0HQ 599 URE M0NMM 599 27 0
