START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: RA4HBS
CATEGORY: SINGLE-OP ALL HIGH CW
CATEGORY-OVERLAY:
CLAIMED-SCORE:
CLUB: SAMARA RADIO CLUB
CONTEST: EUHFC
OPERATORS: RA4HBS
NAME: SERGEY BAKHAEV
ADDRESS: MOSKOVSKAJA 3-6
ADDRESS: SAMARSKAJA OBL.
SOAPBOX: GOOD CONTEST
QSO: 21000 CW 2013-08-03 1548 RA4HBS        599 79     OR5T          599 82
QSO: 21000 CW 2013-08-03 1558 RA4HBS        599 79     M0BEW         599 97
QSO: 21000 CW 2013-08-03 1601 RA4HBS        599 79     S50A          599 63
QSO: 21000 CW 2013-08-03 1606 RA4HBS        599 79     SM2T          599 71
QSO: 14000 CW 2013-08-03 1610 RA4HBS        599 79     SP6LV         599 57
QSO: 14000 CW 2013-08-03 1612 RA4HBS        599 79     RN7F          599 07
QSO: 14000 CW 2013-08-03 1615 RA4HBS        599 79     F8EZE         599 06
QSO: 14000 CW 2013-08-03 1622 RA4HBS        599 79     OL5W          599 95
QSO: 14000 CW 2013-08-03 1624 RA4HBS        599 79     F5NBX         599 86
QSO: 14000 CW 2013-08-03 1626 RA4HBS        599 79     YT6M          599 83
QSO: 14000 CW 2013-08-03 1628 RA4HBS        599 79     DF3FS         599 00
QSO: 14000 CW 2013-08-03 1630 RA4HBS        599 79     SP9GFI        599 73
QSO: 14000 CW 2013-08-03 1631 RA4HBS        599 79     OK1EV         599 56
QSO: 14000 CW 2013-08-03 1631 RA4HBS        599 79     RX6AM         599 75
QSO: 14000 CW 2013-08-03 1633 RA4HBS        599 79     UY0CA         599 80
QSO: 14000 CW 2013-08-03 1635 RA4HBS        599 79     YL2GD         599 73
QSO: 14000 CW 2013-08-03 1638 RA4HBS        599 79     EA4FL/P       599 91
QSO: 14000 CW 2013-08-03 1639 RA4HBS        599 79     HA1ZN         599 75
QSO: 14000 CW 2013-08-03 1640 RA4HBS        599 79     UT5C          599 72
QSO: 14000 CW 2013-08-03 1641 RA4HBS        599 79     UA5C          599 93
QSO: 14000 CW 2013-08-03 1642 RA4HBS        599 79     DL3KWF        599 58
QSO: 14000 CW 2013-08-03 1647 RA4HBS        599 79     LY2MM         599 70
QSO: 14000 CW 2013-08-03 1648 RA4HBS        599 79     UZ8I          599 79
QSO: 14000 CW 2013-08-03 1652 RA4HBS        599 79     9A4WY         599 88
