START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: YU7KW
CATEGORY: SINGLE-OP ALL LOW MIXED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 71064
CLUB: YU DX C
CONTEST: EUHFC
OPERATORS:
NAME: Zoran Pekmezovic
ADDRESS: P.O.Box 36 26101 Pancevo Serbia
ADDRESS:
SOAPBOX: Enjoyable contest despite poor antennas only for 40/20m bands.
QSO: 28024 CW 2013-08-03 1201 YU7KW         599 75     YL3FT         599 05
QSO: 28031 CW 2013-08-03 1201 YU7KW         599 75     UI2K          599 82
QSO: 28034 CW 2013-08-03 1201 YU7KW         599 75     PI4DX         599 08
QSO: 28043 CW 2013-08-03 1202 YU7KW         599 75     SM5CKV        599 60
QSO: 28022 CW 2013-08-03 1203 YU7KW         599 75     UA2FL         599 64
QSO: 28018 CW 2013-08-03 1204 YU7KW         599 75     YL8M          599 75
QSO: 28007 CW 2013-08-03 1205 YU7KW         599 75     OR2A          599 88
QSO: 28013 CW 2013-08-03 1207 YU7KW         599 75     YT0Z          599 75
QSO: 28017 CW 2013-08-03 1207 YU7KW         599 75     DK3KD         599 69
QSO: 28025 CW 2013-08-03 1209 YU7KW         599 75     DK0MM         599 60
QSO: 28044 CW 2013-08-03 1210 YU7KW         599 75     YL2GD         599 73
QSO: 28040 CW 2013-08-03 1211 YU7KW         599 75     DL2NBY        599 79
QSO: 28048 CW 2013-08-03 1214 YU7KW         599 75     DL9ZP         599 70
QSO: 28466 PH 2013-08-03 1215 YU7KW         59  75     RW1A          59  84
QSO: 28446 PH 2013-08-03 1218 YU7KW         59  75     DF6JC         59  79
QSO: 28478 PH 2013-08-03 1218 YU7KW         59  75     DJ6QT         59  60
QSO: 28486 PH 2013-08-03 1219 YU7KW         59  75     SN2K          59  97
QSO: 28504 PH 2013-08-03 1220 YU7KW         59  75     GM4AFF        59  71
QSO: 28501 PH 2013-08-03 1220 YU7KW         59  75     DJ8OG         59  99
QSO: 28475 PH 2013-08-03 1221 YU7KW         59  75     DL9OHA        59  85
QSO: 28472 PH 2013-08-03 1222 YU7KW         59  75     OH0JFP        59  70
QSO: 28032 CW 2013-08-03 1223 YU7KW         599 75     DJ9IE         599 62
QSO: 28021 CW 2013-08-03 1225 YU7KW         599 75     PA5WT         599 77
QSO: 28038 CW 2013-08-03 1226 YU7KW         599 75     YU1KX         599 76
QSO: 28046 CW 2013-08-03 1227 YU7KW         599 75     ES5RR         599 82
QSO: 28039 CW 2013-08-03 1227 YU7KW         599 75     DL6KVA        599 84
QSO: 28025 CW 2013-08-03 1228 YU7KW         599 75     UA1ANA        599 70
QSO: 28026 CW 2013-08-03 1230 YU7KW         599 75     PA3AAV        599 77
QSO: 28028 CW 2013-08-03 1230 YU7KW         599 75     DL5JS         599 77
QSO: 28049 CW 2013-08-03 1232 YU7KW         599 75     DL9GS         599 79
QSO: 28065 CW 2013-08-03 1233 YU7KW         599 75     YL7X          599 82
QSO: 21027 CW 2013-08-03 1237 YU7KW         599 75     UI2K          599 82
QSO: 21018 CW 2013-08-03 1238 YU7KW         599 75     UA7C          599 96
QSO: 21038 CW 2013-08-03 1238 YU7KW         599 75     OH2PM         599 59
QSO: 21043 CW 2013-08-03 1240 YU7KW         599 75     SM5CKV        599 60
QSO: 21252 PH 2013-08-03 1242 YU7KW         59  75     DJ6QT         59  60
QSO: 21334 PH 2013-08-03 1243 YU7KW         59  75     PA0AGA        59  56
QSO: 21219 PH 2013-08-03 1245 YU7KW         59  75     RW1CW         59  80
QSO: 21289 PH 2013-08-03 1246 YU7KW         59  75     G3VAO         59  66
QSO: 21243 PH 2013-08-03 1247 YU7KW         59  75     EA7KB         59  92
QSO: 21013 CW 2013-08-03 1249 YU7KW         599 75     M0UNN         599 91
QSO: 21018 CW 2013-08-03 1250 YU7KW         599 75     G3SJJ         599 63
QSO: 21036 CW 2013-08-03 1251 YU7KW         599 75     LY9Y          599 65
QSO: 21040 CW 2013-08-03 1252 YU7KW         599 75     DL6KVA        599 84
QSO: 14044 CW 2013-08-03 1253 YU7KW         599 75     YT8A          599 70
QSO: 14044 CW 2013-08-03 1253 YU7KW         599 75     R7MM          599 68
QSO: 14044 CW 2013-08-03 1253 YU7KW         599 75     YU1KT         599 70
QSO: 14047 CW 2013-08-03 1256 YU7KW         599 75     RV4AB         599 91
QSO: 14047 CW 2013-08-03 1256 YU7KW         599 75     UR7QC         599 72
QSO: 14047 CW 2013-08-03 1256 YU7KW         599 75     SW9FF         599 65
QSO: 14047 CW 2013-08-03 1257 YU7KW         599 75     G3MZV         599 58
QSO: 14047 CW 2013-08-03 1257 YU7KW         599 75     RA3ID         599 68
QSO: 14047 CW 2013-08-03 1258 YU7KW         599 75     RV6LCI        599 90
QSO: 14047 CW 2013-08-03 1258 YU7KW         599 75     PA2PCH        599 05
QSO: 14047 CW 2013-08-03 1259 YU7KW         599 75     SP2LNW        599 79
