START-OF-LOG: 2.0
ARRL-SECTION: DX
CALLSIGN: RK3IM
CATEGORY: SINGLE-OP ALL LOW MIXED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 163200
CLUB: None
CONTEST: EUHFC
OPERATORS: RK3IM
NAME: Leonid  Melnik
ADDRESS: Baskakova  18 / 67   Konakovo  2 Tverskaya  obl.  171252  RUSSIA
ADDRESS:
SOAPBOX:
QSO: 14017 CW 2013-08-03 1209 RK3IM         599 81     UR7GO         599 72
QSO: 14017 CW 2013-08-03 1210 RK3IM         599 81     YT2ISM        599 88
QSO: 14016 CW 2013-08-03 1210 RK3IM         599 81     HA5BSW        599 90
QSO: 14013 CW 2013-08-03 1211 RK3IM         599 81     UU9JK         599 93
QSO: 14009 CW 2013-08-03 1213 RK3IM         599 81     S59ABC        599 74
QSO: 14008 CW 2013-08-03 1213 RK3IM         599 81     LZ5X          599 88
QSO: 14019 CW 2013-08-03 1214 RK3IM         599 81     SK2T          599 80
QSO: 14020 CW 2013-08-03 1214 RK3IM         599 81     G4IIY         599 79
QSO: 14021 CW 2013-08-03 1216 RK3IM         599 81     HG6N          599 72
QSO: 14021 CW 2013-08-03 1216 RK3IM         599 81     HG3M          599 75
QSO: 14023 CW 2013-08-03 1217 RK3IM         599 81     OK1EV         599 56
QSO: 14026 CW 2013-08-03 1218 RK3IM         599 81     RA7A          599 72
QSO: 14026 CW 2013-08-03 1219 RK3IM         599 81     G4MKP         599 80
QSO: 14031 CW 2013-08-03 1219 RK3IM         599 81     OE2LCM        599 81
QSO: 14032 CW 2013-08-03 1220 RK3IM         599 81     SQ9IDE        599 99
QSO: 14032 CW 2013-08-03 1221 RK3IM         599 81     SP4JCP        599 75
QSO: 14035 CW 2013-08-03 1221 RK3IM         599 81     OM5WW         599 89
QSO: 14037 CW 2013-08-03 1222 RK3IM         599 81     PA3AAV        599 77
QSO: 14037 CW 2013-08-03 1223 RK3IM         599 81     DD2ML         599 99
QSO: 14038 CW 2013-08-03 1223 RK3IM         599 81     SV1JG         599 77
QSO: 14033 CW 2013-08-03 1226 RK3IM         599 81     PE2K          599 84
QSO: 14017 CW 2013-08-03 1228 RK3IM         599 81     LY2F          599 72
QSO: 14006 CW 2013-08-03 1231 RK3IM         599 81     YT2AAA        599 07
QSO: 14015 CW 2013-08-03 1232 RK3IM         599 81     SP5KP         599 69
QSO: 14025 CW 2013-08-03 1232 RK3IM         599 81     S51F          599 72
QSO: 14028 CW 2013-08-03 1233 RK3IM         599 81     UU5J          599 91
QSO: 14036 CW 2013-08-03 1235 RK3IM         599 81     F8AEE         599 95
QSO: 14040 CW 2013-08-03 1238 RK3IM         599 81     HG4F          599 78
QSO: 14041 CW 2013-08-03 1239 RK3IM         599 81     OH6CT         599 80
QSO: 14043 CW 2013-08-03 1240 RK3IM         599 81     SN6A          599 67
QSO: 14043 CW 2013-08-03 1241 RK3IM         599 81     DF9DM         599 79
QSO: 14045 CW 2013-08-03 1241 RK3IM         599 81     YO4DW         599 83
QSO: 14046 CW 2013-08-03 1241 RK3IM         599 81     YU0W          599 91
QSO: 14047 CW 2013-08-03 1242 RK3IM         599 81     S53EO         599 63
QSO: 14047 CW 2013-08-03 1243 RK3IM         599 81     LZ1QZ         599 78
QSO: 14048 CW 2013-08-03 1243 RK3IM         599 81     OK1HEH        599 91
QSO: 14052 CW 2013-08-03 1244 RK3IM         599 81     SE2I          599 72
QSO: 14054 CW 2013-08-03 1244 RK3IM         599 81     YU1KT         599 70
QSO: 14179 PH 2013-08-03 1246 RK3IM         59  81     EE7K          59  95
QSO: 14195 PH 2013-08-03 1247 RK3IM         59  81     SE3X          59  12
QSO: 14203 PH 2013-08-03 1248 RK3IM         59  81     IV3UHL        59  90
QSO: 14216 PH 2013-08-03 1248 RK3IM         59  81     LY5A          59  70
QSO: 14265 PH 2013-08-03 1250 RK3IM         59  81     TA1AMO        59  10
QSO: 14277 PH 2013-08-03 1251 RK3IM         59  81     SI3A          59  80
QSO: 14280 PH 2013-08-03 1251 RK3IM         59  81     DL2ALY        59  09
QSO: 14283 PH 2013-08-03 1252 RK3IM         59  81     DF6JC         59  79
QSO: 14288 PH 2013-08-03 1253 RK3IM         59  81     SO2O          59  97
QSO: 14188 PH 2013-08-03 1254 RK3IM         59  81     EA5ICU        59  11
QSO: 14197 PH 2013-08-03 1255 RK3IM         59  81     E72SIE        59  07
QSO: 14260 PH 2013-08-03 1257 RK3IM         59  81     DD8SM         59  04
QSO: 14275 PH 2013-08-03 1258 RK3IM         59  81     SP4JCP        59  75
QSO: 21019 CW 2013-08-03 1302 RK3IM         599 81     S53F          599 83
QSO: 21017 CW 2013-08-03 1303 RK3IM         599 81     DF3KWF        599 58
QSO: 21012 CW 2013-08-03 1304 RK3IM         599 81     DK0MM         599 60
QSO: 21011 CW 2013-08-03 1305 RK3IM         599 81     DJ2QV         599 87
QSO: 21010 CW 2013-08-03 1305 RK3IM         599 81     SP3ASN        599 75
QSO: 21022 CW 2013-08-03 1307 RK3IM         599 81     DD2ML         599 99
QSO: 21027 CW 2013-08-03 1308 RK3IM         599 81     OK5M          599 80
QSO: 21033 CW 2013-08-03 1309 RK3IM         599 81     SN7Q          599 72
QSO: 21034 CW 2013-08-03 1309 RK3IM         599 81     DK4YJ         599 95
QSO: 21035 CW 2013-08-03 1310 RK3IM         599 81     S50A          599 63
QSO: 21010 CW 2013-08-03 1312 RK3IM         599 81     DK6XZ         599 82
QSO: 21035 CW 2013-08-03 1315 RK3IM         599 81     F6HKA         599 81
QSO: 21043 CW 2013-08-03 1315 RK3IM         599 81     OR2A          599 88
QSO: 21045 CW 2013-08-03 1316 RK3IM         599 81     EA5FQ         599 92
QSO: 21047 CW 2013-08-03 1316 RK3IM         599 81     OK7T          599 83
QSO: 21228 PH 2013-08-03 1318 RK3IM         59  81     S53M          59  77
QSO: 21243 PH 2013-08-03 1319 RK3IM         59  81     EA7KB         59  92
QSO: 21275 PH 2013-08-03 1319 RK3IM         59  81     OO4JZ         59  82
