START-OF-LOG: 3.0
CREATED-BY: vhfmanager-downloader
CONTEST: WW_PMC
CALLSIGN: K1ZZ
CATEGORY: ALL - All bands high power CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: FIXED
QSO: 14000 CW 2019-01-05 1200 K1ZZ          599 5          CT1DRB        599 LIS*      
QSO: 14000 CW 2019-01-05 1201 K1ZZ          599 5          S59DCD        599 SLG*      
QSO: 14000 CW 2019-01-05 1203 K1ZZ          599 5          IV3UHL        599 15        
QSO: 14000 CW 2019-01-05 1205 K1ZZ          599 5          S53BB         599 15        
QSO: 14000 CW 2019-01-05 1208 K1ZZ          599 5          9A1AA         599 15        
QSO: 14000 CW 2019-01-05 1208 K1ZZ          599 5          S53F          599 15        
QSO: 14000 CW 2019-01-05 1209 K1ZZ          599 5          OK2MBP        599 15        
QSO: 14000 CW 2019-01-05 1210 K1ZZ          599 5          SE4E          599 14        
QSO: 14000 CW 2019-01-05 1210 K1ZZ          599 5          LZ1QZ         599 20        
QSO: 14000 CW 2019-01-05 1211 K1ZZ          599 5          9A1CRT        599 ZGB*      
QSO: 14000 CW 2019-01-05 1212 K1ZZ          599 5          OM8AQ         599 KOE*      
QSO: 14000 CW 2019-01-05 1214 K1ZZ          599 5          R6CC          599 SOI*      
QSO: 14000 CW 2019-01-05 1215 K1ZZ          599 5          RK3AW         599 MOS*      
QSO: 14000 CW 2019-01-05 1216 K1ZZ          599 5          LZ1ND         599 20        
QSO: 14000 CW 2019-01-05 1217 K1ZZ          599 5          YL5X          599 15        
QSO: 14000 CW 2019-01-05 1217 K1ZZ          599 5          E74X          599 15        
QSO: 14000 CW 2019-01-05 1219 K1ZZ          599 5          S53Q          599 SLG       
QSO: 14000 CW 2019-01-05 1233 K1ZZ          599 5          PA5N          599 14        
QSO: 14000 CW 2019-01-05 1234 K1ZZ          599 5          PA6AA         599 14        
QSO: 14000 CW 2019-01-05 1236 K1ZZ          599 5          S511PMC       599 SLG       
QSO: 14000 CW 2019-01-05 1237 K1ZZ          599 5          UR5MM         599 16        
QSO: 14000 CW 2019-01-05 1238 K1ZZ          599 5          K4BAI         599 5         
QSO: 14000 CW 2019-01-05 1238 K1ZZ          599 5          SD6M          599 14        
QSO: 14000 CW 2019-01-05 1239 K1ZZ          599 5          UA1AJ         599 SPE*      
QSO: 14000 CW 2019-01-05 1240 K1ZZ          599 5          MM3AWD        599 14        
QSO: 14000 CW 2019-01-05 1240 K1ZZ          599 5          RA3AGF        599 MOS       
QSO: 14000 CW 2019-01-05 1241 K1ZZ          599 5          OM7LW         599 15        
QSO: 14000 CW 2019-01-05 1241 K1ZZ          599 5          UA2FL         599 15        
QSO: 14000 CW 2019-01-05 1241 K1ZZ          599 5          EW1TZ         599 MIN*      
