START-OF-LOG: 3.0
CALLSIGN: SM5EFX
CLUB: SK5AA Västerås Radioklubb
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 30996
OPERATORS: SM5EFX
NAME: Anders Eidenvall
CREATED-BY: N1MM Logger V6.10.13
SOAPBOX: TRX is ATS-3 with 4 W output, ANT is dipole
LOCATION: DX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO:  3500 CW 2006-11-25 0516 SM5EFX        599 14     RL3A          599 16
QSO:  3500 CW 2006-11-25 0517 SM5EFX        599 14     R7C           599 16
QSO:  3500 CW 2006-11-25 0522 SM5EFX        599 14     S59A          599 15
QSO:  3500 CW 2006-11-25 0524 SM5EFX        599 14     RX4HZ         599 16
QSO:  3500 CW 2006-11-25 0528 SM5EFX        599 14     LZ9A          599 20
QSO:  3500 CW 2006-11-25 0530 SM5EFX        599 14     RD3A          599 16
QSO:  3500 CW 2006-11-25 0538 SM5EFX        599 14     9A6M          599 15
QSO:  3500 CW 2006-11-25 0552 SM5EFX        599 14     OM8A          599 15
QSO:  3500 CW 2006-11-25 0554 SM5EFX        599 14     OM7DX         599 15
QSO:  3500 CW 2006-11-25 0557 SM5EFX        599 14     S57U          599 15
QSO:  3500 CW 2006-11-25 0559 SM5EFX        599 14     S53EO         599 15
QSO:  3500 CW 2006-11-25 0600 SM5EFX        599 14     S53XX         599 15
QSO:  3500 CW 2006-11-25 0601 SM5EFX        599 14     4N1A          599 15
QSO:  3500 CW 2006-11-25 0603 SM5EFX        599 14     S57UN         599 15
QSO:  3500 CW 2006-11-25 0604 SM5EFX        599 14     EU1PA         599 16
QSO:  3500 CW 2006-11-25 0608 SM5EFX        599 14     HB9EP         599 14
QSO:  3500 CW 2006-11-25 0614 SM5EFX        599 14     ES2DJ         599 15
QSO:  3500 CW 2006-11-25 0619 SM5EFX        599 14     OE2G          599 15
QSO:  3500 CW 2006-11-25 0621 SM5EFX        599 14     OK1QM         599 15
QSO:  3500 CW 2006-11-25 0622 SM5EFX        599 14     DK1BN         599 14
QSO:  3500 CW 2006-11-25 0623 SM5EFX        599 14     LY3M          599 15
QSO:  3500 CW 2006-11-25 0624 SM5EFX        599 14     TM6X          599 14
QSO:  3500 CW 2006-11-25 0635 SM5EFX        599 14     PA4A          599 14
QSO:  3500 CW 2006-11-25 0638 SM5EFX        599 14     OK5W          599 15
QSO:  3500 CW 2006-11-25 0639 SM5EFX        599 14     G6PZ          599 14
QSO:  3500 CW 2006-11-25 0640 SM5EFX        599 14     HA1YI         599 15
QSO:  3500 CW 2006-11-25 0648 SM5EFX        599 14     DK2GZ         599 14
QSO:  3500 CW 2006-11-25 0649 SM5EFX        599 14     DF0HQ         599 14
QSO:  3500 CW 2006-11-25 0652 SM5EFX        599 14     GM0GAV        599 14
QSO:  3500 CW 2006-11-25 0654 SM5EFX        599 14     OH6M          599 15
QSO:  3500 CW 2006-11-25 0657 SM5EFX        599 14     ES5RR         599 15
QSO:  3500 CW 2006-11-25 0657 SM5EFX        599 14     GM3WUX        599 14
QSO:  3500 CW 2006-11-25 0659 SM5EFX        599 14     LY2FN         599 15
QSO:  3500 CW 2006-11-25 0700 SM5EFX        599 14     YL0A          599 15
QSO:  3500 CW 2006-11-25 0704 SM5EFX        599 14     SP4KDX        599 15
QSO:  3500 CW 2006-11-25 0707 SM5EFX        599 14     LN9Z          599 14
QSO:  3500 CW 2006-11-25 0710 SM5EFX        599 14     LY7A          599 15
QSO:  3500 CW 2006-11-25 0711 SM5EFX        599 14     DL1EFD        599 14
QSO:  3500 CW 2006-11-25 0713 SM5EFX        599 14     RV1AQ         599 16
QSO:  3500 CW 2006-11-25 0714 SM5EFX        599 14     YL2GQT        599 15
QSO:  3500 CW 2006-11-25 0718 SM5EFX        599 14     SI9AM         599 14
QSO:  3500 CW 2006-11-25 0722 SM5EFX        599 14     DL0CS         599 14
QSO:  7000 CW 2006-11-25 0736 SM5EFX        599 14     LY1C          599 15
QSO:  7000 CW 2006-11-25 0739 SM5EFX        599 14     RU4SU         599 16
QSO:  7000 CW 2006-11-25 0741 SM5EFX        599 14     YU2LA         599 15
QSO:  7000 CW 2006-11-25 0744 SM5EFX        599 14     GD6IA         599 14
QSO:  7000 CW 2006-11-25 0745 SM5EFX        599 14     SP4KDX        599 15
QSO:  7000 CW 2006-11-25 0748 SM5EFX        599 14     OE2S          599 15
QSO:  7000 CW 2006-11-25 0750 SM5EFX        599 14     G4IIY         599 14
QSO:  7000 CW 2006-11-25 0751 SM5EFX        599 14     DR1A          599 14
