START-OF-LOG: 3.0
CALLSIGN: AD6ZJ
CLUB: SCCC
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 16511
OPERATORS: AD6ZJ
SOAPBOX: Not much daylight time for contesting due to family obligations.
NAME: Loren Hunt
CREATED-BY: N1MM Logger V6.10.13
LOCATION: SDG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 14027 CW 2006-11-25 0007 AD6ZJ         599 3      K5NA          599 04
QSO: 14034 CW 2006-11-25 0016 AD6ZJ         599 3      JA5BJC        599 25
QSO: 14041 CW 2006-11-25 0019 AD6ZJ         599 3      PY2NY         599 11
QSO: 14046 CW 2006-11-25 0021 AD6ZJ         599 3      JN4MMO        599 25
QSO:  7002 CW 2006-11-25 0611 AD6ZJ         599 3      K5TR          599 04
QSO:  7005 CW 2006-11-25 0613 AD6ZJ         599 3      JA8RW         599 25
QSO:  7006 CW 2006-11-25 0615 AD6ZJ         599 3      JA5BJC        599 25
QSO:  7007 CW 2006-11-25 0616 AD6ZJ         599 3      JH1AEP        599 25
QSO:  7018 CW 2006-11-25 0627 AD6ZJ         599 3      VE3EY         599 04
QSO:  3504 CW 2006-11-25 0635 AD6ZJ         599 3      W1KM          599 05
QSO:  3510 CW 2006-11-25 0639 AD6ZJ         599 3      VC7G          599 03
QSO:  7039 CW 2006-11-25 0653 AD6ZJ         599 3      VE6WA         599 04
QSO:  7051 CW 2006-11-25 0700 AD6ZJ         599 3      ZL3WW         599 32
QSO:  7063 CW 2006-11-25 0705 AD6ZJ         599 3      HC8N          599 10
QSO:  7070 CW 2006-11-25 0711 AD6ZJ         599 3      WH6R          599 31
QSO:  1824 CW 2006-11-25 0728 AD6ZJ         599 3      WD5R          599 04
QSO:  3565 CW 2006-11-25 0734 AD6ZJ         599 3      VE3MIS        599 04
QSO:  3541 CW 2006-11-25 0742 AD6ZJ         599 3      KH6BK         599 31
QSO:  3536 CW 2006-11-25 0743 AD6ZJ         599 3      KH7X          599 31
QSO:  3531 CW 2006-11-25 0747 AD6ZJ         599 3      KP3Z          599 08
QSO:  3512 CW 2006-11-25 0749 AD6ZJ         599 3      K2NG          599 05
QSO:  1839 CW 2006-11-25 0752 AD6ZJ         599 3      VE3XB         599 04
QSO:  1837 CW 2006-11-25 0754 AD6ZJ         599 3      AC6DD         599 03
QSO:  1829 CW 2006-11-25 0755 AD6ZJ         599 3      K3LR          599 05
QSO:  1827 CW 2006-11-25 0758 AD6ZJ         599 3      VE6SV         599 04
QSO:  1820 CW 2006-11-25 0800 AD6ZJ         599 3      KU1CW         599 04
QSO:  1814 CW 2006-11-25 0801 AD6ZJ         599 3      K3BU          599 05
QSO:  1812 CW 2006-11-25 0802 AD6ZJ         599 3      W9RGB         599 04
QSO:  3507 CW 2006-11-25 0806 AD6ZJ         599 3      W2FU          599 05
QSO:  3507 CW 2006-11-25 0806 AD6ZJ         599 3      W9RE          599 04
QSO:  3517 CW 2006-11-25 0816 AD6ZJ         599 3      JH1OGC        599 25
QSO:  3519 CW 2006-11-25 0818 AD6ZJ         599 3      W7CT          599 03
QSO:  3521 CW 2006-11-25 0819 AD6ZJ         599 3      VE7IG         599 03
QSO:  3522 CW 2006-11-25 0821 AD6ZJ         599 3      RU0LL         599 19
QSO:  3546 CW 2006-11-25 0825 AD6ZJ         599 3      P40T          599 09
QSO:  3547 CW 2006-11-25 0829 AD6ZJ         599 3      VP5W          599 08
QSO: 14007 CW 2006-11-25 0831 AD6ZJ         599 3      K3LR          599 05
QSO: 14010 CW 2006-11-25 0832 AD6ZJ         599 3      NQ4I          599 05
QSO:  7000 CW 2006-11-25 0833 AD6ZJ         599 3      N2IC          599 04
QSO:  7008 CW 2006-11-25 0836 AD6ZJ         599 3      N6RO          599 03
QSO:  7031 CW 2006-11-25 0847 AD6ZJ         599 3      V31X          599 07
QSO:  7033 CW 2006-11-25 0848 AD6ZJ         599 3      P49Y          599 09
QSO:  7050 CW 2006-11-25 0850 AD6ZJ         599 3      C6ATA         599 08
QSO:  7051 CW 2006-11-25 0851 AD6ZJ         599 3      KH6NF         599 31
QSO:  7053 CW 2006-11-25 0852 AD6ZJ         599 3      AC8W          599 04
QSO:  3506 CW 2006-11-25 0901 AD6ZJ         599 3      K1LZ          599 05
QSO:  3501 CW 2006-11-25 0903 AD6ZJ         599 3      W3LPL         599 05
QSO:  1831 CW 2006-11-25 0907 AD6ZJ         599 3      W3LPL         599 05
QSO:  3503 CW 2006-11-25 0912 AD6ZJ         599 3      KC1XX         599 05
QSO:  3530 CW 2006-11-25 0925 AD6ZJ         599 3      W7AT          599 03
QSO: 28018 CW 2006-11-25 1724 AD6ZJ         599 3      LU1HF         599 13
QSO: 21019 CW 2006-11-25 2315 AD6ZJ         599 3      W5VX          599 04
