START-OF-LOG: 3.0
CONTEST: ARRL-10-GHZ
LOCATION: SJV
CALLSIGN: N9JIM
CATEGORY-BAND: ALL
OPERATORS: N9JIM
CATEGORY-ASSISTED: ASSISTED
CATEGORY-MODE: MIXED
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: HIGH
CATEGORY-STATION: ROVER
CATEGORY-TIME: 24-HOURS
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY: CLASSIC
CLUB: THE 50MHZ AND UP GROUP OF NORTHERN CALIFORNIA
CREATED-BY: N9JIM 0.42
HQ-CATEGORY: 10 GHz and Up
QSO: 10G PH 2021-08-21 1730 N9JIM CM97KH W6QIW DM04MS
QSO: 10G PH 2021-08-21 1730 N9JIM CM97KH WB6CWN DM04MS
QSO: 10G PH 2021-08-21 1758 N9JIM CM97KH W6BY CM97AV
QSO: 10G PH 2021-08-21 1800 N9JIM CM97KH AG6KG CM97AV
QSO: 10G PH 2021-08-21 1811 N9JIM CM97KH AA6PZ CM97AV
QSO: 10G PH 2021-08-21 1817 N9JIM CM97KH KN6CDZ CM97AV
QSO: 10G PH 2021-08-21 1827 N9JIM CM97KH K6OJM CM97KS
QSO: 10G PH 2021-08-21 1840 N9JIM CM97KH K6MG CM89PK
QSO: 10G PH 2021-08-21 1844 N9JIM CM97KH K6TJ CM88WS
QSO: 10G PH 2021-08-21 1858 N9JIM CM97KH WA6CDR DM25GW
QSO: 10G PH 2021-08-21 1920 N9JIM CM97KH WA6JBD DM13ET
QSO: 10G PH 2021-08-21 1933 N9JIM CM97KH W6DL DM13ET
QSO: 10G PH 2021-08-21 2000 N9JIM CM97KH N5BF DM13ET
QSO: 10G PH 2021-08-21 2220 N9JIM CM97OB K6MG CM89PK
QSO: 10G PH 2021-08-21 2221 N9JIM CM97OB K6TJ CM88WS
QSO: 10G PH 2021-08-21 2229 N9JIM CM97OB WA6QDP CM88WJ
QSO: 10G PH 2021-08-21 2233 N9JIM CM97OB K6ML CM96RU
QSO: 10G PH 2021-08-21 2237 N9JIM CM97OB N6NU CM96RU
QSO: 10G PH 2021-08-21 2238 N9JIM CM97OB N6RMJ CM97KH
QSO: 10G PH 2021-08-21 2253 N9JIM CM97OB AA6PZ CM97AV
QSO: 10G PH 2021-08-21 2255 N9JIM CM97OB W6BY CM97AV
QSO: 10G PH 2021-08-21 2257 N9JIM CM97OB AG6KG CM97AV
QSO: 10G PH 2021-08-21 2301 N9JIM CM97OB KN6CDZ CM97AV
QSO: 10G PH 2021-08-21 2310 N9JIM CM97OB WA6CDR DM25GW
QSO: 10G PH 2021-08-21 2326 N9JIM CM97OB W6QIW DM04MS
QSO: 10G PH 2021-08-21 2327 N9JIM CM97OB KE6HPZ DM04MS
QSO: 10G PH 2021-08-21 2328 N9JIM CM97OB WB6CWN DM04MS
QSO: 10G PH 2021-08-22 0018 N9JIM CM97OB W6DL DM13ET
QSO: 10G PH 2021-08-22 0023 N9JIM CM97OB WA6JBD DM13ET
QSO: 10G PH 2021-08-22 0027 N9JIM CM97OB N5BF DM13ET
QSO: 10G PH 2021-08-22 0124 N9JIM CM97RB K6TJ CM88WS
QSO: 10G PH 2021-08-22 0125 N9JIM CM97RB K6MG CM89PK
QSO: 10G PH 2021-08-22 0129 N9JIM CM97RB W6BY CM97AV
QSO: 10G PH 2021-08-22 0130 N9JIM CM97RB AA6PZ CM97AV
QSO: 10G PH 2021-08-22 0132 N9JIM CM97RB AG6KG CM97AV
QSO: 10G PH 2021-08-22 0140 N9JIM CM97RB WA6QDP CM88WJ
QSO: 10G PH 2021-08-22 0152 N9JIM CM97RB WA6CDR DM25GW
QSO: 10G PH 2021-08-22 0202 N9JIM CM97RB W6QIW DM04MS
QSO: 10G PH 2021-08-22 0202 N9JIM CM97RB KE6HPZ DM04MS
QSO: 10G PH 2021-08-22 0202 N9JIM CM97RB WB6CWN DM04MS
QSO: 10G PH 2021-08-22 0238 N9JIM CM97RB WA6JBD DM13ET
QSO: 10G PH 2021-08-22 0238 N9JIM CM97RB W6DL DM13ET
QSO: 10G PH 2021-08-22 0323 N9JIM CM97TB K6MG CM89PK
QSO: 10G PH 2021-08-22 0324 N9JIM CM97TB K6TJ CM88WS
QSO: 10G PH 2021-08-22 0328 N9JIM CM97TB WA6QDP CM88WJ
QSO: 10G PH 2021-08-22 0343 N9JIM CM97TB W6QIW DM04MS
QSO: 10G PH 2021-08-22 0343 N9JIM CM97TB WB6CWN DM04MS
QSO: 10G PH 2021-08-22 0353 N9JIM CM97TB WA6CDR DM25GW
QSO: 10G PH 2021-08-22 1553 N9JIM CM96WX K6TJ CM88WS
QSO: 10G PH 2021-08-22 1555 N9JIM CM96WX WA6QDP CM88WJ
QSO: 10G PH 2021-08-22 1557 N9JIM CM96WX K6MG CM89PK
QSO: 10G PH 2021-08-22 1622 N9JIM CM96WX K6WCI DM05AX
QSO: 10G PH 2021-08-22 1630 N9JIM CM96WX N6RMJ DM05AX
QSO: 10G PH 2021-08-22 1639 N9JIM CM96WX W6QIW DM04MS
QSO: 10G PH 2021-08-22 1642 N9JIM CM96WX WB6CWN DM04MS
QSO: 10G PH 2021-08-22 1655 N9JIM CM96WX K6ML DM06CF
QSO: 10G PH 2021-08-22 1703 N9JIM CM96WX WA6CDR DM25GW
QSO: 10G PH 2021-08-22 1715 N9JIM CM96WX N5XSA CM97KH
QSO: 10G PH 2021-08-22 1851 N9JIM CM96VR K6ML DM06AC
QSO: 24G PH 2021-08-22 1858 N9JIM CM96VR K6ML DM06AC
QSO: 10G PH 2021-08-22 1901 N9JIM CM96VR K6MG CM89PK
QSO: 10G PH 2021-08-22 1906 N9JIM CM96VR WA6QDP CM88WJ
QSO: 10G PH 2021-08-22 1915 N9JIM CM96VR WA6CDR DM25GW
QSO: 10G PH 2021-08-22 1924 N9JIM CM96VR W6QIW DM04MS
QSO: 10G PH 2021-08-22 1925 N9JIM CM96VR WB6CWN DM04MS
QSO: 10G PH 2021-08-22 2039 N9JIM CM96WK WA6QDP CM88WJ
QSO: 10G PH 2021-08-22 2055 N9JIM CM96WK W6QIW DM04MS
QSO: 10G PH 2021-08-22 2110 N9JIM CM96WK WA6JBD DM14FR
QSO: 10G PH 2021-08-22 2126 N9JIM CM96WK N6RMJ DM05EN
QSO: 10G PH 2021-08-22 2140 N9JIM CM96WK WA6CDR DM25GW
QSO: 10G PH 2021-08-22 2145 N9JIM CM96WK K6MG CM89PK
QSO: 10G PH 2021-08-22 2211 N9JIM CM96WK N5BF DM04TI
QSO: 10G PH 2021-08-22 2305 N9JIM CM96WG K6MG CM89PK
QSO: 10G PH 2021-08-22 2318 N9JIM CM96WG WA6CDR DM25GW
QSO: 10G PH 2021-08-22 2326 N9JIM CM96WG WA6QDP CM88WJ
QSO: 10G PH 2021-08-22 2328 N9JIM CM96WG W6QIW DM04MS
QSO: 24G PH 2021-08-22 2330 N9JIM CM96WG W6QIW DM04MS
QSO: 10G PH 2021-08-22 2351 N9JIM CM96WG N5BF DM04TI
QSO: 10G PH 2021-08-22 2354 N9JIM CM96WG N6RMJ DM05FK
QSO: 10G PH 2021-08-23 0000 N9JIM CM96WG WA6JBD DM14FR
QSO: 10G PH 2021-08-23 0004 N9JIM CM96WG K6ML CM96WF
QSO: 24G PH 2021-08-23 0005 N9JIM CM96WG K6ML CM96WF
QSO: 10G PH 2021-09-18 1659 N9JIM CM97JK N6OLD CM97MB
QSO: 10G PH 2021-09-18 1702 N9JIM CM97JK K6ML CM97IO
QSO: 24G PH 2021-09-18 1705 N9JIM CM97JK K6ML CM97IO
QSO: 10G PH 2021-09-18 1709 N9JIM CM97JK KB6BA CM97KH
QSO: 24G PH 2021-09-18 1712 N9JIM CM97JK KB6BA CM97KH
QSO: 10G PH 2021-09-18 1732 N9JIM CM97JK W6QIW DM05ND
QSO: 10G PH 2021-09-18 1750 N9JIM CM97JK WA6CDR DM13CO
QSO: 10G PH 2021-09-18 1911 N9JIM CM97KH WA6CDR DM13CO
QSO: 10G PH 2021-09-18 1926 N9JIM CM97KH W6DL DM13CO
QSO: 10G PH 2021-09-18 2001 N9JIM CM97KH WA6QDP CM97AV
QSO: 24G PH 2021-09-18 2014 N9JIM CM97KH WA6QDP CM97AV
QSO: 10G PH 2021-09-18 2025 N9JIM CM97KH AG6KG CM88WJ
QSO: 10G PH 2021-09-18 2039 N9JIM CM97KH AA6PZ CM97AV
QSO: 10G PH 2021-09-18 2256 N9JIM CM96QX AG6KG CM88WJ
QSO: 10G PH 2021-09-18 2307 N9JIM CM96QX WA6QDP CM97AV
QSO: 10G PH 2021-09-18 2309 N9JIM CM96QX K6ML CM96OU
QSO: 10G PH 2021-09-18 2310 N9JIM CM96QX AA6PZ CM97AV
QSO: 10G PH 2021-09-18 2311 N9JIM CM96QX KG6CSE CM97AV
QSO: 10G PH 2021-09-18 2321 N9JIM CM96QX WA6QDP CM97AV
QSO: 24G PH 2021-09-18 2322 N9JIM CM96QX K6ML CM96OU
QSO: 10G PH 2021-09-18 2335 N9JIM CM96QX WA6CDR DM13CO
QSO: 10G PH 2021-09-18 2344 N9JIM CM96QX W6DL DM13CO
QSO: 10G PH 2021-09-19 0033 N9JIM CM96SV AG6KG CM88WJ
QSO: 10G PH 2021-09-19 0034 N9JIM CM96SV N6OLD CM97KH
QSO: 10G PH 2021-09-19 0042 N9JIM CM96SV WA6QDP CM97AV
QSO: 10G PH 2021-09-19 0043 N9JIM CM96SV AA6PZ CM97AV
QSO: 10G PH 2021-09-19 0045 N9JIM CM96SV KG6CSE CM97AV
QSO: 10G PH 2021-09-19 0106 N9JIM CM96SV W6QIW DM05GM
QSO: 10G PH 2021-09-19 0121 N9JIM CM96SV W6DL DM13CO
QSO: 10G PH 2021-09-19 0124 N9JIM CM96SV WA6CDR DM13CO
QSO: 10G PH 2021-09-19 0231 N9JIM CM96TR AG6KG CM88WJ
QSO: 10G PH 2021-09-19 0248 N9JIM CM96TR W6QIW DM05FS
QSO: 10G PH 2021-09-19 0300 N9JIM CM96TR W6DL DM13CO
QSO: 10G PH 2021-09-19 0306 N9JIM CM96TR WA6CDR DM13CO
QSO: 10G PH 2021-09-19 0320 N9JIM CM96TR KK6MXP DM13CO
QSO: 10G PH 2021-09-19 1731 N9JIM DM05AX N5BF DM13CO
QSO: 10G PH 2021-09-19 1733 N9JIM DM05AX WA6CDR DM13CO
QSO: 10G PH 2021-09-19 1743 N9JIM DM05AX N6CA DM03UT
QSO: 10G PH 2021-09-19 1808 N9JIM DM05AX K6ML CM96OU
QSO: 10G PH 2021-09-19 1820 N9JIM DM05AX W6DL DM13JM
QSO: 10G PH 2021-09-19 1923 N9JIM DM05AX WA6QDP CM97AV
QSO: 10G PH 2021-09-19 2100 N9JIM CM96WA K6ML CM96TM
QSO: 10G PH 2021-09-19 2107 N9JIM CM96WA WA6QDP CM97AV
QSO: 10G PH 2021-09-19 2123 N9JIM CM96WA N5BF DM13CO
QSO: 10G PH 2021-09-19 2123 N9JIM CM96WA WA6CDR DM13CO
QSO: 10G PH 2021-09-19 2144 N9JIM CM96WA N6CA DM03UT
QSO: 10G PH 2021-09-19 2148 N9JIM CM96WA K6ML CM96VK
QSO: 24G PH 2021-09-19 2152 N9JIM CM96WA K6ML CM96VK
QSO: 10G PH 2021-09-19 2204 N9JIM CM96WA W6DL DM13JM
QSO: 10G PH 2021-09-20 0015 N9JIM CM96WG WA6CDR DM13CO
QSO: 10G PH 2021-09-20 0013 N9JIM CM96WG N5BF DM13CO
QSO: 10G PH 2021-09-20 0033 N9JIM CM96WG W6DL DM13JM
QSO: 10G PH 2021-09-20 0123 N9JIM CM96WG WA6QDP CM97AV
END-OF-LOG:
