START-OF-LOG: 3.0
CALLSIGN: PG1R
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 61200
NAME: Ruud Ivens
LOCATION: DX
OPERATORS: PG1R
CLUB:
CERTIFICATE: YES
CREATED-BY: N1MM Logger+ 1.0.6711.0
SOAPBOX: Rig TS590S, barefoot, average output 50 Watts in this contest.
SOAPBOX: Antenna horizontal dipole for 15-80m bands 5m over ground 17m long.
SOAPBOX: Poor propagation on 10 & 15m this time. Hopefully next year better!
QSO: 14125 RY 2017-09-23 2003 PG1R          599 14 DX  WB2WPM        599 05 NY
QSO: 14125 RY 2017-09-23 2004 PG1R          599 14 DX  W9ILY         599 04 IL
QSO: 14124 RY 2017-09-23 2006 PG1R          599 14 DX  S57DX         599 15 DX
QSO: 14122 RY 2017-09-23 2011 PG1R          599 14 DX  VE3TW         599 04 ON
QSO: 14121 RY 2017-09-23 2014 PG1R          599 14 DX  W3FV          599 05 PA
QSO: 14119 RY 2017-09-23 2023 PG1R          599 14 DX  W3RTY         599 05 PA
QSO: 14117 RY 2017-09-23 2025 PG1R          599 14 DX  KB1W          599 05 MA
QSO: 14117 RY 2017-09-23 2026 PG1R          599 14 DX  AB4GG         599 04 TN
QSO: 14115 RY 2017-09-23 2032 PG1R          599 14 DX  KR4LO         599 05 NC
QSO: 14114 RY 2017-09-23 2033 PG1R          599 14 DX  N1IXF         599 05 CT
QSO: 14113 RY 2017-09-23 2040 PG1R          599 14 DX  K4FJ          599 05 VA
QSO: 14112 RY 2017-09-23 2042 PG1R          599 14 DX  ZF1A          599 08 DX
QSO: 14110 RY 2017-09-23 2046 PG1R          599 14 DX  4U1WB         599 05 MD
QSO: 14109 RY 2017-09-23 2048 PG1R          599 14 DX  IU4FNO        599 15 DX
QSO: 14106 RY 2017-09-23 2052 PG1R          599 14 DX  IQ6AN         599 15 DX
QSO: 14105 RY 2017-09-23 2057 PG1R          599 14 DX  K9OM          599 04 WI
QSO: 14104 RY 2017-09-23 2058 PG1R          599 14 DX  IU4CHE        599 15 DX
QSO: 14099 RY 2017-09-23 2105 PG1R          599 14 DX  I4DZ          599 15 DX
QSO: 14098 RY 2017-09-23 2112 PG1R          599 14 DX  VA3RAC        599 04 ON
QSO: 14096 RY 2017-09-23 2114 PG1R          599 14 DX  GI1GKI        599 14 DX
QSO: 14092 RY 2017-09-23 2122 PG1R          599 14 DX  PI4CC         599 14 DX
QSO: 14089 RY 2017-09-23 2124 PG1R          599 14 DX  K3LR          599 05 PA
QSO: 14081 RY 2017-09-23 2136 PG1R          599 14 DX  AD4ES         599 05 FL
QSO:  7073 RY 2017-09-23 2215 PG1R          599 14 DX  W1DX          599 05 CT
QSO:  7073 RY 2017-09-23 2217 PG1R          599 14 DX  UZ5ZU         599 16 DX
QSO:  7070 RY 2017-09-23 2219 PG1R          599 14 DX  UX5IO         599 16 DX
QSO:  7070 RY 2017-09-23 2219 PG1R          599 14 DX  OM5ZW         599 15 DX
QSO:  7069 RY 2017-09-23 2221 PG1R          599 14 DX  MW2I          599 14 DX
QSO:  7067 RY 2017-09-23 2223 PG1R          599 14 DX  IK4QJF        599 15 DX
QSO:  7065 RY 2017-09-23 2227 PG1R          599 14 DX  IC8SQS        599 15 DX
QSO:  7065 RY 2017-09-23 2228 PG1R          599 14 DX  SX2X          599 20 DX
QSO:  7064 RY 2017-09-23 2230 PG1R          599 14 DX  IZ1YPF        599 15 DX
QSO:  7063 RY 2017-09-23 2237 PG1R          599 14 DX  US1Q          599 16 DX
QSO:  7062 RY 2017-09-23 2238 PG1R          599 14 DX  A44A          599 21 DX
QSO:  7058 RY 2017-09-23 2249 PG1R          599 14 DX  LZ5XQ         599 20 DX
QSO:  7058 RY 2017-09-23 2251 PG1R          599 14 DX  DF2F          599 14 DX
QSO:  7057 RY 2017-09-23 2254 PG1R          599 14 DX  AA3B          599 05 PA
QSO:  7055 RY 2017-09-23 2257 PG1R          599 14 DX  UR5R          599 16 DX
QSO:  7053 RY 2017-09-23 2300 PG1R          599 14 DX  OM2VL         599 15 DX
QSO:  7051 RY 2017-09-23 2302 PG1R          599 14 DX  CR3W          599 33 DX
QSO:  7050 RY 2017-09-23 2305 PG1R          599 14 DX  RA3Y          599 16 DX
