START-OF-LOG: 3.0
CALLSIGN: WS6X
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 834552
NAME: Jim Clymer
LOCATION: VA
OPERATORS: WS6X
CLUB: Shenandoah Valley Wireless
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6789.0
SOAPBOX: Lots of fun. Note to myself: You HAVE to learn call stacking!!
QSO: 21088 RY 2017-09-23 0004 WS6X          599 05 VA  PY5EG         599 11 DX
QSO: 21089 RY 2017-09-23 0006 WS6X          599 05 VA  CW4MAX        599 13 DX
QSO: 21092 RY 2017-09-23 0008 WS6X          599 05 VA  PY2SHF        599 11 DX
QSO: 21094 RY 2017-09-23 0011 WS6X          599 05 VA  LT0H          599 13 DX
QSO: 21086 RY 2017-09-23 0017 WS6X          599 05 VA  ZF1A          599 08 DX
QSO: 21080 RY 2017-09-23 0023 WS6X          599 05 VA  V31VP         599 07 DX
QSO: 21095 RY 2017-09-23 0025 WS6X          599 05 VA  XE2AD         599 06 DX
QSO: 21097 RY 2017-09-23 0028 WS6X          599 05 VA  ZL3TE         599 32 DX
QSO: 21098 RY 2017-09-23 0029 WS6X          599 05 VA  NR4M          599 05 VA
QSO: 21083 RY 2017-09-23 0030 WS6X          599 05 VA  K6MR          599 03 CA
QSO: 14084 RY 2017-09-23 0037 WS6X          599 05 VA  N5KWN         599 04 TX
QSO: 14080 RY 2017-09-23 0038 WS6X          599 05 VA  AA5AU         599 04 LA
QSO: 14088 RY 2017-09-23 0044 WS6X          599 05 VA  TF2R          599 40 DX
QSO: 14097 RY 2017-09-23 0047 WS6X          599 05 VA  AJ4F          599 04 TX
QSO: 14099 RY 2017-09-23 0050 WS6X          599 05 VA  VO1BE         599 05 NF
QSO: 14101 RY 2017-09-23 0053 WS6X          599 05 VA  KI6RRN        599 03 CA
QSO:  7083 RY 2017-09-23 0055 WS6X          599 05 VA  E73Y          599 15 DX
QSO:  7082 RY 2017-09-23 0057 WS6X          599 05 VA  K2DSW         599 04 IA
QSO:  7083 RY 2017-09-23 0058 WS6X          599 05 VA  YV5JBI        599 09 DX
QSO:  7084 RY 2017-09-23 0100 WS6X          599 05 VA  AA2MF         599 05 FL
QSO:  7084 RY 2017-09-23 0101 WS6X          599 05 VA  AI8F          599 05 GA
QSO:  7087 RY 2017-09-23 0102 WS6X          599 05 VA  HB9RB         599 14 DX
QSO:  7093 RY 2017-09-23 0105 WS6X          599 05 VA  IQ2CJ         599 15 DX
QSO:  7097 RY 2017-09-23 0107 WS6X          599 05 VA  VA1XH         599 05 NS
QSO:  7082 RY 2017-09-23 0111 WS6X          599 05 VA  W4CU          599 05 FL
QSO:  7082 RY 2017-09-23 0112 WS6X          599 05 VA  N0YCY         599 04 MO
QSO:  7082 RY 2017-09-23 0114 WS6X          599 05 VA  F1AKK         599 14 DX
QSO:  7082 RY 2017-09-23 0114 WS6X          599 05 VA  KR7LD         599 03 ID
QSO:  7082 RY 2017-09-23 0115 WS6X          599 05 VA  9A5ST         599 15 DX
QSO:  7082 RY 2017-09-23 0117 WS6X          599 05 VA  UW6E          599 16 DX
QSO:  7082 RY 2017-09-23 0118 WS6X          599 05 VA  KI6DY         599 04 KS
QSO:  7082 RY 2017-09-23 0118 WS6X          599 05 VA  N9YKE         599 04 WI
QSO:  7082 RY 2017-09-23 0121 WS6X          599 05 VA  OL9R          599 15 DX
QSO:  7082 RY 2017-09-23 0125 WS6X          599 05 VA  NT0F          599 04 IA
QSO:  7082 RY 2017-09-23 0126 WS6X          599 05 VA  N0GOS         599 04 CO
QSO:  7081 RY 2017-09-23 0129 WS6X          599 05 VA  VE2NMB        599 05 QC
QSO:  7080 RY 2017-09-23 0134 WS6X          599 05 VA  NN5T          599 04 TX
QSO:  7082 RY 2017-09-23 0138 WS6X          599 05 VA  HB9DHG        599 14 DX
QSO:  7084 RY 2017-09-23 0142 WS6X          599 05 VA  N8PR          599 05 FL
QSO:  7089 RY 2017-09-23 0153 WS6X          599 05 VA  N0AT          599 04 MN
QSO:  7089 RY 2017-09-23 0155 WS6X          599 05 VA  ZF1A          599 08 DX
QSO:  7090 RY 2017-09-23 0157 WS6X          599 05 VA  VA3RAC        599 04 ON
QSO:  7092 RY 2017-09-23 0201 WS6X          599 05 VA  KG7BAN        599 03 AZ
QSO:  3573 RY 2017-09-23 0207 WS6X          599 05 VA  N3HEE         599 05 MD
QSO:  3569 RY 2017-09-23 0208 WS6X          599 05 VA  AB8M          599 04 OH
QSO:  3571 RY 2017-09-23 0209 WS6X          599 05 VA  N3OW          599 05 PA
QSO:  3572 RY 2017-09-23 0210 WS6X          599 05 VA  KC3FMP        599 05 MD
QSO:  3577 RY 2017-09-23 0212 WS6X          599 05 VA  AA3B          599 05 PA
QSO:  3578 RY 2017-09-23 0213 WS6X          599 05 VA  KI1G          599 05 RI
QSO:  3579 RY 2017-09-23 0214 WS6X          599 05 VA  N4IQ          599 05 SC
QSO:  3580 RY 2017-09-23 0215 WS6X          599 05 VA  VE3DZ         599 04 ON
QSO:  3580 RY 2017-09-23 0216 WS6X          599 05 VA  CG3KI         599 04 ON
QSO:  3582 RY 2017-09-23 0222 WS6X          599 05 VA  W3LL          599 05 MD
QSO:  3582 RY 2017-09-23 0225 WS6X          599 05 VA  AA4DD         599 04 TN
QSO:  3582 RY 2017-09-23 0226 WS6X          599 05 VA  KE1F          599 05 FL
QSO:  3582 RY 2017-09-23 0227 WS6X          599 05 VA  WS6K          599 04 OH
QSO:  3582 RY 2017-09-23 0227 WS6X          599 05 VA  KS4YX         599 05 SC
QSO:  3582 RY 2017-09-23 0228 WS6X          599 05 VA  VE3SD         599 04 ON
QSO:  3582 RY 2017-09-23 0228 WS6X          599 05 VA  VE3TW         599 04 ON
QSO:  3582 RY 2017-09-23 0230 WS6X          599 05 VA  W3RGA         599 05 PA
QSO:  3582 RY 2017-09-23 0231 WS6X          599 05 VA  KC9K          599 04 IL
