START-OF-LOG: 3.0
CALLSIGN: G3LHJ
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 0
NAME:
LOCATION: DX
OPERATORS: G3LHJ
CLUB:
CERTIFICATE: NO
CREATED-BY: MixW 3.2
SOAPBOX: Good to have 15M open all weekend, missed the 10M opening.
QSO:  7045 RY 2017-09-23 1010 G3LHJ         599 14 DX    OP3A          599 14 DX
QSO:  7045 RY 2017-09-23 1015 G3LHJ         599 14 DX    SM5EPO        599 14 DX
QSO:  7045 RY 2017-09-23 1336 G3LHJ         599 14 DX    ON2AD         599 14 DX
QSO:  7045 RY 2017-09-23 1337 G3LHJ         599 14 DX    M0NPQ         599 14 DX
QSO:  7045 RY 2017-09-23 1338 G3LHJ         599 14 DX    DJ6OZ         599 14 DX
QSO:  7045 RY 2017-09-23 1339 G3LHJ         599 14 DX    G3TXF         599 14 DX
QSO:  7045 RY 2017-09-23 1341 G3LHJ         599 14 DX    S57LR         599 15 DX
QSO:  7045 RY 2017-09-23 1344 G3LHJ         599 14 DX    OK3C          599 15 DX
QSO:  7045 RY 2017-09-23 1346 G3LHJ         599 14 DX    EA3KX         599 14 DX
QSO:  7045 RY 2017-09-23 1348 G3LHJ         599 14 DX    F4FVW         599 14 DX
QSO:  7045 RY 2017-09-23 1350 G3LHJ         599 14 DX    IQ3UD         599 15 DX
QSO:  7039 RY 2017-09-23 1357 G3LHJ         599 14 DX    IK4RVG        599 15 DX
QSO:  7041 RY 2017-09-23 1359 G3LHJ         599 14 DX    OL9R          599 15 DX
QSO:  7039 RY 2017-09-23 1402 G3LHJ         599 14 DX    I3PXN         599 15 DX
QSO:  7039 RY 2017-09-23 1403 G3LHJ         599 14 DX    LY7Z          599 15 DX
QSO:  7040 RY 2017-09-23 1403 G3LHJ         599 14 DX    HF9M          599 15 DX
QSO: 21079 RY 2017-09-23 1425 G3LHJ         599 14 DX    AG4W          599 04 AL
QSO: 21078 RY 2017-09-23 1425 G3LHJ         599 14 DX    W3JX          599 05 MD
QSO: 21080 RY 2017-09-23 1427 G3LHJ         599 14 DX    CR3W          599 33 DX
QSO: 21080 RY 2017-09-23 1430 G3LHJ         599 14 DX    WW4LL         599 05 GA
QSO: 21080 RY 2017-09-23 1434 G3LHJ         599 14 DX    AD4TJ         599 05 VA
QSO: 21079 RY 2017-09-23 1436 G3LHJ         599 14 DX    K3RA          599 05 MD
QSO: 21079 RY 2017-09-23 1440 G3LHJ         599 14 DX    HP3SS         599 07 DX
QSO: 21078 RY 2017-09-23 1444 G3LHJ         599 14 DX    PZ5RA         599 09 DX
QSO: 21078 RY 2017-09-23 1447 G3LHJ         599 14 DX    W4ML          599 05 VA
QSO: 21080 RY 2017-09-23 1448 G3LHJ         599 14 DX    NR4M          599 05 VA
QSO: 21080 RY 2017-09-23 1453 G3LHJ         599 14 DX    K2SSS         599 05 NY
QSO: 21079 RY 2017-09-23 1454 G3LHJ         599 14 DX    K3PP          599 05 PA
QSO: 21079 RY 2017-09-23 1457 G3LHJ         599 14 DX    K9CT          599 04 IL
QSO: 21079 RY 2017-09-23 1458 G3LHJ         599 14 DX    AC9S          599 04 IL
QSO: 21080 RY 2017-09-23 1501 G3LHJ         599 14 DX    K5ZD          599 05 MA
QSO: 21078 RY 2017-09-23 1505 G3LHJ         599 14 DX    W1DX          599 05 CT
QSO: 21078 RY 2017-09-23 1510 G3LHJ         599 14 DX    VE3RZ         599 04 ON
QSO: 21079 RY 2017-09-23 1514 G3LHJ         599 14 DX    ZF1A          599 04 DX
QSO: 21078 RY 2017-09-23 1517 G3LHJ         599 14 DX    W3LL          599 05 PA
QSO: 21079 RY 2017-09-23 1518 G3LHJ         599 14 DX    VE3TW         599 04 ON
