START-OF-LOG: 3.0
CALLSIGN: OT6M
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 139468
NAME: Frank Bogers
LOCATION: DX
OPERATORS: ON9CC
CLUB: BAVARIAN CONTEST CLUB
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6794.0
SOAPBOX: Just some casual S&P in between many other chores at home :)
QSO: 14088 RY 2017-09-23 0551 OT6M          599 14 DX  R8XF          599 17 DX
QSO: 14084 RY 2017-09-23 0555 OT6M          599 14 DX  UA9LAO        599 17 DX
QSO: 14116 RY 2017-09-23 0608 OT6M          599 14 DX  UN6LN         599 17 DX
QSO: 14117 RY 2017-09-23 0608 OT6M          599 14 DX  JT5DX         599 23 DX
QSO: 14091 RY 2017-09-23 0610 OT6M          599 14 DX  R7AB          599 16 DX
QSO: 14082 RY 2017-09-23 0612 OT6M          599 14 DX  R4WT          599 16 DX
QSO: 14081 RY 2017-09-23 0613 OT6M          599 14 DX  A61M          599 21 DX
QSO: 14094 RY 2017-09-23 0644 OT6M          599 14 DX  ES8GP         599 15 DX
QSO: 14090 RY 2017-09-23 0646 OT6M          599 14 DX  UZ2I          599 16 DX
QSO: 14087 RY 2017-09-23 0649 OT6M          599 14 DX  LZ7A          599 20 DX
QSO: 14087 RY 2017-09-23 0651 OT6M          599 14 DX  UT4U          599 16 DX
QSO: 14087 RY 2017-09-23 0652 OT6M          599 14 DX  RK3PWR        599 16 DX
QSO: 14088 RY 2017-09-23 0654 OT6M          599 14 DX  CT7AJL        599 14 DX
QSO: 14088 RY 2017-09-23 0656 OT6M          599 14 DX  UN8PA         599 17 DX
QSO: 14089 RY 2017-09-23 0657 OT6M          599 14 DX  LY7Z          599 15 DX
QSO: 14090 RY 2017-09-23 0658 OT6M          599 14 DX  EU6AF         599 16 DX
QSO: 14092 RY 2017-09-23 0705 OT6M          599 14 DX  YL2CI         599 15 DX
QSO: 14098 RY 2017-09-23 0706 OT6M          599 14 DX  SV1JG         599 20 DX
QSO: 21000 RY 2017-09-23 0922 OT6M          599 14 DX  EA8DED        599 33 DX
QSO: 21081 RY 2017-09-23 0928 OT6M          599 14 DX  PT2CM         599 11 DX
QSO: 21083 RY 2017-09-23 0929 OT6M          599 14 DX  OF9UFO        599 15 DX
QSO: 21083 RY 2017-09-23 0931 OT6M          599 14 DX  A44A          599 21 DX
QSO: 21096 RY 2017-09-23 0931 OT6M          599 14 DX  4Z5KU         599 20 DX
QSO: 14078 RY 2017-09-23 0956 OT6M          599 14 DX  OF5C          599 15 DX
