START-OF-LOG: 3.0
CALLSIGN: OF5C
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-OVERLAY:
CLAIMED-SCORE: 2371248
NAME: OldHouseRadioClub
LOCATION: DX
OPERATORS: OH5CZ OH5CY OH5CW OH2MZB OH5ELW OH5ELX OH5BW OH5FP TEEMU IIRO MAURI LEO
CLUB: None
CERTIFICATE: YES
CREATED-BY: N1MM Logger V14.9.0
QSO:  3579 RY 2017-09-23 0001 OF5C          599 15 DX  EI8IU         599 14 DX
QSO:  3579 RY 2017-09-23 0002 OF5C          599 15 DX  G6N           599 14 DX
QSO:  7064 RY 2017-09-23 0003 OF5C          599 15 DX  IQ2CJ         599 15 DX
QSO:  3579 RY 2017-09-23 0003 OF5C          599 15 DX  S50W          599 15 DX
QSO:  3580 RY 2017-09-23 0005 OF5C          599 15 DX  LZ5XQ         599 20 DX
QSO:  3581 RY 2017-09-23 0006 OF5C          599 15 DX  EO25PY        599 16 DX
QSO:  7063 RY 2017-09-23 0007 OF5C          599 15 DX  VU2NKS        599 22 DX
QSO:  7062 RY 2017-09-23 0009 OF5C          599 15 DX  VC3I          599 04 ON
QSO:  3581 RY 2017-09-23 0009 OF5C          599 15 DX  LX7I          599 14 DX
QSO:  7063 RY 2017-09-23 0010 OF5C          599 15 DX  OL9R          599 15 DX
QSO:  7062 RY 2017-09-23 0010 OF5C          599 15 DX  UW5U          599 16 DX
QSO:  7061 RY 2017-09-23 0011 OF5C          599 15 DX  EA4CRP        599 14 DX
QSO:  7066 RY 2017-09-23 0013 OF5C          599 15 DX  YO9HP         599 20 DX
QSO:  3582 RY 2017-09-23 0013 OF5C          599 15 DX  OK1KSL        599 15 DX
QSO:  3582 RY 2017-09-23 0015 OF5C          599 15 DX  UW3U          599 16 DX
QSO:  7064 RY 2017-09-23 0015 OF5C          599 15 DX  LZ6K          599 20 DX
QSO: 14103 RY 2017-09-23 0016 OF5C          599 15 DX  KR1DX         599 05 MA
QSO:  7062 RY 2017-09-23 0016 OF5C          599 15 DX  HA1TNX        599 15 DX
QSO:  3583 RY 2017-09-23 0017 OF5C          599 15 DX  S51A          599 15 DX
QSO:  7068 RY 2017-09-23 0017 OF5C          599 15 DX  IT9RZU        599 15 DX
QSO:  7073 RY 2017-09-23 0017 OF5C          599 15 DX  HB9RB         599 14 DX
QSO:  3583 RY 2017-09-23 0018 OF5C          599 15 DX  OK2HBR        599 15 DX
QSO:  7064 RY 2017-09-23 0019 OF5C          599 15 DX  F1AKK         599 14 DX
QSO:  3584 RY 2017-09-23 0019 OF5C          599 15 DX  S53X          599 15 DX
QSO:  7064 RY 2017-09-23 0020 OF5C          599 15 DX  AA3B          599 05 PA
QSO: 14088 RY 2017-09-23 0020 OF5C          599 15 DX  TF2R          599 40 DX
QSO:  7070 RY 2017-09-23 0022 OF5C          599 15 DX  P3X           599 20 DX
QSO:  3585 RY 2017-09-23 0022 OF5C          599 15 DX  OF3FM         599 15 DX
QSO: 14086 RY 2017-09-23 0022 OF5C          599 15 DX  IZ3GOM        599 15 DX
QSO:  7072 RY 2017-09-23 0024 OF5C          599 15 DX  KI1G          599 05 RI
QSO:  3586 RY 2017-09-23 0025 OF5C          599 15 DX  UX2X          599 16 DX
QSO:  7063 RY 2017-09-23 0026 OF5C          599 15 DX  LY5W          599 15 DX
QSO:  3587 RY 2017-09-23 0029 OF5C          599 15 DX  RK3PWR        599 16 DX
QSO:  7061 RY 2017-09-23 0030 OF5C          599 15 DX  DD1A          599 14 DX
QSO:  3588 RY 2017-09-23 0030 OF5C          599 15 DX  HB9TOC        599 14 DX
QSO:  3589 RY 2017-09-23 0031 OF5C          599 15 DX  DL5NAM        599 14 DX
QSO:  7058 RY 2017-09-23 0032 OF5C          599 15 DX  UA4S          599 16 DX
QSO:  3590 RY 2017-09-23 0033 OF5C          599 15 DX  PI4CG         599 14 DX
QSO:  7057 RY 2017-09-23 0034 OF5C          599 15 DX  SN7Q          599 15 DX
QSO:  3590 RY 2017-09-23 0034 OF5C          599 15 DX  9A1A          599 15 DX
QSO:  3590 RY 2017-09-23 0035 OF5C          599 15 DX  HF9M          599 15 DX
QSO:  7056 RY 2017-09-23 0036 OF5C          599 15 DX  SX2X          599 20 DX
QSO:  7055 RY 2017-09-23 0037 OF5C          599 15 DX  S51A          599 15 DX
QSO:  3592 RY 2017-09-23 0037 OF5C          599 15 DX  SN7Q          599 15 DX
QSO: 14091 RY 2017-09-23 0037 OF5C          599 15 DX  OH8A          599 15 DX
QSO:  7055 RY 2017-09-23 0038 OF5C          599 15 DX  LX7I          599 14 DX
QSO:  7054 RY 2017-09-23 0039 OF5C          599 15 DX  A65DC         599 21 DX
QSO:  3593 RY 2017-09-23 0040 OF5C          599 15 DX  OM3ZWA        599 15 DX
QSO:  3594 RY 2017-09-23 0041 OF5C          599 15 DX  DF2F          599 14 DX
QSO: 14107 RY 2017-09-23 0041 OF5C          599 15 DX  SJ2W          599 14 DX
QSO:  3595 RY 2017-09-23 0042 OF5C          599 15 DX  SP9KDA        599 15 DX
QSO:  3595 RY 2017-09-23 0043 OF5C          599 15 DX  DM4X          599 14 DX
