START-OF-LOG: 3.0
CALLSIGN: 9W6EZ
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 11720
NAME: Jimmy
LOCATION: DX
OPERATORS: 9W6EZ
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6006.0
SOAPBOX: More than half of my contacts were on 10m (99% JA stations).
QSO:  7000 RY 2017-09-23 1015 9W6EZ         599 28 DX  DU3LA         599 27 DX
QSO:  7000 RY 2017-09-23 1023 9W6EZ         599 28 DX  JH4UTP        599 25 DX
QSO:  7000 RY 2017-09-23 1030 9W6EZ         599 28 DX  JA1OVD        599 25 DX
QSO:  7000 RY 2017-09-23 1049 9W6EZ         599 28 DX  W6TK          599 03 CA
QSO:  7000 RY 2017-09-23 1051 9W6EZ         599 28 DX  JE1ZWT        599 25 DX
QSO:  7000 RY 2017-09-23 1155 9W6EZ         599 28 DX  W7RN          599 03 NV
QSO:  7000 RY 2017-09-23 1158 9W6EZ         599 28 DX  YC1ME         599 28 DX
QSO:  7000 RY 2017-09-23 1159 9W6EZ         599 28 DX  YD8UXV        599 28 DX
QSO:  7000 RY 2017-09-23 1201 9W6EZ         599 28 DX  JF1RYU        599 25 DX
QSO:  7000 RY 2017-09-23 1217 9W6EZ         599 28 DX  N8OO          599 04 LA
QSO:  7000 RY 2017-09-23 1234 9W6EZ         599 28 DX  W7WW          599 03 AZ
QSO:  7000 RY 2017-09-23 1241 9W6EZ         599 28 DX  BV2A/3        599 24 DX
QSO:  7000 RY 2017-09-23 1244 9W6EZ         599 28 DX  K6LL          599 03 AZ
QSO:  7000 RY 2017-09-23 1246 9W6EZ         59  28 DX  NW6P          599 03 CA
QSO:  7000 RY 2017-09-23 1252 9W6EZ         599 28 DX  W7WW          599 03 AZ
QSO:  7000 RY 2017-09-23 1253 9W6EZ         599 28 DX  K3EST         599 03 CA
QSO:  7000 RY 2017-09-23 1255 9W6EZ         599 28 DX  VR20CC        599 24 DX
QSO:  7000 RY 2017-09-23 1320 9W6EZ         599 28 DX  K6MR          599 03 CA
QSO:  7000 RY 2017-09-23 1523 9W6EZ         599 28 DX  VE7CC         599 03 BC
QSO:  7000 RY 2017-09-23 1524 9W6EZ         599 28 DX  IQ6AN         599 15 DX
QSO:  7000 RY 2017-09-23 1525 9W6EZ         599 28 DX  UZ4U          599 16 DX
QSO:  7000 RY 2017-09-23 1525 9W6EZ         599 28 DX  JR6AG         599 25 DX
QSO:  7000 RY 2017-09-23 1527 9W6EZ         599 28 DX  I4DZ          599 15 DX
QSO:  7000 RY 2017-09-23 1528 9W6EZ         599 28 DX  LY2HS         599 15 DX
QSO:  7000 RY 2017-09-23 1529 9W6EZ         599 28 DX  EI7M          599 14 DX
QSO:  7000 RY 2017-09-23 1531 9W6EZ         599 28 DX  RA3Y          599 16 DX
QSO:  7000 RY 2017-09-23 1533 9W6EZ         599 28 DX  EV1R          599 16 DX
QSO:  7000 RY 2017-09-23 1540 9W6EZ         599 28 DX  JI1FLB        599 25 DX
QSO:  7000 RY 2017-09-23 1542 9W6EZ         599 28 DX  YB9WAN        599 28 DX
QSO:  7000 RY 2017-09-23 1548 9W6EZ         599 28 DX  OK3C          599 15 DX
QSO:  7000 RY 2017-09-23 1551 9W6EZ         599 28 DX  SP4TKR        599 15 DX
QSO:  7000 RY 2017-09-23 1558 9W6EZ         599 28 DX  OM5ZW         599 15 DX
QSO: 28000 RY 2017-09-24 0025 9W6EZ         599 28 DX  JA3HBF        599 25 DX
QSO: 28000 RY 2017-09-24 0029 9W6EZ         599 28 DX  JF2ERJ        599 25 DX
QSO: 28000 RY 2017-09-24 0031 9W6EZ         599 28 DX  JE1ZWT        599 25 DX
QSO: 28000 RY 2017-09-24 0034 9W6EZ         599 28 DX  JA1MZM        599 25 DX
QSO: 28000 RY 2017-09-24 0035 9W6EZ         599 28 DX  JF1OVA        599 25 DX
QSO: 28000 RY 2017-09-24 0036 9W6EZ         599 28 DX  JE1LFX        599 25 DX
QSO: 28000 RY 2017-09-24 0036 9W6EZ         599 28 DX  JG4AKL        599 25 DX
QSO: 28000 RY 2017-09-24 0037 9W6EZ         599 28 DX  JG3FEA        599 25 DX
QSO: 28000 RY 2017-09-24 0038 9W6EZ         599 28 DX  JH4UYB        599 25 DX
QSO: 28000 RY 2017-09-24 0038 9W6EZ         599 28 DX  JR2MIO        599 25 DX
