START-OF-LOG: 3.0
CALLSIGN: S56A
CONTEST: CQ-WW-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 20M
CATEGORY-POWER: LOW
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: CLASSIC
CLAIMED-SCORE: 183900
NAME: Marijan Miletic
LOCATION: DX
OPERATORS: S56A
CLUB: RHEIN RUHR DX ASSOCIATION
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6789.0
SOAPBOX: 31 check QSO made on 40m. RRDXA club claim invalid.  Enjoying FT8
QSO:  7045 RY 2017-09-23 0009 S56A          599 15 DX  EA1AKS        599 14 DX
QSO:  7045 RY 2017-09-23 0013 S56A          599 15 DX  K1SFA         599 05 MA
QSO:  7044 RY 2017-09-23 0018 S56A          599 15 DX  SN8B          599 15 DX
QSO:  7042 RY 2017-09-23 0019 S56A          599 15 DX  EA8DED        599 33 DX
QSO:  7038 RY 2017-09-23 0023 S56A          599 15 DX  W2YC          599 05 NJ
QSO:  7037 RY 2017-09-23 0025 S56A          599 15 DX  N3QE          599 05 MD
QSO:  7036 RY 2017-09-23 0026 S56A          599 15 DX  WW4LL         599 05 GA
QSO:  7036 RY 2017-09-23 0028 S56A          599 15 DX  KR1DX         599 05 MA
QSO:  7039 RY 2017-09-23 0033 S56A          599 15 DX  K1DBO         599 05 MA
QSO:  7039 RY 2017-09-23 0036 S56A          599 15 DX  M7W           599 14 DX
QSO:  7039 RY 2017-09-23 0037 S56A          599 15 DX  CT7AJL        599 14 DX
QSO:  7039 RY 2017-09-23 0038 S56A          599 15 DX  YO8RFS        599 20 DX
QSO:  7039 RY 2017-09-23 0043 S56A          599 15 DX  G3TXF         599 14 DX
QSO:  7038 RY 2017-09-23 0048 S56A          599 15 DX  OH2PM         599 15 DX
QSO:  7045 RY 2017-09-23 0116 S56A          599 15 DX  EF9R          599 33 DX
QSO:  7046 RY 2017-09-23 0120 S56A          599 15 DX  W9IU          599 04 IN
QSO:  7044 RY 2017-09-23 0130 S56A          599 15 DX  N8OO          599 04 LA
QSO:  7043 RY 2017-09-23 0132 S56A          599 15 DX  CR5V          599 14 DX
QSO:  7047 RY 2017-09-23 0137 S56A          599 15 DX  HP3SS         599 07 DX
QSO:  7047 RY 2017-09-23 0141 S56A          599 15 DX  EI7M          599 14 DX
QSO:  7046 RY 2017-09-23 0151 S56A          599 15 DX  CR3W          599 33 DX
QSO:  7067 RY 2017-09-23 0200 S56A          599 15 DX  PJ4/MW0JZE    599 09 DX
QSO:  7056 RY 2017-09-23 0202 S56A          599 15 DX  VY2/W5AJ      599 05 PE
QSO:  7058 RY 2017-09-23 0207 S56A          599 15 DX  SV2KF         599 20 DX
QSO:  7053 RY 2017-09-23 0213 S56A          599 15 DX  PY5EG         599 11 DX
QSO:  7059 RY 2017-09-23 0214 S56A          599 15 DX  A44A          599 21 DX
QSO:  7056 RY 2017-09-23 0231 S56A          599 15 DX  LY5W          599 15 DX
QSO:  7056 RY 2017-09-23 0231 S56A          599 15 DX  LZ8U          599 20 DX
QSO:  7056 RY 2017-09-23 0234 S56A          599 15 DX  4O6ZD         599 15 DX
QSO:  7056 RY 2017-09-23 0235 S56A          599 15 DX  KC2NYU        599 05 GA
QSO:  7056 RY 2017-09-23 0237 S56A          599 15 DX  YO5COG        599 20 DX
QSO: 14080 RY 2017-09-23 0425 S56A          599 15 DX  A65DC         599 21 DX
QSO: 14082 RY 2017-09-23 0429 S56A          599 15 DX  A44A          599 21 DX
QSO: 14086 RY 2017-09-23 0432 S56A          599 15 DX  UN0LL         599 17 DX
QSO: 14089 RY 2017-09-23 0439 S56A          599 15 DX  4Z5KU         599 20 DX
QSO: 14092 RY 2017-09-23 0444 S56A          599 15 DX  A61EK         599 21 DX
QSO: 14091 RY 2017-09-23 0446 S56A          599 15 DX  HZ1HN         599 21 DX
QSO: 14095 RY 2017-09-23 0448 S56A          599 15 DX  RT9S          599 16 DX
QSO: 14094 RY 2017-09-23 0450 S56A          599 15 DX  RO9A          599 17 DX
QSO: 14096 RY 2017-09-23 0516 S56A          599 15 DX  RD9D          599 17 DX
QSO: 14112 RY 2017-09-23 0528 S56A          599 15 DX  5R8SV         599 39 DX
QSO: 14104 RY 2017-09-23 0533 S56A          599 15 DX  UA0AKY        599 18 DX
QSO: 14117 RY 2017-09-23 0606 S56A          599 15 DX  JT5DX         599 23 DX
QSO: 14115 RY 2017-09-23 0612 S56A          599 15 DX  UF8T          599 16 DX
QSO: 14110 RY 2017-09-23 0614 S56A          599 15 DX  UN7JX         599 17 DX
QSO: 14108 RY 2017-09-23 0616 S56A          599 15 DX  S53X          599 15 DX
QSO: 14108 RY 2017-09-23 0617 S56A          599 15 DX  JH4UYB        599 25 DX
QSO: 14106 RY 2017-09-23 0619 S56A          599 15 DX  UB0A          599 18 DX
QSO: 14106 RY 2017-09-23 0620 S56A          599 15 DX  RF9C          599 17 DX
QSO: 14104 RY 2017-09-23 0621 S56A          599 15 DX  5B/G4MKP      599 20 DX
QSO: 14103 RY 2017-09-23 0622 S56A          599 15 DX  EE7Y          599 14 DX
QSO: 14092 RY 2017-09-23 0627 S56A          599 15 DX  R8XF          599 17 DX
QSO: 14090 RY 2017-09-23 0628 S56A          599 15 DX  UZ2I          599 16 DX
QSO: 14089 RY 2017-09-23 0628 S56A          599 15 DX  RG4A          599 16 DX
QSO: 14088 RY 2017-09-23 0634 S56A          599 15 DX  UA6CE         599 16 DX
QSO: 14087 RY 2017-09-23 0635 S56A          599 15 DX  RK3PWR        599 16 DX
QSO: 14087 RY 2017-09-23 0636 S56A          599 15 DX  UT4U          599 16 DX
QSO: 14086 RY 2017-09-23 0638 S56A          599 15 DX  R0QA          599 19 DX
QSO: 14083 RY 2017-09-23 0640 S56A          599 15 DX  UW1M          599 16 DX
QSO: 14081 RY 2017-09-23 0641 S56A          599 15 DX  A71AE         599 21 DX
QSO: 14080 RY 2017-09-23 0645 S56A          599 15 DX  UR7GO         599 16 DX
QSO: 14121 RY 2017-09-23 0646 S56A          599 15 DX  9H1AE         599 15 DX
QSO: 14120 RY 2017-09-23 0647 S56A          599 15 DX  UW5U          599 16 DX
QSO: 14112 RY 2017-09-23 0648 S56A          599 15 DX  YL2KO         599 15 DX
QSO: 14109 RY 2017-09-23 0652 S56A          599 15 DX  LZ2JA         599 20 DX
QSO: 14108 RY 2017-09-23 0653 S56A          599 15 DX  UT8EL         599 16 DX
QSO: 14105 RY 2017-09-23 0654 S56A          599 15 DX  LZ5XQ         599 20 DX
QSO: 14104 RY 2017-09-23 0655 S56A          599 15 DX  P3X           599 20 DX
QSO: 14102 RY 2017-09-23 0655 S56A          599 15 DX  9A1A          599 15 DX
QSO: 14102 RY 2017-09-23 0656 S56A          599 15 DX  OH2GEK        599 15 DX
QSO: 14099 RY 2017-09-23 0658 S56A          599 15 DX  SX1Z          599 20 DX
QSO: 14098 RY 2017-09-23 0658 S56A          599 15 DX  UY5HF         599 16 DX
QSO: 14098 RY 2017-09-23 0659 S56A          599 15 DX  TF1AM         599 40 DX
QSO: 14094 RY 2017-09-23 0703 S56A          599 15 DX  A92AA         599 21 DX
QSO: 14092 RY 2017-09-23 0705 S56A          599 15 DX  UA4S          599 16 DX
QSO: 14090 RY 2017-09-23 0706 S56A          599 15 DX  EU6AF         599 16 DX
QSO: 14086 RY 2017-09-23 0708 S56A          599 15 DX  R4IM          599 16 DX
QSO: 14085 RY 2017-09-23 0709 S56A          599 15 DX  OF3FM         599 15 DX
QSO: 14085 RY 2017-09-23 0709 S56A          599 15 DX  RK4FF         599 16 DX
QSO: 14084 RY 2017-09-23 0710 S56A          599 15 DX  UA9LAO        599 17 DX
QSO: 14083 RY 2017-09-23 0712 S56A          599 15 DX  EI7M          599 14 DX
QSO: 14082 RY 2017-09-23 0713 S56A          599 15 DX  RA4HL         599 16 DX
QSO: 14081 RY 2017-09-23 0717 S56A          599 15 DX  CR5V          599 14 DX
QSO: 14080 RY 2017-09-23 0719 S56A          599 15 DX  4Z4AK         599 20 DX
QSO: 14080 RY 2017-09-23 0721 S56A          599 15 DX  EA8DED        599 33 DX
QSO: 14079 RY 2017-09-23 0722 S56A          599 15 DX  RA6LIS        599 16 DX
QSO: 14078 RY 2017-09-23 0722 S56A          599 15 DX  S53TM         599 15 DX
QSO: 14120 RY 2017-09-23 0724 S56A          599 15 DX  EI4KF         599 14 DX
QSO: 14118 RY 2017-09-23 0724 S56A          599 15 DX  RM3F          599 16 DX
QSO: 14101 RY 2017-09-23 0727 S56A          599 15 DX  EA8KC         599 33 DX
QSO: 14093 RY 2017-09-23 0730 S56A          599 15 DX  S51A          599 15 DX
QSO: 14090 RY 2017-09-23 0732 S56A          599 15 DX  CR3W          599 33 DX
QSO: 14124 RY 2017-09-23 0734 S56A          599 15 DX  R6KEE         599 16 DX
QSO: 14119 RY 2017-09-23 0736 S56A          599 15 DX  OH2XX         599 15 DX
QSO: 14118 RY 2017-09-23 0737 S56A          599 15 DX  HA1TNX        599 15 DX
QSO: 14117 RY 2017-09-23 0739 S56A          599 15 DX  RA3Y          599 16 DX
QSO: 14114 RY 2017-09-23 0740 S56A          599 15 DX  LX1NO         599 14 DX
QSO: 14109 RY 2017-09-23 0741 S56A          599 15 DX  ED1A          599 14 DX
QSO: 14108 RY 2017-09-23 0742 S56A          599 15 DX  IT9STX        599 15 DX
QSO: 14104 RY 2017-09-23 0746 S56A          599 15 DX  DD1A          599 14 DX
QSO: 14085 RY 2017-09-23 0750 S56A          599 15 DX  UW3U          599 16 DX
QSO: 14084 RY 2017-09-23 0751 S56A          599 15 DX  EU8A          599 16 DX
QSO: 14080 RY 2017-09-23 0753 S56A          599 15 DX  UR2Y          599 16 DX
QSO: 14080 RY 2017-09-23 0754 S56A          599 15 DX  RN1ON         599 16 DX
QSO: 14080 RY 2017-09-23 0755 S56A          599 15 DX  ES1BH         599 15 DX
QSO: 14122 RY 2017-09-23 0756 S56A          599 15 DX  OH8A          599 15 DX
QSO: 14119 RY 2017-09-23 0756 S56A          599 15 DX  TF2R          599 40 DX
QSO: 14113 RY 2017-09-23 0757 S56A          599 15 DX  RQ7R          599 16 DX
QSO: 14113 RY 2017-09-23 0758 S56A          599 15 DX  SM6UQL        599 14 DX
QSO: 14111 RY 2017-09-23 0800 S56A          599 15 DX  UV7V          599 16 DX
QSO: 14107 RY 2017-09-23 0803 S56A          599 15 DX  UC8U          599 18 DX
QSO: 14107 RY 2017-09-23 0803 S56A          599 15 DX  SM6NET        599 14 DX
QSO: 14102 RY 2017-09-23 0804 S56A          599 15 DX  JA6GCE        599 25 DX
QSO: 14096 RY 2017-09-23 0806 S56A          599 15 DX  LY7Z          599 15 DX
QSO: 14094 RY 2017-09-23 0807 S56A          599 15 DX  ES8GP         599 15 DX
QSO: 14093 RY 2017-09-23 0807 S56A          599 15 DX  UT3IA         599 16 DX
QSO: 14092 RY 2017-09-23 0808 S56A          599 15 DX  R3PV          599 16 DX
QSO: 14114 RY 2017-09-23 0813 S56A          599 15 DX  UN6LN         599 17 DX
QSO: 14115 RY 2017-09-23 0813 S56A          599 15 DX  UR5CN         599 16 DX
QSO: 14110 RY 2017-09-23 0819 S56A          599 15 DX  ZB2TT         599 14 DX
QSO: 14110 RY 2017-09-23 0821 S56A          599 15 DX  JE1ZWT        599 25 DX
QSO: 14105 RY 2017-09-23 0823 S56A          599 15 DX  US5LOC        599 16 DX
QSO: 14096 RY 2017-09-23 0826 S56A          599 15 DX  PI4COM        599 14 DX
QSO: 14093 RY 2017-09-23 0827 S56A          599 15 DX  UR7R          599 16 DX
QSO: 14091 RY 2017-09-23 0828 S56A          599 15 DX  IW7DBM        599 15 DX
QSO: 14090 RY 2017-09-23 0829 S56A          599 15 DX  GM3W          599 14 DX
QSO: 14084 RY 2017-09-23 0831 S56A          599 15 DX  CR3A          599 33 DX
QSO: 14120 RY 2017-09-23 0835 S56A          599 15 DX  G0HDV         599 14 DX
QSO: 14120 RY 2017-09-23 0836 S56A          599 15 DX  RA4CON        599 16 DX
QSO: 14120 RY 2017-09-23 0841 S56A          599 15 DX  UR5QU         599 16 DX
QSO: 14130 RY 2017-09-23 0848 S56A          599 15 DX  M0A           599 14 DX
QSO: 14127 RY 2017-09-23 0848 S56A          599 15 DX  ER1OO         599 16 DX
QSO: 14116 RY 2017-09-23 0851 S56A          599 15 DX  EA3KX         599 14 DX
QSO: 14113 RY 2017-09-23 0852 S56A          599 15 DX  IT9CFP        599 15 DX
QSO: 14105 RY 2017-09-23 0857 S56A          599 15 DX  LY8O          599 15 DX
QSO: 14103 RY 2017-09-23 0900 S56A          599 15 DX  SJ2W          599 14 DX
QSO: 14094 RY 2017-09-23 0902 S56A          599 15 DX  UR5R          599 16 DX
QSO: 14091 RY 2017-09-23 0903 S56A          599 15 DX  UT5EPP        599 16 DX
QSO: 14091 RY 2017-09-23 0904 S56A          599 15 DX  UA3UCD        599 16 DX
QSO: 14088 RY 2017-09-23 0905 S56A          599 15 DX  F4FDR         599 14 DX
QSO: 14083 RY 2017-09-23 0907 S56A          599 15 DX  ED2C          599 14 DX
QSO: 14082 RY 2017-09-23 0908 S56A          599 15 DX  RK3DXW        599 16 DX
QSO: 14080 RY 2017-09-23 0909 S56A          599 15 DX  RK2A          599 16 DX
QSO: 14079 RY 2017-09-23 0911 S56A          599 15 DX  TA1BX         599 20 DX
QSO: 14120 RY 2017-09-23 0912 S56A          599 15 DX  M0NKR         599 14 DX
QSO: 14118 RY 2017-09-23 0913 S56A          599 15 DX  IW9GTD        599 15 DX
QSO: 14112 RY 2017-09-23 0915 S56A          599 15 DX  EA2RY         599 14 DX
QSO: 14102 RY 2017-09-23 0916 S56A          599 15 DX  ES1LS         599 15 DX
QSO: 14101 RY 2017-09-23 0917 S56A          599 15 DX  RK8I          599 18 DX
QSO: 14097 RY 2017-09-23 0918 S56A          599 15 DX  EA4URL        599 14 DX
QSO: 14094 RY 2017-09-23 0920 S56A          599 15 DX  TA3MHA        599 20 DX
QSO: 14092 RY 2017-09-23 0921 S56A          599 15 DX  RO5F          599 16 DX
QSO: 14091 RY 2017-09-23 0923 S56A          599 15 DX  R7AB          599 16 DX
QSO: 14083 RY 2017-09-23 0925 S56A          599 15 DX  LA4OGA        599 14 DX
QSO: 14080 RY 2017-09-23 0928 S56A          599 15 DX  IW9FDD        599 15 DX
QSO: 14079 RY 2017-09-23 0932 S56A          599 15 DX  OK7W          599 15 DX
QSO: 14079 RY 2017-09-23 0933 S56A          599 15 DX  OH0JWL        599 15 DX
QSO: 14080 RY 2017-09-23 0935 S56A          599 15 DX  RU3XJ         599 16 DX
QSO: 14080 RY 2017-09-23 0936 S56A          599 15 DX  EW7BA         599 16 DX
QSO: 14080 RY 2017-09-23 0938 S56A          599 15 DX  UC5D          599 16 DX
QSO: 14080 RY 2017-09-23 0938 S56A          599 15 DX  YL3FW         599 15 DX
QSO: 14080 RY 2017-09-23 0941 S56A          599 15 DX  UT7IS         599 16 DX
QSO: 14080 RY 2017-09-23 0946 S56A          599 15 DX  RV3UQ         599 16 DX
QSO: 14080 RY 2017-09-23 0947 S56A          599 15 DX  EB5CUZ        599 14 DX
QSO: 14118 RY 2017-09-23 1009 S56A          599 15 DX  OH3D          599 15 DX
QSO: 14107 RY 2017-09-23 1012 S56A          599 15 DX  M5ZAP         599 14 DX
QSO: 14103 RY 2017-09-23 1014 S56A          599 15 DX  EA2XR         599 14 DX
QSO: 14097 RY 2017-09-23 1016 S56A          599 15 DX  OU2DX         599 14 DX
QSO: 14096 RY 2017-09-23 1018 S56A          599 15 DX  SN7Q          599 15 DX
QSO: 14100 RY 2017-09-23 1019 S56A          599 15 DX  RX0AE         599 18 DX
QSO: 14092 RY 2017-09-23 1024 S56A          599 15 DX  C37NL         599 14 DX
QSO: 14089 RY 2017-09-23 1026 S56A          599 15 DX  I4DZ          599 15 DX
QSO: 14078 RY 2017-09-23 1033 S56A          599 15 DX  OF5C          599 15 DX
QSO: 14084 RY 2017-09-23 1035 S56A          599 15 DX  UR5ZGY        599 16 DX
QSO: 14093 RY 2017-09-23 1038 S56A          599 15 DX  UZ5ZU         599 16 DX
QSO: 14099 RY 2017-09-23 1044 S56A          599 15 DX  UA3PI         599 16 DX
