START-OF-LOG:3.0
CATEGORY: Single operator, mixed, QRP
CONTEST: WAG
SPECIFIC: D25
CALLSIGN: DJ3EI
CREATED-BY: YAML2ADIF quick and dirty by DJ3EI, modified by DXHF upload.
QSO: 14003 CW  2020-10-17 1653 DJ3EI 599 D25 N3QE      599 136
QSO: 14012 CW  2020-10-17 1711 DJ3EI 599 D25 EA1IQ     599 217
QSO:  7037 CW  2020-10-17 1752 DJ3EI 599 D25 CR6K      599 218
QSO:  7035 CW  2020-10-17 1804 DJ3EI 599 D25 GM4X      599 032
QSO:  7029 CW  2020-10-17 1817 DJ3EI 599 D25 YT4W      599 252
QSO:  7027 CW  2020-10-17 1824 DJ3EI 599 D25 EA1X      599 193
QSO:  7026 CW  2020-10-17 1831 DJ3EI 599 D25 LZ5R      599 496
QSO:  7026 CW  2020-10-17 1921 DJ3EI 599 D25 YO8RXP    599 048
QSO:  7026 CW  2020-10-17 1923 DJ3EI 599 D25 LZ5R      599 610
QSO:  7019 CW  2020-10-17 1941 DJ3EI 599 D25 IZ8GCB    599 014
QSO:  7015 CW  2020-10-17 1948 DJ3EI 599 D25 F6IRA     599 238
QSO:  7008 CW  2020-10-17 1957 DJ3EI 599 D25 4O4T      599 474
QSO:  7010 CW  2020-10-17 2003 DJ3EI 599 D25 EI8JX     599 098
QSO:  7033 CW  2020-10-17 2015 DJ3EI 599 D25 DF0LI     599 D26
QSO:  7027 CW  2020-10-17 2028 DJ3EI 599 D25 LZ8E      599 573
QSO:  3559 CW  2020-10-17 2042 DJ3EI 599 D25 DJ4MH     599 I38
QSO:  3557 CW  2020-10-17 2044 DJ3EI 599 D25 DG3T      599 F43
QSO:  3556 CW  2020-10-17 2049 DJ3EI 599 D25 SN1T      599 303
QSO:  3556 CW  2020-10-17 2051 DJ3EI 599 D25 PG7V      599 205
QSO:  3556 CW  2020-10-17 2054 DJ3EI 599 D25 SP9WZJ    599 044
QSO:  3557 CW  2020-10-17 2058 DJ3EI 599 D25 DK7HA     599 E02
QSO:  7026 CW  2020-10-18 0504 DJ3EI 599 D25 UX1AA     599 970
QSO: 14005 CW  2020-10-18 0522 DJ3EI 599 D25 DL8MF     599 Y28
QSO:  3547 CW  2020-10-18 0531 DJ3EI 599 D25 LY5I      599 180
QSO:  3547 CW  2020-10-18 0531 DJ3EI 599 D25 OK7Z      599 513
QSO:  3547 CW  2020-10-18 0533 DJ3EI 599 D25 LZ5R      599 1350
QSO:  3547 CW  2020-10-18 0534 DJ3EI 599 D25 SP3CW     599 319
QSO:  3547 CW  2020-10-18 0538 DJ3EI 599 D25 DF1MM     599 I18
QSO:  3547 CW  2020-10-18 0738 DJ3EI 599 D25 OL4W      599 250
QSO:  3547 CW  2020-10-18 0539 DJ3EI 599 D25 G3P       599 390
QSO:  3547 CW  2020-10-18 0544 DJ3EI 599 D25 LY3B      599 239
QSO:  3547 CW  2020-10-18 0546 DJ3EI 599 D25 ON4CLF    599 012
QSO:  3547 CW  2020-10-18 0547 DJ3EI 599 D25 OK5M      599 099
QSO:  3547 CW  2020-10-18 0548 DJ3EI 599 D25 OM7M      599 577
QSO:  3547 CW  2020-10-18 0550 DJ3EI 599 D25 DF0R      599 L19
QSO:  3547 CW  2020-10-18 0551 DJ3EI 599 D25 DO8KAS    599 G18
QSO:  3547 CW  2020-10-18 0553 DJ3EI 599 D25 YL7X      599 831
QSO:  3547 CW  2020-10-18 0554 DJ3EI 599 D25 DL3YM     599 A24
QSO: 14005 CW  2020-10-18 0600 DJ3EI 599 D25 LZ8E      599 811
QSO: 14007 CW  2020-10-18 0605 DJ3EI 599 D25 R4IO      599 358
QSO: 14007 CW  2020-10-18 0607 DJ3EI 599 D25 LZ1QN     599 658
QSO: 14007 CW  2020-10-18 0609 DJ3EI 599 D25 R0AA      599 057
QSO: 14007 CW  2020-10-18 0609 DJ3EI 599 D25 RL4F      599 518
QSO: 14007 CW  2020-10-18 0612 DJ3EI 599 D25 UF4S      599 756
QSO: 14006 CW  2020-10-18 0621 DJ3EI 599 D25 4O4T      599 628
QSO: 14008 CW  2020-10-18 0624 DJ3EI 599 D25 RU4IO     599 162
QSO: 14008 CW  2020-10-18 0626 DJ3EI 599 D25 R7MM      599 520
QSO: 14008 CW  2020-10-18 0634 DJ3EI 599 D25 UY2IG     599 140
QSO: 14010 CW  2020-10-18 0644 DJ3EI 599 D25 RN7R      599 051
END-OF-LOG:
