START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: JH3PRR
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: 160M
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE:
OPERATORS:
NAME: Masahiro Kitagawa
SOAPBOX:
QSO: 28020 CW 2012-11-24 0118 JH3PRR        599 25     N7ZG          599 03     0
QSO: 28021 CW 2012-11-24 0120 JH3PRR        599 25     VE6SV         599 04     0
QSO: 28022 CW 2012-11-24 0120 JH3PRR        599 25     NU6S          599 03     0
QSO: 28023 CW 2012-11-24 0121 JH3PRR        599 25     PY3OZ         599 11     0
QSO: 28035 CW 2012-11-24 0123 JH3PRR        599 25     EL2A          599 35     0
QSO: 28036 CW 2012-11-24 0124 JH3PRR        599 25     CX7CO         599 13     0
QSO: 28053 CW 2012-11-24 0125 JH3PRR        599 25     LW8DQ         599 13     0
QSO: 28062 CW 2012-11-24 0127 JH3PRR        599 25     HD2A          599 10     0
QSO: 28063 CW 2012-11-24 0127 JH3PRR        599 25     NC7M          599 03     0
QSO: 28065 CW 2012-11-24 0129 JH3PRR        599 25     ZP9MCE        599 11     0
QSO: 28067 CW 2012-11-24 0130 JH3PRR        599 25     WN6K          599 03     0
QSO: 28071 CW 2012-11-24 0131 JH3PRR        599 25     W7AT          599 03     0
QSO: 28003 CW 2012-11-24 0132 JH3PRR        599 25     CE2AWW        599 12     0
QSO: 28002 CW 2012-11-24 0133 JH3PRR        599 25     KH6LC         599 31     0
QSO: 28008 CW 2012-11-24 0134 JH3PRR        599 25     KG6DX         599 27     0
QSO: 28043 CW 2012-11-24 0138 JH3PRR        599 25     T8NS          599 27     0
QSO: 28042 CW 2012-11-24 0138 JH3PRR        599 25     VK8GM         599 29     0
QSO: 28036 CW 2012-11-24 0139 JH3PRR        599 25     VK2IM         599 30     0
QSO: 28030 CW 2012-11-24 0140 JH3PRR        599 25     E2E           599 26     0
QSO: 28030 CW 2012-11-24 0140 JH3PRR        599 25     3W2J          599 26     0
QSO: 28029 CW 2012-11-24 0141 JH3PRR        599 25     JN4MMO        599 25     0
QSO: 28027 CW 2012-11-24 0150 JH3PRR        599 25     ZL2J          599 32     0
