START-OF-LOG: 2.0
CREATED-BY: ADIF2CABR V.2.00 (C) SP7DQR
CALLSIGN: RA3WDK
CONTEST: CQ-WW-CW
CLAIMED-SCORE:
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
CATEGORY-TRANSMITTER: ONE
CLUB:
LOCATION: KO81BR
NAME: Ivan
SOAPBOX: RIG Home made PWR 5 watt ANT wire 15m
QSO:  7000 CW 2012-11-24 0435 RA3WDK        599 16         UN0L          599 17
QSO:  7000 CW 2012-11-24 0439 RA3WDK        599 16         OH0V          599 15
QSO:  7000 CW 2012-11-24 0441 RA3WDK        599 16         R8TR          599 16
QSO:  7000 CW 2012-11-24 0444 RA3WDK        599 16         UP2L          599 17
QSO:  7000 CW 2012-11-24 0446 RA3WDK        599 16         RK9SWF        599 16
QSO:  7000 CW 2012-11-24 0449 RA3WDK        599 16         OH9W          599 15
QSO:  7000 CW 2012-11-24 0454 RA3WDK        599 16         RV4AB         599 16
QSO:  7000 CW 2012-11-24 0457 RA3WDK        599 16         LZ9W          599 20
QSO:  7000 CW 2012-11-24 0458 RA3WDK        599 16         UP0L          599 17
QSO:  7000 CW 2012-11-24 0503 RA3WDK        599 16         RA9A          599 17
QSO:  7000 CW 2012-11-24 0506 RA3WDK        599 16         SJ2W          599 14
QSO:  7000 CW 2012-11-24 0510 RA3WDK        599 16         OH8A          599 15
QSO:  7000 CW 2012-11-24 0512 RA3WDK        599 16         RT6A          599 16
QSO:  7000 CW 2012-11-24 0513 RA3WDK        599 16         OH8X          599 15
QSO:  7000 CW 2012-11-24 0515 RA3WDK        599 16         DR1D          599 14
QSO:  7000 CW 2012-11-24 0533 RA3WDK        599 16         UU7J          599 16
QSO:  7000 CW 2012-11-24 0536 RA3WDK        599 16         OL7M          599 15
QSO:  7000 CW 2012-11-24 0539 RA3WDK        599 16         S56X          599 15
QSO: 14000 CW 2012-11-24 0542 RA3WDK        599 16         UN9GD         599 17
QSO: 14000 CW 2012-11-24 0546 RA3WDK        599 16         D4C           599 35
QSO: 14000 CW 2012-11-24 0548 RA3WDK        599 16         LZ9W          599 20
QSO: 14000 CW 2012-11-24 0549 RA3WDK        599 16         Z38N          599 15
QSO: 14000 CW 2012-11-24 0551 RA3WDK        599 16         UP2L          599 17
QSO: 14000 CW 2012-11-24 0552 RA3WDK        599 16         LZ3ZZ         599 20
QSO: 14000 CW 2012-11-24 0553 RA3WDK        599 16         RK9SWF        599 16
QSO: 14000 CW 2012-11-24 0555 RA3WDK        599 16         UA6GX         599 16
QSO: 14000 CW 2012-11-24 0556 RA3WDK        599 16         Z35F          599 15
QSO: 14000 CW 2012-11-24 0557 RA3WDK        599 16         R9FT          599 17
QSO: 14000 CW 2012-11-24 0600 RA3WDK        599 16         W3EA          599 5
QSO: 14000 CW 2012-11-24 0604 RA3WDK        599 16         9A3IH         599 15
QSO: 14000 CW 2012-11-24 0608 RA3WDK        599 16         YT4W          599 15
QSO: 14000 CW 2012-11-24 0609 RA3WDK        599 16         YT0A          599 15
QSO: 14000 CW 2012-11-24 0616 RA3WDK        599 16         YT1A          599 15
QSO: 14000 CW 2012-11-24 0620 RA3WDK        599 16         RW4W          599 16
QSO: 14000 CW 2012-11-24 0622 RA3WDK        599 16         N2MF          599 5
QSO: 14000 CW 2012-11-24 0626 RA3WDK        599 16         RX9AF         599 17
QSO: 14000 CW 2012-11-24 0627 RA3WDK        599 16         KI1G          599 5
QSO: 14000 CW 2012-11-24 0630 RA3WDK        599 16         9A5K          599 15
QSO: 14000 CW 2012-11-24 0635 RA3WDK        599 16         RA9DZ         599 17
QSO: 14000 CW 2012-11-24 0637 RA3WDK        599 16         M4A           599 14
QSO: 14000 CW 2012-11-24 0643 RA3WDK        599 16         RW0AJ         599 18
QSO: 14000 CW 2012-11-24 0644 RA3WDK        599 16         DF0HQ         599 14
QSO: 14000 CW 2012-11-24 0645 RA3WDK        599 16         YU1AAV        599 15
QSO: 14000 CW 2012-11-24 0648 RA3WDK        599 16         YT7R          599 15
QSO: 14000 CW 2012-11-24 0652 RA3WDK        599 16         OL3Z          599 15
QSO: 14000 CW 2012-11-24 0654 RA3WDK        599 16         OM5WW         599 15
QSO: 14000 CW 2012-11-24 0656 RA3WDK        599 16         UA9AL         599 17
QSO: 14000 CW 2012-11-24 0707 RA3WDK        599 16         SN9V          599 15
QSO: 14000 CW 2012-11-24 0710 RA3WDK        599 16         HB9CA         599 14
