START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.10.0
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: M0CKE
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 148852
OPERATORS: M0CKE
NAME: Jim Balls
SOAPBOX: Part time with small 6m loop, ts2000 and wintest with Winkeyer.
QSO:  7004 CW 2012-11-24 0733 M0CKE         599 14     S52AW         599 15     0
QSO:  7000 CW 2012-11-24 0735 M0CKE         599 14     K1LZ          599 05     0
QSO:  7002 CW 2012-11-24 0736 M0CKE         599 14     HA3OD         599 15     0
QSO:  7002 CW 2012-11-24 0737 M0CKE         599 14     OH5Z          599 15     0
QSO:  7003 CW 2012-11-24 0741 M0CKE         599 14     DF0HQ         599 14     0
QSO:  7004 CW 2012-11-24 0742 M0CKE         599 14     S56X          599 15     0
QSO:  7002 CW 2012-11-24 0803 M0CKE         599 14     OL6T          599 15     0
QSO:  7002 CW 2012-11-24 0804 M0CKE         599 14     W3LPL         599 05     0
QSO:  7005 CW 2012-11-24 0812 M0CKE         599 14     PJ4A          599 09     0
QSO:  7001 CW 2012-11-24 0817 M0CKE         599 14     P40F          599 09     0
QSO:  7027 CW 2012-11-24 0817 M0CKE         599 14     K8AZ          599 05     0
QSO:  7030 CW 2012-11-24 0818 M0CKE         599 14     YL0Y          599 15     0
QSO:  7012 CW 2012-11-24 0820 M0CKE         599 14     KB1H          599 05     0
QSO:  7031 CW 2012-11-24 0821 M0CKE         599 14     K3IPK         599 05     0
QSO:  7015 CW 2012-11-24 0823 M0CKE         599 14     9A7T          599 15     0
QSO:  7013 CW 2012-11-24 0826 M0CKE         599 14     EW7LO         599 16     0
QSO:  7021 CW 2012-11-24 0827 M0CKE         599 14     3Z5W          599 15     0
QSO:  7014 CW 2012-11-24 0827 M0CKE         599 14     LY6A          599 15     0
QSO:  7023 CW 2012-11-24 0830 M0CKE         599 14     CR6K          599 14     0
QSO:  7033 CW 2012-11-24 0832 M0CKE         599 14     LZ9W          599 20     0
QSO:  7030 CW 2012-11-24 0832 M0CKE         599 14     KP2M          599 08     0
QSO:  7019 CW 2012-11-24 0840 M0CKE         599 14     VE3EJ         599 04     0
QSO:  7034 CW 2012-11-24 0843 M0CKE         599 14     EA3NT         599 14     0
QSO:  7033 CW 2012-11-24 0844 M0CKE         599 14     K1LG          599 05     0
QSO:  7000 CW 2012-11-24 0844 M0CKE         599 14     W1KM          599 05     0
QSO:  7008 CW 2012-11-24 0846 M0CKE         599 14     KI1G          599 05     0
QSO:  7011 CW 2012-11-24 0847 M0CKE         599 14     K3LR          599 05     0
QSO:  7013 CW 2012-11-24 0847 M0CKE         599 14     K3CR          599 05     0
QSO:  7017 CW 2012-11-24 0849 M0CKE         599 14     NQ4I          599 05     0
QSO:  7020 CW 2012-11-24 0849 M0CKE         599 14     K1ZZ          599 05     0
QSO:  7021 CW 2012-11-24 0851 M0CKE         599 14     DQ0A          599 14     0
QSO:  7022 CW 2012-11-24 0852 M0CKE         599 14     DL3VZL        599 14     0
QSO:  7023 CW 2012-11-24 0853 M0CKE         599 14     K2LE          599 05     0
QSO:  7024 CW 2012-11-24 0854 M0CKE         599 14     HG1S          599 15     0
QSO:  7025 CW 2012-11-24 0856 M0CKE         599 14     ZF1A          599 08     0
QSO:  7025 CW 2012-11-24 0857 M0CKE         599 14     NY3A          599 05     0
QSO:  7001 CW 2012-11-24 0900 M0CKE         599 14     K1DG          599 05     0
QSO:  7000 CW 2012-11-24 0900 M0CKE         599 14     W2KM          599 05     0
QSO:  7000 CW 2012-11-24 0900 M0CKE         599 14     K2K           599 05     0
QSO:  7001 CW 2012-11-24 0901 M0CKE         599 14     K2DG          599 05     0
