START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.3.0
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: F5GGL
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 7280
OPERATORS: F5GGL
NAME: ZABALZA JEAN LOUIS
SOAPBOX: IC 730 pwr <100 Wtt  ant KT34a + G5RV 6m up
QSO:  7000 CW 2012-11-25 0809 F5GGL         599 14     YW4D          599 09     0
QSO:  7000 CW 2012-11-25 0812 F5GGL         599 14     C6AKQ         599 08     0
QSO:  7000 CW 2012-11-25 0817 F5GGL         599 14     ZF1A          599 08     0
QSO:  7000 CW 2012-11-25 0840 F5GGL         599 14     PZ5T          599 09     0
QSO:  7000 CW 2012-11-25 0849 F5GGL         599 14     HK3OH         599 09     0
QSO:  7000 CW 2012-11-25 0853 F5GGL         599 14     W9RE          599 04     0
QSO:  7000 CW 2012-11-25 0858 F5GGL         599 14     PJ4A          599 09     0
QSO:  7000 CW 2012-11-25 0904 F5GGL         599 14     D4C           599 35     0
QSO:  7000 CW 2012-11-25 0932 F5GGL         599 14     KL1A/2        599 01     0
QSO: 28000 CW 2012-11-25 1040 F5GGL         599 14     C4Z           599 20     0
QSO: 28000 CW 2012-11-25 1045 F5GGL         599 14     TM0R          599 14     0
QSO: 28000 CW 2012-11-25 1046 F5GGL         599 14     US8IM         599 16     0
QSO: 28000 CW 2012-11-25 1432 F5GGL         599 14     PS2T          599 11     0
QSO: 28000 CW 2012-11-25 1434 F5GGL         599 14     F5VKT         599 14     0
QSO: 28000 CW 2012-11-25 1439 F5GGL         599 14     PZ5T          599 09     0
QSO: 28000 CW 2012-11-25 1445 F5GGL         599 14     VP2V/AA7V     599 08     0
QSO: 28000 CW 2012-11-25 1501 F5GGL         599 14     HI3TEJ        599 08     0
QSO: 28000 CW 2012-11-25 1503 F5GGL         599 14     PJ2T          599 09     0
QSO: 28000 CW 2012-11-25 1513 F5GGL         599 14     EI0W          599 14     0
QSO: 28000 CW 2012-11-25 1524 F5GGL         599 14     K5ZD          599 05     0
QSO: 28000 CW 2012-11-25 1526 F5GGL         599 14     KQ2M          599 05     0
QSO: 21000 CW 2012-11-25 1541 F5GGL         599 14     V26K          599 08     0
QSO: 21000 CW 2012-11-25 1549 F5GGL         599 14     D4C           599 35     0
QSO: 21000 CW 2012-11-25 1556 F5GGL         599 14     W1NK          599 05     0
QSO: 21000 CW 2012-11-25 1559 F5GGL         599 14     5X1NH         599 37     0
QSO: 21000 CW 2012-11-25 1602 F5GGL         599 14     XE2S          599 06     0
QSO: 21000 CW 2012-11-25 1606 F5GGL         599 14     HD2A          599 10     0
QSO: 28000 CW 2012-11-25 1617 F5GGL         599 14     TI5A          599 07     0
QSO: 28000 CW 2012-11-25 1656 F5GGL         599 14     D4C           599 35     0
QSO: 21000 CW 2012-11-25 1715 F5GGL         599 14     EL2A          599 35     0
QSO: 21000 CW 2012-11-25 1717 F5GGL         599 14     P40W          599 09     0
QSO: 21000 CW 2012-11-25 1720 F5GGL         599 14     HK1NA         599 09     0
QSO: 21000 CW 2012-11-25 1734 F5GGL         599 14     ZF1A          599 08     0
QSO: 21000 CW 2012-11-25 1742 F5GGL         599 14     VP5CW         599 08     0
QSO:  7000 CW 2012-11-25 1852 F5GGL         599 14     P33W          599 20     0
QSO:  7000 CW 2012-11-25 1854 F5GGL         599 14     C5A           599 35     0
QSO:  7000 CW 2012-11-25 1858 F5GGL         599 14     JA1JKG        599 25     0
QSO:  7000 CW 2012-11-25 1921 F5GGL         599 14     EX2A          599 17     0
QSO:  7000 CW 2012-11-25 2211 F5GGL         599 14     T6LG          599 21     0
QSO:  7000 CW 2012-11-25 2246 F5GGL         599 14     JA5FDJ        599 25     0
QSO:  7000 CW 2012-11-25 2250 F5GGL         599 14     9A8M          599 15     0
QSO:  7000 CW 2012-11-25 2253 F5GGL         599 14     RT5G          599 16     0
END-OF-LOG:
