START-OF-LOG: 3.0
CREATED-BY: LM Version 4.6 (c) 1992, 2011 by DL8WAA
LOCATION: DX
CONTEST: CQ-WW-CW
CALLSIGN: DU7HF
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CLAIMED-SCORE: 35550
OPERATORS: DU7HF
CLUB:
NAME: Rini Ligutom
SOAPBOX: my second time in CQ WW CW, great & fantastik..
QSO: 21000 CW 2012-11-24 0005 DU7HF         599 27     JA3YBK        599 25     0
QSO: 21000 CW 2012-11-24 0012 DU7HF         599 27     JF1NHD        599 25     0
QSO: 21000 CW 2012-11-24 0015 DU7HF         599 27     JH4UTP        599 25     0
QSO: 21000 CW 2012-11-24 0026 DU7HF         599 27     N7DR          599 04     0
QSO: 21000 CW 2012-11-24 0035 DU7HF         599 27     JH8SLS        599 25     0
QSO: 21000 CW 2012-11-24 0051 DU7HF         599 27     JJ0JML        599 25     0
QSO: 21000 CW 2012-11-24 0057 DU7HF         599 27     9M2CNC        599 28     0
QSO: 21000 CW 2012-11-24 0101 DU7HF         599 27     JH4UYB        599 25     0
QSO: 21000 CW 2012-11-24 0110 DU7HF         599 27     VR2PX         599 24     0
QSO: 21000 CW 2012-11-24 0159 DU7HF         599 27     BD7DX         599 24     0
QSO: 21000 CW 2012-11-24 0216 DU7HF         599 27     W6YX          599 03     0
QSO: 21000 CW 2012-11-24 0226 DU7HF         599 27     XV9NPS        599 26     0
QSO: 21000 CW 2012-11-24 0231 DU7HF         599 27     7J1YAJ        599 25     0
QSO: 21000 CW 2012-11-24 0238 DU7HF         599 27     VK4CT         599 30     0
QSO: 21000 CW 2012-11-24 0250 DU7HF         599 27     9M2/JE1SCJ    599 28     0
QSO: 21000 CW 2012-11-24 0300 DU7HF         599 27     VK6LW         599 29     0
QSO: 21000 CW 2012-11-24 0307 DU7HF         599 27     JA1YPA        599 25     0
QSO: 21000 CW 2012-11-24 0312 DU7HF         599 27     BY1CW         599 24     0
QSO: 21000 CW 2012-11-24 0319 DU7HF         599 27     B7P           599 24     0
QSO: 21000 CW 2012-11-24 0323 DU7HF         599 27     JA5FDJ        599 25     0
QSO: 21000 CW 2012-11-24 0327 DU7HF         599 27     JH4MGU        599 25     0
QSO: 21000 CW 2012-11-24 0331 DU7HF         599 27     YD1DDB        599 28     0
QSO: 21000 CW 2012-11-24 0333 DU7HF         599 27     ZM4T          599 32     0
QSO: 21000 CW 2012-11-24 0337 DU7HF         599 27     JA0FVU        599 25     0
QSO: 21000 CW 2012-11-24 0415 DU7HF         599 27     JE1ZWT        599 25     0
QSO: 21000 CW 2012-11-24 0429 DU7HF         599 27     JA7VEI        599 25     0
QSO: 21000 CW 2012-11-24 0430 DU7HF         599 27     RW0A          599 17     0
QSO: 21000 CW 2012-11-24 0433 DU7HF         599 27     JH1CTV        599 25     0
QSO: 21000 CW 2012-11-24 0436 DU7HF         599 27     VK2IM         599 30     0
QSO: 21000 CW 2012-11-24 0440 DU7HF         599 27     RZ0LWA        599 19     0
QSO: 21000 CW 2012-11-24 0523 DU7HF         599 27     YE2W          599 28     0
QSO: 21000 CW 2012-11-24 0530 DU7HF         599 27     JA2XYO        599 25     0
QSO: 21000 CW 2012-11-24 0531 DU7HF         599 27     JA1DDZ        599 25     0
QSO: 21000 CW 2012-11-24 0541 DU7HF         599 27     JA2KOG        599 25     0
QSO: 21000 CW 2012-11-24 0542 DU7HF         599 27     JG1OWV        599 25     0
QSO: 21000 CW 2012-11-24 0543 DU7HF         599 27     RT3F          599 16     0
QSO: 21000 CW 2012-11-24 0545 DU7HF         599 27     JR1NKN        599 25     0
QSO: 21000 CW 2012-11-24 0548 DU7HF         599 27     JO1WIZ        599 25     0
QSO:  7000 CW 2012-11-24 0921 DU7HF         599 27     JA7IC         599 25     0
QSO:  7000 CW 2012-11-24 0922 DU7HF         599 27     JA5FDJ        599 25     0
QSO:  7000 CW 2012-11-24 0923 DU7HF         599 27     W7RN          599 03     0
QSO:  7000 CW 2012-11-24 0937 DU7HF         599 27     K5GO          599 04     0
QSO:  7000 CW 2012-11-24 0954 DU7HF         599 27     NR5M          599 04     0
QSO:  7000 CW 2012-11-24 1001 DU7HF         599 27     JA0QNJ        599 25     0
QSO:  7000 CW 2012-11-24 1009 DU7HF         599 27     JE1LFX        599 25     0
QSO:  7000 CW 2012-11-24 1020 DU7HF         599 27     N6SS          599 03     0
QSO:  7000 CW 2012-11-24 1029 DU7HF         599 27     JA6LCJ        599 25     0
QSO:  7000 CW 2012-11-24 1037 DU7HF         599 27     9M2/E21EIC    599 28     0
QSO:  7000 CW 2012-11-24 1048 DU7HF         599 27     9M6NA         599 28     0
QSO:  7000 CW 2012-11-24 1058 DU7HF         599 27     K7RL          599 03     0
QSO:  7000 CW 2012-11-24 1104 DU7HF         599 27     BA7IO         599 24     0
QSO:  7000 CW 2012-11-24 1118 DU7HF         599 27     DX50DBT       599 27     0
QSO: 21000 CW 2012-11-24 1134 DU7HF         599 27     3Z5N          599 15     0
QSO: 21000 CW 2012-11-24 1243 DU7HF         599 27     BM0LF         599 24     0
QSO: 21000 CW 2012-11-24 1252 DU7HF         599 27     VK2IM         599 30     0
QSO: 21000 CW 2012-11-24 1258 DU7HF         599 27     YB2LSR        599 28     0
QSO: 14000 CW 2012-11-24 1306 DU7HF         599 27     BA7IO         599 24     0
QSO: 14000 CW 2012-11-24 1311 DU7HF         599 27     9M2MRS        599 28     0
QSO: 14000 CW 2012-11-24 1314 DU7HF         599 27     SE5E          599 14     0
QSO: 14000 CW 2012-11-24 1318 DU7HF         599 27     YE1C          599 28     0
QSO: 14000 CW 2012-11-24 1322 DU7HF         599 27     YE2W          599 28     0
QSO: 14000 CW 2012-11-24 1409 DU7HF         599 27     9M6NA         599 28     0
QSO: 14000 CW 2012-11-24 1559 DU7HF         599 27     VK2DX         599 30     0
QSO: 14000 CW 2012-11-24 1608 DU7HF         599 27     SE0X          599 14     0
QSO: 14000 CW 2012-11-24 1626 DU7HF         599 27     TM5Y          599 14     0
QSO: 28000 CW 2012-11-24 2240 DU7HF         599 27     JL3MCM        599 25     0
QSO: 28000 CW 2012-11-24 2255 DU7HF         599 27     JN3DSH        599 25     0
QSO: 21000 CW 2012-11-24 2322 DU7HF         599 27     NN1N          599 05     0
QSO: 21000 CW 2012-11-24 2331 DU7HF         599 27     HS8JYX        599 26     0
QSO: 21000 CW 2012-11-24 2334 DU7HF         599 27     N3RS          599 05     0
QSO: 21000 CW 2012-11-24 2336 DU7HF         599 27     VE7WY         599 03     0
QSO: 21000 CW 2012-11-24 2337 DU7HF         599 27     K0CT          599 04     0
QSO: 21000 CW 2012-11-24 2338 DU7HF         599 27     K0RF          599 04     0
QSO: 21000 CW 2012-11-24 2340 DU7HF         599 27     N5ZK          599 04     0
QSO: 21000 CW 2012-11-24 2340 DU7HF         599 27     N5XZ          599 04     0
QSO: 21000 CW 2012-11-24 2341 DU7HF         599 27     NQ4I          599 05     0
QSO: 21000 CW 2012-11-24 2342 DU7HF         599 27     W0MM          599 04     0
QSO: 21000 CW 2012-11-24 2343 DU7HF         599 27     W6OAT         599 03     0
QSO: 21000 CW 2012-11-24 2343 DU7HF         599 27     K4XS          599 05     0
QSO: 21000 CW 2012-11-24 2344 DU7HF         599 27     W7VJ          599 03     0
QSO: 21000 CW 2012-11-24 2345 DU7HF         599 27     N7DD          599 03     0
QSO: 21000 CW 2012-11-24 2346 DU7HF         599 27     K7DSE         599 03     0
QSO: 21000 CW 2012-11-24 2348 DU7HF         599 27     W8MJ          599 04     0
QSO: 21000 CW 2012-11-24 2348 DU7HF         599 27     N6QQ          599 03     0
QSO: 21000 CW 2012-11-24 2349 DU7HF         599 27     VA7ZT         599 03     0
QSO: 21000 CW 2012-11-24 2350 DU7HF         599 27     K6RIM         599 03     0
QSO: 21000 CW 2012-11-24 2351 DU7HF         599 27     K3RR          599 05     0
QSO: 21000 CW 2012-11-24 2352 DU7HF         599 27     K5BMS         599 04     0
QSO: 21000 CW 2012-11-24 2353 DU7HF         599 27     N6ML          599 03     0
QSO: 21000 CW 2012-11-24 2354 DU7HF         599 27     N0YY          599 04     0
QSO: 21000 CW 2012-11-24 2354 DU7HF         599 27     W6UM          599 03     0
QSO: 21000 CW 2012-11-24 2355 DU7HF         599 27     KL7RA         599 01     0
QSO: 21000 CW 2012-11-24 2356 DU7HF         599 27     N0NI          599 04     0
QSO: 21000 CW 2012-11-24 2357 DU7HF         599 27     K2NS          599 05     0
QSO: 21000 CW 2012-11-24 2358 DU7HF         599 27     K7XZ          599 03     0
QSO: 21000 CW 2012-11-24 2358 DU7HF         599 27     K7KB          599 03     0
QSO: 21000 CW 2012-11-25 0003 DU7HF         599 27     JE1SGH        599 25     0
QSO: 21000 CW 2012-11-25 0004 DU7HF         599 27     YB3MM         599 28     0
QSO: 21000 CW 2012-11-25 0005 DU7HF         599 27     W7PP          599 03     0
QSO: 21000 CW 2012-11-25 0006 DU7HF         599 27     N9RV          599 04     0
QSO: 21000 CW 2012-11-25 0006 DU7HF         599 27     WA8DIQ        599 04     0
QSO: 21000 CW 2012-11-25 0408 DU7HF         599 27     JH1OES        599 25     0
QSO: 21000 CW 2012-11-25 0414 DU7HF         599 27     JH0NEC        599 25     0
QSO: 21000 CW 2012-11-25 0416 DU7HF         599 27     RT5Z          599 16     0
QSO: 21000 CW 2012-11-25 0417 DU7HF         599 27     JJ0QZI        599 25     0
QSO: 21000 CW 2012-11-25 0418 DU7HF         599 27     VK4IU         599 30     0
QSO: 21000 CW 2012-11-25 0419 DU7HF         599 27     JF2OHQ        599 25     0
QSO: 21000 CW 2012-11-25 0423 DU7HF         599 27     JA9RPU        599 25     0
QSO: 21000 CW 2012-11-25 0428 DU7HF         599 27     JR2NTC        599 25     0
QSO: 21000 CW 2012-11-25 0429 DU7HF         599 27     KH7X          599 31     0
QSO: 21000 CW 2012-11-25 0431 DU7HF         599 27     JA3VXH        599 25     0
QSO: 21000 CW 2012-11-25 0439 DU7HF         599 27     JI1RXQ        599 25     0
QSO: 21000 CW 2012-11-25 0444 DU7HF         599 27     BI7MLE        599 24     0
QSO: 21000 CW 2012-11-25 0446 DU7HF         599 27     JK4DUJ        599 25     0
QSO: 21000 CW 2012-11-25 0447 DU7HF         599 27     JA1COP        599 25     0
QSO: 21000 CW 2012-11-25 0450 DU7HF         599 27     JH1DGQ        599 25     0
QSO: 21000 CW 2012-11-25 0451 DU7HF         599 27     VU2PTT        599 22     0
QSO: 21000 CW 2012-11-25 0503 DU7HF         599 27     JA5DQH        599 25     0
QSO: 21000 CW 2012-11-25 0504 DU7HF         599 27     JH1FNU        599 25     0
QSO: 21000 CW 2012-11-25 0506 DU7HF         599 27     UA9LAO/4      599 16     0
QSO: 21000 CW 2012-11-25 0509 DU7HF         599 27     JF1VNR        599 25     0
QSO: 21000 CW 2012-11-25 0510 DU7HF         599 27     RA9DZ         599 17     0
QSO: 21000 CW 2012-11-25 0513 DU7HF         599 27     JH1FTL        599 25     0
QSO: 21000 CW 2012-11-25 0514 DU7HF         599 27     JA2KVB        599 25     0
QSO: 21000 CW 2012-11-25 0526 DU7HF         599 27     JA4RQO        599 25     0
QSO: 21000 CW 2012-11-25 0529 DU7HF         599 27     JR4PDP        599 25     0
QSO: 21000 CW 2012-11-25 0535 DU7HF         599 27     JI1AQY        599 25     0
QSO: 21000 CW 2012-11-25 0538 DU7HF         599 27     UA1T          599 16     0
QSO: 14000 CW 2012-11-25 0813 DU7HF         599 27     5W1SA         599 32     0
QSO: 14000 CW 2012-11-25 0834 DU7HF         599 27     JA5IVG        599 25     0
QSO: 14000 CW 2012-11-25 0835 DU7HF         599 27     VK3HJ         599 30     0
QSO:  7000 CW 2012-11-25 0858 DU7HF         599 27     KN7K          599 03     0
QSO:  7000 CW 2012-11-25 0913 DU7HF         599 27     JA3YBK        599 25     0
QSO: 21000 CW 2012-11-25 1151 DU7HF         599 27     HG7T          599 15     0
QSO: 14000 CW 2012-11-25 1211 DU7HF         599 27     DR1A          599 14     0
QSO: 14000 CW 2012-11-25 1219 DU7HF         599 27     BY7KTO        599 24     0
QSO: 14000 CW 2012-11-25 1223 DU7HF         599 27     JA3YBK        599 25     0
QSO: 14000 CW 2012-11-25 1224 DU7HF         599 27     JJ1NYH        599 25     0
QSO: 14000 CW 2012-11-25 1226 DU7HF         599 27     JA3DAY        599 25     0
QSO: 14000 CW 2012-11-25 1230 DU7HF         599 27     JE1LPZ        599 25     0
QSO: 14000 CW 2012-11-25 1231 DU7HF         599 27     RN3F          599 16     0
QSO: 14000 CW 2012-11-25 1233 DU7HF         599 27     JK4USW        599 25     0
QSO: 14000 CW 2012-11-25 1235 DU7HF         599 27     JI3BFC        599 25     0
QSO: 14000 CW 2012-11-25 1237 DU7HF         599 27     EW8EW         599 16     0
QSO: 14000 CW 2012-11-25 1238 DU7HF         599 27     JR5XPG        599 25     0
QSO: 14000 CW 2012-11-25 1240 DU7HF         599 27     9A8M          599 15     0
QSO: 14000 CW 2012-11-25 1241 DU7HF         599 27     RT9A          599 17     0
QSO: 14000 CW 2012-11-25 1242 DU7HF         599 27     JA1JQY        599 25     0
QSO: 14000 CW 2012-11-25 1242 DU7HF         599 27     UW3U          599 16     0
QSO: 14000 CW 2012-11-25 1246 DU7HF         599 27     JR4DAH        599 25     0
QSO: 14000 CW 2012-11-25 1248 DU7HF         599 27     EU1A          599 16     0
QSO: 14000 CW 2012-11-25 1250 DU7HF         599 27     JA5RB         599 25     0
QSO: 14000 CW 2012-11-25 1251 DU7HF         599 27     OL3Z          599 15     0
QSO: 14000 CW 2012-11-25 1257 DU7HF         599 27     ED9Z          599 33     0
QSO: 14000 CW 2012-11-25 1303 DU7HF         599 27     EA5RS         599 14     0
QSO: 14000 CW 2012-11-25 1303 DU7HF         599 27     EW8DX         599 16     0
QSO: 14000 CW 2012-11-25 1305 DU7HF         599 27     JH1ACA        599 25     0
QSO: 14000 CW 2012-11-25 1308 DU7HF         599 27     DP9A          599 14     0
QSO: 14000 CW 2012-11-25 1308 DU7HF         599 27     JO4CTB        599 25     0
QSO: 14000 CW 2012-11-25 1312 DU7HF         599 27     BA4MY         599 24     0
QSO: 14000 CW 2012-11-25 1348 DU7HF         599 27     HL1VAU        599 25     0
QSO: 14000 CW 2012-11-25 1357 DU7HF         599 27     SM0MPV/0      599 14     0
QSO: 21000 CW 2012-11-25 2355 DU7HF         599 27     7K1JFM        599 25     0
QSO: 21000 CW 2012-11-25 2359 DU7HF         599 27     VK6HG         599 30     0
END-OF-LOG:
