START-OF-LOG: 3.0
CREATED-BY: TR4W v.4.229 [RUS]
CALLSIGN: RD9DX
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 36860
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: QRP
OPERATORS: RD9DX
CLUB: URAL CONTEST GROUP
LOCATION: 17
NAME: Serge Krivoshein
SOAPBOX: TRX IC-750as PWR OUT 5 WATT, ANT XL-222, DELTA LOOP
CATEGORY-TRANSMITTER: ONE
QSO:  1800 CW 2012-11-24 0130 RD9DX         599 17     RX9CAZ        599 17
QSO:  1800 CW 2012-11-24 0145 RD9DX         599 17     UA4M          599 16
QSO:  1800 CW 2012-11-24 0205 RD9DX         599 17     RZ4FWW        599 16
QSO:  1800 CW 2012-11-24 0230 RD9DX         599 17     UN4L          599 17
QSO:  1800 CW 2012-11-24 0232 RD9DX         599 17     UA1OMS        599 16
QSO:  7000 CW 2012-11-24 0656 RD9DX         599 17     EW6CU         599 16
QSO:  7000 CW 2012-11-24 0738 RD9DX         599 17     YL0Y          599 15
QSO:  7000 CW 2012-11-24 0758 RD9DX         599 17     OZ1LO         599 14
QSO:  7000 CW 2012-11-24 0800 RD9DX         599 17     YL6W          599 15
QSO:  7000 CW 2012-11-24 0807 RD9DX         599 17     OH9W          599 15
QSO:  7000 CW 2012-11-24 0808 RD9DX         599 17     UA4M          599 16
QSO:  7000 CW 2012-11-24 1233 RD9DX         599 17     OZ5E          599 14
QSO:  7000 CW 2012-11-24 1237 RD9DX         599 17     JH4UTP        599 25
QSO:  7000 CW 2012-11-24 1244 RD9DX         599 17     JT1DX         599 23
QSO:  7000 CW 2012-11-24 1404 RD9DX         599 17     UP1G          599 17
QSO:  7000 CW 2012-11-24 1843 RD9DX         599 17     LZ2PS         599 20
QSO:  7000 CW 2012-11-24 1902 RD9DX         599 17     OH8A          599 15
QSO:  7000 CW 2012-11-24 1903 RD9DX         599 17     ER4A          599 16
QSO:  7000 CW 2012-11-24 1905 RD9DX         599 17     SZ1A          599 20
QSO:  7000 CW 2012-11-24 1907 RD9DX         599 17     EU1A          599 16
QSO:  7000 CW 2012-11-24 1915 RD9DX         599 17     F6KGY         599 14
QSO:  7000 CW 2012-11-24 1935 RD9DX         599 17     YL3FT         599 15
QSO:  7000 CW 2012-11-24 1950 RD9DX         599 17     YO5PBF        599 20
QSO:  7000 CW 2012-11-24 1952 RD9DX         599 17     OK5W          599 15
QSO:  7000 CW 2012-11-24 1956 RD9DX         599 17     RL3A          599 16
QSO:  7000 CW 2012-11-24 2019 RD9DX         599 17     DR4A          599 14
QSO:  7000 CW 2012-11-24 2028 RD9DX         599 17     UA3AMZ        599 16
QSO:  7000 CW 2012-11-24 2031 RD9DX         599 17     EF5X          599 14
QSO:  7000 CW 2012-11-24 2034 RD9DX         599 17     DR1D          599 14
QSO:  7000 CW 2012-11-24 2035 RD9DX         599 17     LZ5R          599 20
QSO:  7000 CW 2012-11-24 2036 RD9DX         599 17     YT2W          599 15
QSO:  3500 CW 2012-11-24 2137 RD9DX         599 17     SP6PZG        599 15
QSO:  3500 CW 2012-11-24 2140 RD9DX         599 17     RZ3AMW        599 16
QSO:  3500 CW 2012-11-24 2251 RD9DX         599 17     OM3IAG        599 15
QSO:  7000 CW 2012-11-25 0559 RD9DX         599 17     UW5U          599 16
QSO:  7000 CW 2012-11-25 0601 RD9DX         599 17     RV4AB         599 16
QSO:  7000 CW 2012-11-25 0628 RD9DX         599 17     EW8DX         599 16
QSO:  7000 CW 2012-11-25 0737 RD9DX         599 17     RT3T          599 16
QSO:  7000 CW 2012-11-25 0753 RD9DX         599 17     OH5Z          599 15
QSO: 14000 CW 2012-11-25 0807 RD9DX         599 17     YT1A          599 15
QSO: 14000 CW 2012-11-25 0811 RD9DX         599 17     LY6A          599 15
QSO: 14000 CW 2012-11-25 0812 RD9DX         599 17     HA7GN         599 15
QSO: 14000 CW 2012-11-25 0813 RD9DX         599 17     YT7B          599 15
QSO: 14000 CW 2012-11-25 0817 RD9DX         599 17     YO4CAH        599 20
QSO: 14000 CW 2012-11-25 0820 RD9DX         599 17     YT3M          599 15
QSO: 14000 CW 2012-11-25 0821 RD9DX         599 17     OK2BXE        599 15
QSO: 14000 CW 2012-11-25 0821 RD9DX         599 17     OH0X          599 15
QSO: 14000 CW 2012-11-25 0823 RD9DX         599 17     SP4PND        599 15
QSO: 14000 CW 2012-11-25 0825 RD9DX         599 17     LN8W          599 14
QSO: 14000 CW 2012-11-25 0827 RD9DX         599 17     YT3A          599 15
QSO: 14000 CW 2012-11-25 0828 RD9DX         599 17     YP8T          599 20
QSO: 14000 CW 2012-11-25 0829 RD9DX         599 17     DM3MM         599 14
QSO: 14000 CW 2012-11-25 0832 RD9DX         599 17     IK1RIM        599 15
QSO: 14000 CW 2012-11-25 0832 RD9DX         599 17     Z38N          599 15
QSO: 14000 CW 2012-11-25 0834 RD9DX         599 17     UA5B          599 16
QSO: 14000 CW 2012-11-25 0843 RD9DX         599 17     TM5Y          599 14
QSO: 14000 CW 2012-11-25 0844 RD9DX         599 17     HF8N          599 15
QSO: 14000 CW 2012-11-25 0850 RD9DX         599 17     ED5O          599 14
QSO: 14000 CW 2012-11-25 0851 RD9DX         599 17     YT4W          599 15
QSO: 14000 CW 2012-11-25 0858 RD9DX         599 17     ED1R          599 14
QSO: 14000 CW 2012-11-25 0900 RD9DX         599 17     RL9X          599 17
QSO: 14000 CW 2012-11-25 0901 RD9DX         599 17     OK7K          599 15
QSO: 14000 CW 2012-11-25 0904 RD9DX         599 17     DR4A          599 14
QSO: 14000 CW 2012-11-25 0907 RD9DX         599 17     SK0QO         599 14
QSO: 14000 CW 2012-11-25 0908 RD9DX         599 17     RC4HAA        599 16
QSO: 14000 CW 2012-11-25 0912 RD9DX         599 17     9A3IH         599 15
QSO: 14000 CW 2012-11-25 0914 RD9DX         599 17     B4R           599 24
QSO: 14000 CW 2012-11-25 0915 RD9DX         599 17     OM8A          599 15
QSO: 14000 CW 2012-11-25 0916 RD9DX         599 17     IR4M          599 15
QSO: 14000 CW 2012-11-25 0917 RD9DX         599 17     HG1S          599 15
QSO: 14000 CW 2012-11-25 0917 RD9DX         599 17     HA8IH         599 15
QSO: 14000 CW 2012-11-25 0919 RD9DX         599 17     HA5AQ         599 15
QSO: 14000 CW 2012-11-25 0921 RD9DX         599 17     SM5FUG        599 14
QSO: 14000 CW 2012-11-25 0923 RD9DX         599 17     II2E          599 15
QSO: 14000 CW 2012-11-25 0924 RD9DX         599 17     EI7M          599 14
QSO: 14000 CW 2012-11-25 0929 RD9DX         599 17     OL7M          599 15
QSO: 14000 CW 2012-11-25 0930 RD9DX         599 17     SM6BGG        599 14
QSO: 14000 CW 2012-11-25 0931 RD9DX         599 17     S50G          599 15
QSO: 14000 CW 2012-11-25 0945 RD9DX         599 17     RU0FM         599 19
QSO: 14000 CW 2012-11-25 0949 RD9DX         599 17     JA7IC         599 25
QSO: 14000 CW 2012-11-25 0950 RD9DX         599 17     RM5D          599 16
QSO: 14000 CW 2012-11-25 0952 RD9DX         599 17     DL/SP3CW      599 14
QSO: 14000 CW 2012-11-25 0953 RD9DX         599 17     DP9A          599 14
QSO: 14000 CW 2012-11-25 0958 RD9DX         599 17     UT7E          599 16
QSO: 14000 CW 2012-11-25 0959 RD9DX         599 17     EA2EA         599 14
QSO: 14000 CW 2012-11-25 1004 RD9DX         599 17     R1NA          599 16
QSO: 14000 CW 2012-11-25 1012 RD9DX         599 17     UA1QM         599 16
QSO: 14000 CW 2012-11-25 1013 RD9DX         599 17     R5AJ          599 16
QSO: 14000 CW 2012-11-25 1014 RD9DX         599 17     RT3I          599 16
QSO: 14000 CW 2012-11-25 1015 RD9DX         599 17     YR9F          599 20
QSO: 14000 CW 2012-11-25 1016 RD9DX         599 17     DR1A          599 14
QSO: 14000 CW 2012-11-25 1017 RD9DX         599 17     G5D           599 14
QSO: 14000 CW 2012-11-25 1017 RD9DX         599 17     G3TBK         599 14
QSO: 14000 CW 2012-11-25 1020 RD9DX         599 17     UA3R          599 16
QSO: 14000 CW 2012-11-25 1022 RD9DX         599 17     SP4JCQ        599 15
QSO: 14000 CW 2012-11-25 1023 RD9DX         599 17     II9P          599 15
QSO: 14000 CW 2012-11-25 1023 RD9DX         599 17     9A1A          599 15
QSO: 14000 CW 2012-11-25 1024 RD9DX         599 17     SN5W          599 15
QSO: 14000 CW 2012-11-25 1024 RD9DX         599 17     R3QA          599 16
QSO: 14000 CW 2012-11-25 1114 RD9DX         599 17     EA6FO         599 14
QSO: 14000 CW 2012-11-25 1119 RD9DX         599 17     NP2N          599 8
QSO: 14000 CW 2012-11-25 1121 RD9DX         599 17     SP4Z          599 15
QSO: 14000 CW 2012-11-25 1124 RD9DX         599 17     DL5XJ         599 14
QSO: 14000 CW 2012-11-25 1128 RD9DX         599 17     G5W           599 14
QSO: 14000 CW 2012-11-25 1130 RD9DX         599 17     OH8L          599 15
QSO: 14000 CW 2012-11-25 1131 RD9DX         599 17     OR2F          599 14
QSO: 14000 CW 2012-11-25 1133 RD9DX         599 17     OE3K          599 15
QSO: 14000 CW 2012-11-25 1133 RD9DX         599 17     9A2L          599 15
QSO: 14000 CW 2012-11-25 1136 RD9DX         599 17     S57DX         599 15
QSO: 14000 CW 2012-11-25 1139 RD9DX         599 17     EU1A          599 16
QSO: 14000 CW 2012-11-25 1140 RD9DX         599 17     RN3F          599 16
QSO: 21000 CW 2012-11-25 1142 RD9DX         599 17     LY7A          599 15
QSO: 21000 CW 2012-11-25 1143 RD9DX         599 17     EF8X          599 33
QSO: 21000 CW 2012-11-25 1150 RD9DX         599 17     DF0HQ         599 14
QSO: 21000 CW 2012-11-25 1215 RD9DX         599 17     OK8WW         599 15
QSO: 21000 CW 2012-11-25 1216 RD9DX         599 17     SE6E          599 14
QSO: 21000 CW 2012-11-25 1303 RD9DX         599 17     LN3Z          599 14
QSO: 21000 CW 2012-11-25 1309 RD9DX         599 17     CS2C          599 14
QSO: 21000 CW 2012-11-25 1335 RD9DX         599 17     ED1R          599 14
QSO: 21000 CW 2012-11-25 1359 RD9DX         599 17     9A1A          599 15
QSO: 21000 CW 2012-11-25 1421 RD9DX         599 17     HG5C          599 15
QSO: 21000 CW 2012-11-25 1422 RD9DX         599 17     S53F          599 15
QSO: 21000 CW 2012-11-25 1424 RD9DX         599 17     9A7A          599 15
QSO: 14000 CW 2012-11-25 1456 RD9DX         599 17     DF0HQ         599 14
QSO: 14000 CW 2012-11-25 1457 RD9DX         599 17     UA2KW         599 15
QSO: 14000 CW 2012-11-25 1500 RD9DX         599 17     OK6RA         599 15
QSO: 14000 CW 2012-11-25 1544 RD9DX         599 17     OK1JD         599 15
QSO: 14000 CW 2012-11-25 1642 RD9DX         599 17     S52OP         599 15
QSO:  7000 CW 2012-11-25 1945 RD9DX         599 17     OL1C          599 15
QSO:  7000 CW 2012-11-25 2126 RD9DX         599 17     B1Z           599 24
QSO:  7000 CW 2012-11-25 2149 RD9DX         599 17     DL1DVE        599 14
QSO:  7000 CW 2012-11-25 2156 RD9DX         599 17     HF8O          599 15
QSO:  7000 CW 2012-11-25 2231 RD9DX         599 17     UZ2M          599 16
QSO:  7000 CW 2012-11-25 2238 RD9DX         599 17     II2E          599 15
QSO:  7000 CW 2012-11-25 2243 RD9DX         599 17     IR4M          599 15
QSO:  7000 CW 2012-11-25 2252 RD9DX         599 17     9A1A          599 15
END-OF-LOG:
