START-OF-LOG: 3.0
CALLSIGN: XE1/AA0AA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 69048
LOCATION: DX
CREATED-BY: RUMped Ver. 3.2.0  by Tom, DL2RUM
NAME: William Scott Monks
OPERATORS: XE1/AA0AA
OFFTIME: 2012-11-24 0735 2012-11-24 1726
OFFTIME: 2012-11-24 2159 2012-11-25 0136
OFFTIME: 2012-11-25 0615 2012-11-25 1232
SOAPBOX: I am not sure about the category-time thing--If I went over
SOAPBOX: use my log as a check-log.  I did not register for the count
SOAPBOX: ry category because I only decided to enter at the last minu
SOAPBOX: te.  This was my first competition but I really enjoyed it a
SOAPBOX: nd learned a lot!  I will better this score next year!
QSO: 21051 CW 2012-11-24 0022 XE1/AA0AA     599      6 JH4UTP        599     25 0
QSO: 21021 CW 2012-11-24 0029 XE1/AA0AA     599      6 RI1ANF        599     13 0
QSO: 14017 CW 2012-11-24 0057 XE1/AA0AA     599      6 7J1YAJ        599     25 0
QSO: 21028 CW 2012-11-24 0110 XE1/AA0AA     599      6 VK4CT         599     30 0
QSO: 28030 CW 2012-11-24 0117 XE1/AA0AA     599      6 LU6UO         599     13 0
QSO: 21025 CW 2012-11-24 0135 XE1/AA0AA     599      6 VK3TDX        599     30 0
QSO: 14056 CW 2012-11-24 0215 XE1/AA0AA     599      6 KP2MM         599      8 0
QSO: 14027 CW 2012-11-24 0216 XE1/AA0AA     599      6 JS3CTQ        599     25 0
QSO:  7007 CW 2012-11-24 0233 XE1/AA0AA     599      6 K1RX          599      5 0
QSO: 14040 CW 2012-11-24 0235 XE1/AA0AA     599      6 KH7M          599     31 0
QSO: 14055 CW 2012-11-24 0246 XE1/AA0AA     599      6 HK1NA         599      9 0
QSO: 21020 CW 2012-11-24 0254 XE1/AA0AA     599      6 ZM1A          599     32 0
QSO:  7062 CW 2012-11-24 0305 XE1/AA0AA     599      6 NP2N          599      8 0
QSO:  7017 CW 2012-11-24 0323 XE1/AA0AA     599      6 IR4M          599     15 0
QSO: 14019 CW 2012-11-24 0335 XE1/AA0AA     599      6 JA1BPA        599     25 0
QSO: 14044 CW 2012-11-24 0338 XE1/AA0AA     599      6 D4C           599     35 0
QSO: 14009 CW 2012-11-24 0341 XE1/AA0AA     599      6 TF2CW         599     40 0
QSO: 14040 CW 2012-11-24 0350 XE1/AA0AA     599      6 EA8CUU        599     33 0
QSO: 14037 CW 2012-11-24 0351 XE1/AA0AA     599      6 HD2A          599     10 0
QSO:  7019 CW 2012-11-24 0357 XE1/AA0AA     599      6 ZF1A          599      8 0
QSO:  7018 CW 2012-11-24 0424 XE1/AA0AA     599      6 9H3TX         599     15 0
QSO:  7054 CW 2012-11-24 0428 XE1/AA0AA     599      6 DR5N          599     14 0
QSO: 14022 CW 2012-11-24 0429 XE1/AA0AA     599      6 TO7A          599     14 0
QSO: 14025 CW 2012-11-24 0433 XE1/AA0AA     599      6 ZM4T          599     32 0
QSO:  7025 CW 2012-11-24 0533 XE1/AA0AA     599      6 K3LR          599      5 0
QSO:  7029 CW 2012-11-24 0546 XE1/AA0AA     599      6 NN3Q          599      5 0
QSO:  7037 CW 2012-11-24 0558 XE1/AA0AA     599      6 EI7M          599     14 0
QSO:  7012 CW 2012-11-24 0619 XE1/AA0AA     599      6 KB1H          599      5 0
