START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-CW
LOCATION: DX
CALLSIGN: DF4XX
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 471468
OPERATORS:
NAME: Kurt Simon
SOAPBOX: good condx in north DL. see you next year again. 73,Kurt
QSO: 28022 CW 2012-11-24 1333 DF4XX         599 14     9H3TX         599 15     0
QSO: 28000 CW 2012-11-24 1333 DF4XX         599 14     9J3A          599 36     0
QSO: 28091 CW 2012-11-24 1336 DF4XX         599 14     PY1NX         599 11     0
QSO: 28076 CW 2012-11-24 1337 DF4XX         599 14     CR3E          599 33     0
QSO: 28018 CW 2012-11-24 1343 DF4XX         599 14     C4Z           599 20     0
QSO: 28062 CW 2012-11-24 1345 DF4XX         599 14     8P5A          599 08     0
QSO: 28025 CW 2012-11-24 1350 DF4XX         599 14     PY9MM         599 11     0
QSO: 28073 CW 2012-11-24 1353 DF4XX         599 14     6V6V          599 35     0
QSO: 28004 CW 2012-11-24 1354 DF4XX         599 14     LP1H          599 13     0
QSO: 21007 CW 2012-11-24 1404 DF4XX         599 14     TC7X          599 20     0
QSO: 21012 CW 2012-11-24 1406 DF4XX         599 14     W3LPL         599 05     0
QSO: 21025 CW 2012-11-24 1407 DF4XX         599 14     CR3L          599 33     0
QSO: 21027 CW 2012-11-24 1408 DF4XX         599 14     CS2C          599 14     0
QSO: 21035 CW 2012-11-24 1408 DF4XX         599 14     6Y3M          599 08     0
QSO: 21037 CW 2012-11-24 1409 DF4XX         599 14     E7DX          599 15     0
QSO: 21029 CW 2012-11-24 1411 DF4XX         599 14     9A5D          599 15     0
QSO: 14006 CW 2012-11-24 1414 DF4XX         599 14     HA1ZH         599 15     0
QSO: 14031 CW 2012-11-24 1417 DF4XX         599 14     UA1ANA        599 16     0
QSO: 14031 CW 2012-11-24 1417 DF4XX         599 14     UA4WI         599 16     0
QSO: 14031 CW 2012-11-24 1417 DF4XX         599 14     UC7A          599 16     0
QSO: 14031 CW 2012-11-24 1418 DF4XX         599 14     RK4HYT        599 16     0
QSO: 14031 CW 2012-11-24 1418 DF4XX         599 14     RN3ADV        599 16     0
QSO: 14007 CW 2012-11-24 1420 DF4XX         599 14     DM3MM         599 14     0
QSO:  7017 CW 2012-11-24 1425 DF4XX         599 14     DQ0A          599 14     0
QSO:  7016 CW 2012-11-24 1426 DF4XX         599 14     F6KOP         599 14     0
QSO:  7016 CW 2012-11-24 1427 DF4XX         599 14     RL9X          599 17     0
QSO:  7016 CW 2012-11-24 1427 DF4XX         599 14     OM3ZWA        599 15     0
