START-OF-LOG:  3.0
CREATED-BY:    SD by EI5DI
CONTEST:       CQ-WW-CW
CALLSIGN:      EI1DG
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR:  SINGLE-OP
CATEGORY-STATION:  FIXED
CATEGORY-POWER:  LOW
CATEGORY-ASSISTED:  NON-ASSISTED
CATEGORY-TRANSMITTER:  ONE
LOCATION:      14
CLAIMED-SCORE: 29815
NAME:          Paddy McGrath
OPERATORS:     EI1DG
SOAPBOX:       just a few hours to give points away, enjoyed it.
QSO: 7000  CW 2012-11-24 0705 EI1DG         599 14     K2LE          599 05
QSO: 7000  CW 2012-11-24 0708 EI1DG         599 14     VY2TT         599 05
QSO: 7000  CW 2012-11-24 0710 EI1DG         599 14     LZ8E          599 20
QSO: 7000  CW 2012-11-24 0713 EI1DG         599 14     PY9MM         599 11
QSO: 7000  CW 2012-11-24 0720 EI1DG         599 14     K3ZM          599 05
QSO: 7000  CW 2012-11-24 0728 EI1DG         599 14     KB3WD         599 05
QSO: 7000  CW 2012-11-24 0733 EI1DG         599 14     NR4M          599 05
QSO: 7000  CW 2012-11-24 0734 EI1DG         599 14     IH9R          599 33
QSO: 1800  CW 2012-11-24 0744 EI1DG         599 14     GI3OQR        599 14
QSO: 1800  CW 2012-11-24 0757 EI1DG         599 14     GM3YTS        599 14
QSO: 1800  CW 2012-11-24 0758 EI1DG         599 14     EI7M          599 14
QSO: 28000 CW 2012-11-24 1024 EI1DG         599 14     EY8MM         599 17
QSO: 28000 CW 2012-11-24 1146 EI1DG         599 14     5Z4FM         599 37
QSO: 28000 CW 2012-11-24 1158 EI1DG         599 14     HB9CZF        599 14
QSO: 28000 CW 2012-11-24 1203 EI1DG         599 14     E74A          599 15
QSO: 28000 CW 2012-11-24 1226 EI1DG         599 14     VU2BGS        599 22
QSO: 1800  CW 2012-11-24 1454 EI1DG         599 14     LN9Z          599 14
QSO: 21000 CW 2012-11-24 1518 EI1DG         599 14     N7DR          599 04
QSO: 21000 CW 2012-11-24 1522 EI1DG         599 14     N4WW          599 05
