START-OF-LOG: 3.0
CALLSIGN: K2DB
CLUB: Rochester (NY) DX Assn
CONTEST: CQ-WW-CW
CLAIMED-SCORE: 377476
OPERATORS: K2DB
NAME: Paul Mackanos
CREATED-BY: N1MM Logger V12.11.1
LOCATION: NNY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-STATION: FIXED
QSO: 28004 CW 2012-11-24 1350 K2DB          599 5      E73M          599 15
QSO: 28009 CW 2012-11-24 1355 K2DB          599 5      HA5JI         599 15
QSO: 21079 CW 2012-11-24 1358 K2DB          599 5      DL1IAO        599 14
QSO: 21093 CW 2012-11-24 1359 K2DB          599 5      YT5M          599 15
QSO: 21094 CW 2012-11-24 1400 K2DB          599 5      HF3TH         599 15
QSO: 21096 CW 2012-11-24 1401 K2DB          599 5      RL3A          599 16
QSO: 21096 CW 2012-11-24 1401 K2DB          599 5      N0AX          599 04
QSO: 21097 CW 2012-11-24 1403 K2DB          599 5      4X2M          599 20
QSO: 21021 CW 2012-11-24 1407 K2DB          599 5      C5A           599 35
QSO: 28062 CW 2012-11-24 1409 K2DB          599 5      YR1A          599 20
QSO: 14003 CW 2012-11-24 1416 K2DB          599 5      W0AIH         599 04
QSO: 14006 CW 2012-11-24 1417 K2DB          599 5      HA1ZH         599 15
QSO: 14007 CW 2012-11-24 1417 K2DB          599 5      OK6RA         599 15
QSO: 14008 CW 2012-11-24 1418 K2DB          599 5      DM3MM         599 14
QSO: 14009 CW 2012-11-24 1419 K2DB          599 5      YT7B          599 15
QSO: 14014 CW 2012-11-24 1420 K2DB          599 5      RW4W          599 16
QSO: 14079 CW 2012-11-24 1422 K2DB          599 5      UP2L          599 17
QSO: 14027 CW 2012-11-24 1423 K2DB          599 5      TF4X          599 40
QSO: 14020 CW 2012-11-24 1432 K2DB          599 5      J75Z          599 08
QSO: 14030 CW 2012-11-24 1432 K2DB          599 5      HK1NA         599 09
