START-OF-LOG: 3.0
CALLSIGN: PD8B
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 2205
NAME: Berrie Sleijster
LOCATION: DX
OPERATORS:  
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6108.0
SOAPBOX: Nice contest, poor me i can't go on this year.
QSO:  7000 PH 2017-03-25 0105 PD8B          59  0001   RC6U          59  0170
QSO:  7000 PH 2017-03-25 0111 PD8B          59  0002   4M1K          59  0156
QSO:  7000 PH 2017-03-25 0125 PD8B          59  0003   RC7KY         59  0062
QSO:  7000 PH 2017-03-25 0207 PD8B          59  0004   WP3C          59  0401
QSO:  7000 PH 2017-03-25 0306 PD8B          59  0005   LZ5K          59  0183
QSO:  7000 PH 2017-03-25 0414 PD8B          59  0006   J42T          59  0275
QSO: 14000 PH 2017-03-25 1252 PD8B          59  0007   RM2U          59  0503
QSO: 14000 PH 2017-03-25 1255 PD8B          59  0008   UR5IFB        59  0320
QSO: 14000 PH 2017-03-25 1257 PD8B          59  0009   RW3XZ         59  0716
QSO: 14000 PH 2017-03-25 1300 PD8B          59  0010   US0HZ         59  0545
QSO: 14000 PH 2017-03-25 1304 PD8B          59  0011   IT9BDM        59  0602
QSO: 14000 PH 2017-03-25 1306 PD8B          59  0012   UR3GU         59  0504
QSO: 14000 PH 2017-03-25 1308 PD8B          59  0013   YT1A          59  0742
QSO: 14000 PH 2017-03-25 1309 PD8B          59  0014   UZ0U          59  0430
QSO: 14000 PH 2017-03-25 1312 PD8B          59  0015   YO9HP         59  0470
QSO: 14000 PH 2017-03-25 1315 PD8B          59  0016   Z37M          59  0753
QSO: 14000 PH 2017-03-25 1316 PD8B          59  0017   UP0L          59  1387
QSO: 14000 PH 2017-03-25 1318 PD8B          59  0018   II9P          59  0899
QSO: 14000 PH 2017-03-25 1322 PD8B          59  0019   EA9KB         59  0578
QSO: 14000 PH 2017-03-25 1354 PD8B          59  0020   UX3HA         59  0328
QSO: 14000 PH 2017-03-25 1358 PD8B          59  0021   LZ9W          59  0804
QSO: 14000 PH 2017-03-25 1401 PD8B          59  0022   Z60A          59  0188
QSO: 14000 PH 2017-03-25 1405 PD8B          59  0023   CN3A          59  0946
QSO: 14000 PH 2017-03-25 1410 PD8B          59  0024   UT7CR         59  0601
QSO: 14000 PH 2017-03-25 1432 PD8B          59  0025   C4A           59  0817
QSO: 14000 PH 2017-03-25 1439 PD8B          59  0026   R3AP          59  0468
QSO: 14000 PH 2017-03-25 1445 PD8B          59  0027   RT5Z          59  1117
QSO: 14000 PH 2017-03-25 1448 PD8B          59  0028   UW6E          59  0727
QSO: 14000 PH 2017-03-25 1451 PD8B          59  0029   P33W          59  1421
QSO: 14000 PH 2017-03-25 1454 PD8B          59  0030   WC2L          59  0548
QSO: 14000 PH 2017-03-25 1500 PD8B          59  0031   CS2C          59  0782
QSO: 14000 PH 2017-03-25 1509 PD8B          59  0032   UT7E          59  0459
QSO: 14000 PH 2017-03-25 1512 PD8B          59  0033   RJ3AA         59  0138
QSO: 14000 PH 2017-03-25 1514 PD8B          59  0034   UR7EN         59  0687
QSO:  7000 PH 2017-03-25 1539 PD8B          59  0035   TM6M          59  1149
QSO:  7000 PH 2017-03-25 1554 PD8B          59  0036   S53Q          59  0350
END-OF-LOG:
