START-OF-LOG: 3.0
CALLSIGN: 2E0EFS
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: ROOKIE
CLAIMED-SCORE: 21632
NAME: Richard Hubbard
LOCATION: DX
OPERATORS: 2E0EFS
CLUB:
CERTIFICATE: YES
CREATED-BY: RUMlogNG (3.3) by DL2RUM
SOAPBOX: ROOKIE Category
SOAPBOX: First licensed as M6HYF in 03-19-Nov-2016.  2E0EFS license in Feb-2017.
QSO:  3500 PH 2017-03-25 0721 2E0EFS        59  001    TM5A          59  001    0
QSO:  3500 PH 2017-03-25 0725 2E0EFS        59  002    DL0ESA        59  062    0
QSO:  7088 PH 2017-03-25 0745 2E0EFS        59  003    OK7W          59  502    0
QSO:  7123 PH 2017-03-25 0747 2E0EFS        59  004    IO5O          59  865    0
QSO:  7142 PH 2017-03-25 0752 2E0EFS        59  005    CN2AA         59  1225   0
QSO:  7142 PH 2017-03-25 0756 2E0EFS        59  006    OK1NP         59  526    0
QSO:  7142 PH 2017-03-25 0758 2E0EFS        59  007    CR6P          59  290    0
QSO:  7179 PH 2017-03-25 0800 2E0EFS        59  008    II2S          59  398    0
QSO: 14145 PH 2017-03-25 0807 2E0EFS        59  009    RA3DAD        59  169    0
QSO:  7000 PH 2017-03-25 0810 2E0EFS        59  010    DJ1AA         59  208    0
QSO:  7098 PH 2017-03-25 0813 2E0EFS        59  011    DK5A          59  133    0
QSO:  7098 PH 2017-03-25 0816 2E0EFS        59  012    DL4ZA         59  144    0
QSO:  7098 PH 2017-03-25 0902 2E0EFS        59  013    OK4K          59  399    0
QSO:  7088 PH 2017-03-25 0904 2E0EFS        59  014    OK7W          59  645    0
QSO:  7088 PH 2017-03-25 0906 2E0EFS        59  015    9A5Y          59  6      0
QSO:  7163 PH 2017-03-25 0910 2E0EFS        59  016    F1NZC         59  084    0
QSO:  7167 PH 2017-03-25 0912 2E0EFS        59  017    EF3T          59  371    0
QSO:  7170 PH 2017-03-25 0916 2E0EFS        59  018    DP7D          59  309    0
QSO:  7199 PH 2017-03-25 0919 2E0EFS        59  019    SO4R          59  380    0
QSO:  7151 PH 2017-03-25 0925 2E0EFS        59  020    DP6A          59  238    0
QSO:  7151 PH 2017-03-25 0928 2E0EFS        59  021    PC5C          59  023    0
QSO:  7102 PH 2017-03-25 0943 2E0EFS        59  022    PA2LO         59  112    0
QSO:  7158 PH 2017-03-25 1120 2E0EFS        59  023    9A1A          59  802    0
QSO: 14180 PH 2017-03-25 1124 2E0EFS        59  024    YT1A          59  534    0
QSO: 14294 PH 2017-03-25 1207 2E0EFS        59  025    IO9A          59  803    0
QSO: 14314 PH 2017-03-25 1213 2E0EFS        59  026    IT9BDM        59  534    0
QSO:  7187 PH 2017-03-25 1621 2E0EFS        59  027    UP0L          59  1525   0
QSO:  7187 PH 2017-03-25 1626 2E0EFS        59  028    RM3DA         59  901    0
QSO:  7187 PH 2017-03-25 1630 2E0EFS        59  029    SO4R          59  679    0
QSO:  7187 PH 2017-03-25 1631 2E0EFS        59  030    SE0X          59  660    0
QSO:  7187 PH 2017-03-25 1635 2E0EFS        59  031    DL1EK         59  336    0
QSO:  7187 PH 2017-03-25 1639 2E0EFS        59  032    F6GPT         59  077    0
QSO:  7187 PH 2017-03-25 1652 2E0EFS        59  033    UP2L          59  1633   0
QSO:  7187 PH 2017-03-25 1658 2E0EFS        59  034    IK3UNA        59  266    0
QSO:  7187 PH 2017-03-25 1701 2E0EFS        59  035    DB1HEF        59  120    0
QSO:  7187 PH 2017-03-25 1846 2E0EFS        59  036    S56X          59  684    0
QSO:  7187 PH 2017-03-25 1848 2E0EFS        59  037    YT7A          59  929    0
QSO:  7181 PH 2017-03-25 1859 2E0EFS        59  038    EF9R          59  1390   0
QSO:  7154 PH 2017-03-25 1908 2E0EFS        59  039    EW6W          59  1147   0
QSO:  3730 PH 2017-03-25 2035 2E0EFS        59  040    YL6Z          59  497    0
QSO:  3631 PH 2017-03-25 2044 2E0EFS        59  041    EF3T          59  335    0
QSO:  3650 PH 2017-03-25 2051 2E0EFS        59  042    DP6T          59  196    0
QSO:  3650 PH 2017-03-25 2054 2E0EFS        59  043    LM80Q         59  335    0
QSO:  3682 PH 2017-03-25 2058 2E0EFS        59  044    DP7D          59  589    0
QSO:  3682 PH 2017-03-25 2059 2E0EFS        59  045    M1ACB         59  033    0
QSO:  3766 PH 2017-03-25 2107 2E0EFS        59  046    HB9CVQ        59  223    0
QSO:  3788 PH 2017-03-25 2117 2E0EFS        59  047    S56M          59  850    0
QSO:  3760 PH 2017-03-25 2126 2E0EFS        59  048    OK8WW         59  838    0
QSO:  3723 PH 2017-03-25 2134 2E0EFS        59  049    ON4MCL        59  443    0
QSO:  3711 PH 2017-03-25 2139 2E0EFS        59  050    PA9M          59  669    0
QSO:  3682 PH 2017-03-25 2147 2E0EFS        59  051    PH90T         59  562    0
QSO:  7118 PH 2017-03-26 0709 2E0EFS        59  052    EF1W          59  1534   0
QSO:  7187 PH 2017-03-26 0714 2E0EFS        59  053    F6DZU         59  758    0
QSO:  7167 PH 2017-03-26 0722 2E0EFS        59  054    DQ8N          59  2763   0
QSO:  7158 PH 2017-03-26 0725 2E0EFS        59  055    HB9EYP        59  996    0
QSO:  7118 PH 2017-03-26 0740 2E0EFS        59  056    HB9CA         59  913    0
QSO:  7118 PH 2017-03-26 0903 2E0EFS        59  057    DL1NKS        59  1055   0
QSO:  7128 PH 2017-03-26 0914 2E0EFS        59  058    IR4M          59  2871   0
QSO: 14145 PH 2017-03-26 0915 2E0EFS        59  059    YR8D          59  1103   0
QSO: 14186 PH 2017-03-26 0925 2E0EFS        59  060    UZ0U          59  860    0
QSO: 14186 PH 2017-03-26 0928 2E0EFS        59  061    CN3A          59  2246   0
QSO: 14222 PH 2017-03-26 0932 2E0EFS        59  062    J42T          59  1038   0
QSO: 14275 PH 2017-03-26 0936 2E0EFS        59  063    YO3RU         59  800    0
QSO: 14275 PH 2017-03-26 0938 2E0EFS        59  064    E7DX          59  3570   0
QSO: 14246 PH 2017-03-26 0951 2E0EFS        59  065    EW2W          59  654    0
QSO: 14227 PH 2017-03-26 0955 2E0EFS        59  066    IT9VDQ        59  269    0
QSO: 14216 PH 2017-03-26 0956 2E0EFS        59  067    9A1A          59  1284   0
QSO: 14216 PH 2017-03-26 0959 2E0EFS        59  068    LZ9W          59  1606   0
QSO: 14186 PH 2017-03-26 1007 2E0EFS        59  069    HG1S          59  2665   0
QSO: 14201 PH 2017-03-26 1018 2E0EFS        59  070    OF0Z          59  553    0
QSO: 14201 PH 2017-03-26 1020 2E0EFS        59  071    SN7D          59  1118   0
QSO: 14254 PH 2017-03-26 1026 2E0EFS        59  072    CS2C          59  1961   0
QSO: 14254 PH 2017-03-26 1028 2E0EFS        59  073    IZ6FXP        59  663    0
QSO: 14270 PH 2017-03-26 1031 2E0EFS        59  074    ES2MC         59  506    0
QSO: 14298 PH 2017-03-26 1039 2E0EFS        59  075    IR8P          59  2329   0
QSO: 14298 PH 2017-03-26 1043 2E0EFS        59  076    ES9C          59  2434   0
QSO: 14298 PH 2017-03-26 1049 2E0EFS        59  077    RW3XZ         59  1317   0
QSO: 14147 PH 2017-03-26 1057 2E0EFS        59  078    YO9HP         59  997    0
QSO: 14147 PH 2017-03-26 1058 2E0EFS        59  079    YT4B          59  213    0
QSO: 14110 PH 2017-03-26 1103 2E0EFS        59  080    UA9MA         59  2133   0
QSO:  7132 PH 2017-03-26 1118 2E0EFS        59  081    PA1FD         59  228    0
QSO:  7132 PH 2017-03-26 1123 2E0EFS        59  082    OT5A          59  1719   0
QSO:  7132 PH 2017-03-26 1129 2E0EFS        59  083    DM500RT       59  130    0
QSO: 14000 PH 2017-03-26 1133 2E0EFS        59  084    YT8A          59  1300   0
QSO:  7132 PH 2017-03-26 1141 2E0EFS        59  085    PI4AMF        59  535    0
QSO:  7132 PH 2017-03-26 1147 2E0EFS        59  086    IR6T          59  2212   0
QSO: 14000 PH 2017-03-26 1208 2E0EFS        59  087    S53EO         59  1541   0
QSO: 14000 PH 2017-03-26 1210 2E0EFS        59  088    YL2CI         59  535    0
QSO: 14000 PH 2017-03-26 1214 2E0EFS        59  089    YT5C          59  262    0
QSO: 14000 PH 2017-03-26 1217 2E0EFS        59  090    9A6NA         59  1072   0
QSO: 14000 PH 2017-03-26 1239 2E0EFS        59  091    S5100LIONS    59  716    0
QSO: 14000 PH 2017-03-26 1244 2E0EFS        59  092    HG5A          59  2141   0
QSO: 14000 PH 2017-03-26 1246 2E0EFS        59  093    US5D          59  830    0
QSO: 14000 PH 2017-03-26 1255 2E0EFS        59  094    IF9A          59  1125   0
QSO:  7132 PH 2017-03-26 1307 2E0EFS        59  095    DJ5KW         59  089    0
QSO:  7132 PH 2017-03-26 1320 2E0EFS        59  096    S51F          59  1176   0
QSO: 14000 PH 2017-03-26 1340 2E0EFS        59  097    R3LA          59  228    0
QSO: 14000 PH 2017-03-26 1345 2E0EFS        59  098    YP7P          59  1610   0
QSO: 14000 PH 2017-03-26 1347 2E0EFS        59  099    ED7R          59  1230   0
QSO: 14000 PH 2017-03-26 1349 2E0EFS        59  100    YP0C          59  1719   0
QSO: 14000 PH 2017-03-26 1353 2E0EFS        59  101    EW5Z          59  2028   0
QSO: 14000 PH 2017-03-26 1356 2E0EFS        59  102    II9P          59  2076   0
QSO: 14000 PH 2017-03-26 1406 2E0EFS        59  103    DH8BQA        59  569    0
QSO: 14000 PH 2017-03-26 1410 2E0EFS        59  104    YL2SM         59  933    0
QSO: 14000 PH 2017-03-26 1413 2E0EFS        59  105    RU1A          59  3704   0
QSO: 14000 PH 2017-03-26 1415 2E0EFS        59  106    IT9STX        59  1177   0
QSO:  3500 PH 2017-03-26 1835 2E0EFS        59  107    S54ZZ         59  1122   0
QSO:  3500 PH 2017-03-26 1838 2E0EFS        59  108    G8X           59  366    0
QSO:  3500 PH 2017-03-26 1841 2E0EFS        59  109    OK1XQ         59  118    0
QSO:  3500 PH 2017-03-26 1844 2E0EFS        59  110    S57Z          59  1043   0
QSO:  3500 PH 2017-03-26 1855 2E0EFS        59  111    DJ0IF         59  149    0
QSO:  3500 PH 2017-03-26 1903 2E0EFS        59  112    SQ1OD         59  381    0
QSO:  3500 PH 2017-03-26 1906 2E0EFS        59  113    F4HGF         59  252    0
QSO:  3500 PH 2017-03-26 1913 2E0EFS        59  114    DR7B          59  185    0
QSO:  3500 PH 2017-03-26 1916 2E0EFS        59  115    F5OHM         59  1002   0
QSO:  3500 PH 2017-03-26 1921 2E0EFS        59  116    S51YI         59  888    0
QSO:  3500 PH 2017-03-26 1927 2E0EFS        59  117    SN1D          59  1987   0
QSO:  3500 PH 2017-03-26 1933 2E0EFS        59  118    DA0AA         59  192    0
QSO:  3500 PH 2017-03-26 1936 2E0EFS        59  119    ON6NL         59  900    0
QSO:  3500 PH 2017-03-26 1943 2E0EFS        59  120    M3D           59  450    0
END-OF-LOG:
