START-OF-LOG: 3.0
CALLSIGN: SP5BYC
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: J.Salach
LOCATION: DX
OPERATORS: SP5BYC
CLUB:
CERTIFICATE: NO
CREATED-BY: DQR_Log v. 3.2.5 - (c) SP7DQR
SOAPBOX: QSO nr's 036-040 are repeated due to comp. failure.sri.
QSO:  7000 PH 2017-03-25 1103 SP5BYC        59          001 LZ9W            59          680
QSO:  7000 PH 2017-03-25 1105 SP5BYC        59          002 9A1A            59          784
QSO:  7000 PH 2017-03-25 1107 SP5BYC        59          003 OF9W            59          204
QSO:  7000 PH 2017-03-25 1108 SP5BYC        59          004 OF5Z            59          632
QSO:  7000 PH 2017-03-25 1110 SP5BYC        59          005 IR6T            59          948
QSO:  7000 PH 2017-03-25 1112 SP5BYC        59          006 OF6MW           59          371
QSO:  7000 PH 2017-03-25 1113 SP5BYC        59          007 DM4X            59          426
QSO: 14000 PH 2017-03-25 1119 SP5BYC        59          008 EI7M            59         1225
QSO: 14000 PH 2017-03-25 1129 SP5BYC        59          009 I8QLS           59          758
QSO: 14000 PH 2017-03-25 1129 SP5BYC        59          010 J42T            59          448
QSO: 14000 PH 2017-03-25 1130 SP5BYC        59          011 IT9IMJ          59          033
QSO: 14000 PH 2017-03-25 1134 SP5BYC        59          012 C4A             59          684
QSO: 14000 PH 2017-03-25 1141 SP5BYC        59          013 NN5J            59          635
QSO: 14000 PH 2017-03-25 1142 SP5BYC        59          014 4L6AM           59          663
QSO: 14000 PH 2017-03-25 1239 SP5BYC        59          015 EA2OK           59          135
QSO: 14000 PH 2017-03-25 1246 SP5BYC        59          016 RJ4I            59          118
QSO: 14000 PH 2017-03-25 1247 SP5BYC        59          017 KQ2M            59          956
QSO: 14000 PH 2017-03-25 1251 SP5BYC        59          018 AC1U            59          988
QSO: 14000 PH 2017-03-25 1254 SP5BYC        59          019 WW2DX           59         1167
QSO: 14000 PH 2017-03-25 1256 SP5BYC        59          020 RA7A            59          664
QSO: 14000 PH 2017-03-25 1258 SP5BYC        59          021 F6DZU           59          304
QSO: 14000 PH 2017-03-25 1303 SP5BYC        59          022 VB3E            59         1047
QSO: 14000 PH 2017-03-25 1306 SP5BYC        59          023 IT9BDM          59          605
