START-OF-LOG: 3.0
CALLSIGN: VK6WE
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 960
NAME: Daniel Bedo
LOCATION: DX
OPERATORS: VK6WE
CLUB:
CERTIFICATE: NO
CREATED-BY: VK3AVV VK Contest Log (Ver 3.14)
SOAPBOX: Short log because unable to stay for whole time.
QSO:  7000 PH 2017-03-25 0921 VK6WE         59  0001   K0DU          59  0810
QSO:  7000 PH 2017-03-25 0923 VK6WE         59  0002   VK4NM         59  0599
QSO: 14000 PH 2017-03-25 0926 VK6WE         59  0003   JO3JIS        59  0611
QSO: 14000 PH 2017-03-25 0935 VK6WE         59  0004   JR1MEG/P      59  0037
QSO: 14000 PH 2017-03-25 0938 VK6WE         59  0005   HS0ZCW        59  0096
QSO: 14000 PH 2017-03-25 0940 VK6WE         59  0006   YB8RW         59  0387
QSO: 14000 PH 2017-03-25 0944 VK6WE         59  0007   YB1TIA        59  0147
QSO: 14000 PH 2017-03-25 0947 VK6WE         59  0008   YB0JS         59  0149
QSO: 14000 PH 2017-03-25 0953 VK6WE         59  0009   DU1LC         59  0062
QSO: 14000 PH 2017-03-25 1000 VK6WE         59  0010   YB7GRN        59  0139
QSO: 21000 PH 2017-03-25 1004 VK6WE         59  0011   JO3DDD        59  0149
QSO: 21000 PH 2017-03-25 1008 VK6WE         59  0012   VR2ZQZ        59  0564
QSO: 21000 PH 2017-03-25 1020 VK6WE         59  0013   YB6QS         59  0298
QSO:  7000 PH 2017-03-25 1031 VK6WE         59  0014   VK2AV         59  0486
QSO:  7000 PH 2017-03-25 1404 VK6WE         59  0015   YC3DY         59  0241
QSO:  7000 PH 2017-03-25 1429 VK6WE         59  0016   UD4FD         59  0197
QSO:  7000 PH 2017-03-25 1449 VK6WE         59  0017   VK4QH         59  0445
QSO: 14000 PH 2017-03-26 0010 VK6WE         59  0018   YE1K          59  0926
QSO: 14000 PH 2017-03-26 0018 VK6WE         59  0019   BG5TOX        59  0323
QSO: 14000 PH 2017-03-26 0019 VK6WE         59  0020   YB8FIJ        59  0119
QSO: 21000 PH 2017-03-26 0029 VK6WE         59  0021   JH4UTP        59  0491
QSO: 21000 PH 2017-03-26 0032 VK6WE         59  0022   YB3ZBN        59  0422
QSO: 21000 PH 2017-03-26 0033 VK6WE         59  0023   YB9GV         59  0341
END-OF-LOG:
