START-OF-LOG: 3.0
CALLSIGN: DG7FEQ
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 7176
NAME: Christian Frock
LOCATION: DX
OPERATORS: DG7FEQ
CLUB:
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6143.0
SOAPBOX: FT991 with 8.5m end-fed wire in 6m height only
QSO: 14000 PH 2017-03-25 1722 DG7FEQ        59  0001   IF9A          59  0729
QSO: 14000 PH 2017-03-25 1729 DG7FEQ        59  0002   NR3X          59  1141
QSO: 14000 PH 2017-03-25 1732 DG7FEQ        59  0003   IB9P          59  0475
QSO: 14000 PH 2017-03-25 1734 DG7FEQ        59  0004   J42T          59  0882
QSO: 14000 PH 2017-03-25 1735 DG7FEQ        59  0005   II9P          59  1319
QSO: 14000 PH 2017-03-25 1737 DG7FEQ        59  0006   W3LL          59  0859
QSO: 14000 PH 2017-03-25 1741 DG7FEQ        59  0007   ED8W          59  0711
QSO: 14000 PH 2017-03-25 1731 DG7FEQ        59  0008   NY6DX         59  0367
QSO: 14000 PH 2017-03-25 1744 DG7FEQ        59  0009   NN5J          59  0914
QSO: 14000 PH 2017-03-25 1745 DG7FEQ        59  0010   KQ2M          59  1454
QSO: 14000 PH 2017-03-25 1746 DG7FEQ        59  0011   YM2KY         59  0534
QSO: 14000 PH 2017-03-26 0655 DG7FEQ        59  0012   UA9MA         59  1822
QSO: 14000 PH 2017-03-26 0658 DG7FEQ        59  0013   RX7K          59  0183
QSO: 14000 PH 2017-03-26 0659 DG7FEQ        59  0014   RW3XZ         59  1035
QSO: 14000 PH 2017-03-26 0702 DG7FEQ        59  0015   SX1S          59  0897
QSO: 14000 PH 2017-03-26 0703 DG7FEQ        59  0016   RU3K          59  0341
QSO: 14000 PH 2017-03-26 0704 DG7FEQ        59  0017   RT5Z          59  1893
QSO: 14000 PH 2017-03-26 0705 DG7FEQ        59  0018   RO3G          59  0721
QSO: 14000 PH 2017-03-26 0706 DG7FEQ        59  0019   RM3DX         59  1197
QSO: 14000 PH 2017-03-26 0707 DG7FEQ        59  0020   UP2L          59  2350
QSO: 14000 PH 2017-03-26 0708 DG7FEQ        59  0021   3V8SS         59  1216
QSO: 14000 PH 2017-03-26 0709 DG7FEQ        59  0022   RM2U          59  0915
QSO: 14000 PH 2017-03-26 0712 DG7FEQ        59  0023   UP0L          59  2230
QSO: 14000 PH 2017-03-26 0813 DG7FEQ        59  0024   EB8AH         59  5013
QSO: 14000 PH 2017-03-26 0816 DG7FEQ        59  0025   R3AP          59  0936
QSO: 14000 PH 2017-03-26 1526 DG7FEQ        59  0026   VC2W          59  2231
QSO: 14000 PH 2017-03-26 1533 DG7FEQ        59  0027   VC6V          59  2187
QSO: 14000 PH 2017-03-26 1535 DG7FEQ        59  0028   WX3B          59  1252
QSO:  7000 PH 2017-03-26 1952 DG7FEQ        59  0029   UP2L          59  3190
QSO:  7000 PH 2017-03-26 1953 DG7FEQ        59  0030   UW5U          59  0868
QSO:  7000 PH 2017-03-26 1954 DG7FEQ        59  0031   LA3BPA        59  0643
QSO:  7000 PH 2017-03-26 1956 DG7FEQ        59  0032   IB9A          59  1065
QSO:  7000 PH 2017-03-26 1957 DG7FEQ        59  0033   OF1TM         59  0456
QSO:  7000 PH 2017-03-26 1958 DG7FEQ        59  0034   ES6RW         59  0815
QSO:  7000 PH 2017-03-26 2000 DG7FEQ        59  0035   J42T          59  1679
QSO:  7000 PH 2017-03-26 2004 DG7FEQ        59  0036   CN3A          59  2120
QSO:  7000 PH 2017-03-26 2006 DG7FEQ        59  0037   Z37M          59  2112
QSO:  7000 PH 2017-03-26 2007 DG7FEQ        59  0038   P33W          59  1995
QSO:  7000 PH 2017-03-26 2008 DG7FEQ        59  0039   LY8O          59  0615
QSO:  7000 PH 2017-03-26 2009 DG7FEQ        59  0040   RU1A          59  4344
QSO:  7000 PH 2017-03-26 2009 DG7FEQ        59  0041   OH6K          59  1095
QSO:  7000 PH 2017-03-26 2012 DG7FEQ        59  0042   YO9RIJ        59  0151
QSO:  7000 PH 2017-03-26 2012 DG7FEQ        59  0043   EW5Z          59  2505
QSO:  7000 PH 2017-03-26 2015 DG7FEQ        59  0044   J43TR         59  2311
QSO:  7000 PH 2017-03-26 2016 DG7FEQ        59  0045   UP0L          59  6013
QSO:  7000 PH 2017-03-26 2019 DG7FEQ        59  0046   YL3FT         59  1101
QSO:  7000 PH 2017-03-26 2020 DG7FEQ        59  0047   TM6M          59  0210
QSO:  7000 PH 2017-03-26 2021 DG7FEQ        59  0048   EW6W          59  2034
QSO:  7000 PH 2017-03-26 2032 DG7FEQ        59  0049   Z3B           59  1003
QSO:  7000 PH 2017-03-26 2032 DG7FEQ        59  0050   LZ9W          59  1967
QSO:  7000 PH 2017-03-26 2033 DG7FEQ        59  0051   YP7P          59  1836
QSO:  7000 PH 2017-03-26 2035 DG7FEQ        59  0052   7Z1CQ         59  1573
QSO:  7000 PH 2017-03-26 2046 DG7FEQ        59  0053   IZ8EYP        59  0418
QSO:  7000 PH 2017-03-26 2040 DG7FEQ        59  0054   OF9W          59  0846
QSO:  7000 PH 2017-03-26 2042 DG7FEQ        59  0055   ES9C          59  3391
QSO:  7000 PH 2017-03-26 2046 DG7FEQ        59  0056   EF9R          59  2937
END-OF-LOG:
