START-OF-LOG: 3.0
CALLSIGN: IK2MXM
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 5000
NAME: GIGI SAPO
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: QARTest 7.3.1
SOAPBOX: multiband vertical antenna - dipole 40-80m. - pwr 50w.-
QSO: 14221 PH 2017-03-25 0906 IK2MXM        59     001 CN3A          59     401
QSO: 14236 PH 2017-03-25 0908 IK2MXM        59     002 EW5Z          59     741
QSO: 14258 PH 2017-03-25 0914 IK2MXM        59     003 RW3XZ         59     307
QSO: 14271 PH 2017-03-25 0916 IK2MXM        59     004 OF6MW         59     175
QSO: 14293 PH 2017-03-25 0924 IK2MXM        59     005 UP0L          59     957
QSO: 14297 PH 2017-03-25 0938 IK2MXM        59     006 UW6E          59     475
QSO: 14311 PH 2017-03-25 0940 IK2MXM        59     007 CS2C          59     389
QSO: 14333 PH 2017-03-25 0949 IK2MXM        59     008 EV1R          59     495
QSO: 14339 PH 2017-03-25 0953 IK2MXM        59     009 RK4FF         59     484
QSO: 14347 PH 2017-03-25 0956 IK2MXM        59     010 SK2T          59     298
QSO:  7131 PH 2017-03-25 1000 IK2MXM        59     011 TM5A          59     400
QSO:  7155 PH 2017-03-25 1003 IK2MXM        59     012 S56X          59     511
QSO:  7195 PH 2017-03-25 1010 IK2MXM        59     013 LY27A         59     646
QSO:  7170 PH 2017-03-25 1014 IK2MXM        59     014 LZ9W          59     650
QSO:  7160 PH 2017-03-25 1017 IK2MXM        59     015 OE3A          59     227
QSO:  7142 PH 2017-03-25 1048 IK2MXM        59     016 S5100LIONS    59     408
QSO:  7120 PH 2017-03-25 1052 IK2MXM        59     017 OT5A          59     636
QSO: 14257 PH 2017-03-25 1105 IK2MXM        59     018 OG73X         59     507
QSO: 14266 PH 2017-03-25 1113 IK2MXM        59     019 EW7M          59    1205
QSO:  3500 PH 2017-03-25 2153 IK2MXM        59     020 DP7D          59     657
QSO:  3500 PH 2017-03-25 2156 IK2MXM        59     021 S570C         59    1545
QSO:  3500 PH 2017-03-25 2159 IK2MXM        59     022 HB9JOE        59     071
QSO:  7000 PH 2017-03-25 2216 IK2MXM        59     023 EF9R          59    1775
QSO:  7000 PH 2017-03-25 2227 IK2MXM        59     024 UV7V          59     627
QSO:  7000 PH 2017-03-25 2237 IK2MXM        59     025 CN3A          59    1300
QSO:  7000 PH 2017-03-25 2244 IK2MXM        59     026 UW1M          59    2197
QSO:  7000 PH 2017-03-25 2249 IK2MXM        59     027 OF9W          59     546
QSO:  7000 PH 2017-03-25 2257 IK2MXM        59     028 RO3G          59     531
QSO:  7000 PH 2017-03-26 0645 IK2MXM        59     029 HG5A          59    1877
QSO:  7000 PH 2017-03-26 0646 IK2MXM        59     030 YT7A          59    1581
QSO:  7000 PH 2017-03-26 0650 IK2MXM        59     031 PA10A         59    1082
QSO:  7000 PH 2017-03-26 0652 IK2MXM        59     032 OL8W          59     255
QSO: 14219 PH 2017-03-26 0659 IK2MXM        59     033 RT5Z          59    1887
QSO: 14226 PH 2017-03-26 0701 IK2MXM        59     034 RO3G          59     713
QSO: 14198 PH 2017-03-26 0706 IK2MXM        59     035 UP2L          59    2353
QSO: 14171 PH 2017-03-26 0708 IK2MXM        59     036 UR5IFB        59     784
QSO: 14132 PH 2017-03-26 0711 IK2MXM        59     037 TC2MK         59    1328
QSO: 14300 PH 2017-03-26 0715 IK2MXM        59     038 RC2A          59     319
QSO: 14338 PH 2017-03-26 0718 IK2MXM        59     039 RU5TT         59     612
QSO: 14298 PH 2017-03-26 0720 IK2MXM        59     040 OF5Z          59     870
QSO: 14143 PH 2017-03-26 0732 IK2MXM        59     041 UT3EV         59     462
QSO: 14135 PH 2017-03-26 0733 IK2MXM        59     042 UA9MA         59    1876
QSO:  7076 PH 2017-03-26 0738 IK2MXM        59     043 HA3NU         59     960
QSO:  7200 PH 2017-03-26 0744 IK2MXM        59     044 DP7D          59    1200
QSO: 14297 PH 2017-03-26 0751 IK2MXM        59     045 UY7MM         59    1281
QSO: 14301 PH 2017-03-26 0906 IK2MXM        59     046 UT7CR         59    1182
QSO: 14243 PH 2017-03-26 0916 IK2MXM        59     047 UW1M          59    2571
QSO: 14213 PH 2017-03-26 0920 IK2MXM        59     048 R3AP          59    1011
QSO: 14188 PH 2017-03-26 0926 IK2MXM        59     049 LA1K          59     491
QSO:  7102 PH 2017-03-26 0936 IK2MXM        59     050 HG3M          59     502
QSO: 14213 PH 2017-03-26 0945 IK2MXM        59     051 LY2K          59     254
QSO: 14248 PH 2017-03-26 2044 IK2MXM        59     052 NQ2F          59    2210
QSO: 14328 PH 2017-03-26 2049 IK2MXM        59     053 WR2G          59     732
QSO:  3749 PH 2017-03-26 2057 IK2MXM        59     054 9A1A          59    1341
END-OF-LOG:
