START-OF-LOG: 3.0
CALLSIGN: YB1IM
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: IMAN ARIF
LOCATION: DX
CLUB: YB LAND DX CLUB
CERTIFICATE: NO
CREATED-BY: CQWPX Adif2Cabrillo Converter (LZ2FQ)
SOAPBOX: very nice dx contest in teh world many stations joined, 73
QSO:  7181 PH 2017-03-25 0049  YB1IM         59  001    YG7SPN        59  015    0
QSO:  7168 PH 2017-03-25 0050  YB1IM         59  002    YC3DY         59  016    0
QSO:  7160 PH 2017-03-25 0052  YB1IM         59  003    YD4GBN        59  013    0
QSO:  7186 PH 2017-03-25 0053  YB1IM         59  004    YB4NY         59  007    0
QSO:  7155 PH 2017-03-25 0058  YB1IM         59  005    YC2NDX        59  017    0
QSO:  7168 PH 2017-03-25 0111  YB1IM         59  006    YD9DE         59  008    0
QSO:  7156 PH 2017-03-25 0125  YB1IM         59  007    YB7SKM        59  017    0
QSO: 21240 PH 2017-03-25 0150  YB1IM         59  008    DU9WTZ        59  054    0
QSO: 21278 PH 2017-03-25 0154  YB1IM         59  009    DU7P          59  180    0
QSO: 21344 PH 2017-03-25 0156  YB1IM         59  010    YB1C          59  063    0
QSO: 21300 PH 2017-03-25 0220  YB1IM         59  011    VK3TZ         59  025    0
QSO: 14269 PH 2017-03-25 0505  YB1IM         59  012    YB3IZK        59  031    0
QSO: 21190 PH 2017-03-25 0731  YB1IM         59  013    9M6MI         59  231    0
QSO: 21182 PH 2017-03-25 0733  YB1IM         59  014    JH4UTP        59  150    0
QSO: 21249 PH 2017-03-25 0735  YB1IM         59  015    YB8UTI        59  115    0
QSO: 21250 PH 2017-03-25 0737  YB1IM         59  016    B4T           59  182    0
QSO: 21256 PH 2017-03-25 0740  YB1IM         59  017    7J2YAB        59  022    0
QSO: 21268 PH 2017-03-25 0744  YB1IM         59  018    YB8RW         59  276    0
QSO: 21214 PH 2017-03-25 0748  YB1IM         59  019    JA2KSI        59  012    0
QSO: 21190 PH 2017-03-25 0755  YB1IM         59  020    VK5PAS        59  067    0
QSO: 21267 PH 2017-03-25 0800  YB1IM         59  021    3W1T          59  236    0
QSO: 21270 PH 2017-03-25 0801  YB1IM         59  022    BG5BWZ        59  102    0
QSO: 21258 PH 2017-03-25 0808  YB1IM         59  023    9M6YBG        59  036    0
QSO: 21224 PH 2017-03-25 0811  YB1IM         59  024    4E34A         59  282    0
QSO: 21309 PH 2017-03-25 0820  YB1IM         59  025    BY5HB         59  259    0
QSO: 21214 PH 2017-03-25 0829  YB1IM         59  026    DY1T          59  564    0
QSO: 21261 PH 2017-03-25 0835  YB1IM         59  027    BV0WPX        59  437    0
QSO: 21240 PH 2017-03-25 0848  YB1IM         59  028    JA1DCK        59  174    0
QSO: 21262 PH 2017-03-25 0851  YB1IM         59  029    BG5TOX        59  172    0
QSO: 21209 PH 2017-03-25 0855  YB1IM         59  030    BU2AU         59  003    0
QSO: 21292 PH 2017-03-25 0900  YB1IM         59  031    DX1DBT        59  094    0
QSO: 21303 PH 2017-03-25 0902  YB1IM         59  032    B7M           59  484    0
QSO: 21288 PH 2017-03-25 0907  YB1IM         59  033    BP0P          59  223    0
QSO: 21214 PH 2017-03-25 0930  YB1IM         59  034    B7P           59  422    0
QSO: 21202 PH 2017-03-25 0936  YB1IM         59  035    YC9VMJ        59  013    0
QSO: 21249 PH 2017-03-25 0937  YB1IM         59  036    HS3LSE        59  170    0
QSO: 21268 PH 2017-03-25 0939  YB1IM         59  037    B1Z           59  173    0
QSO: 21284 PH 2017-03-25 1002  YB1IM         59  038    E2A           59  222    0
QSO: 21267 PH 2017-03-25 1026  YB1IM         59  039    BY6QS         59  310    0
QSO:  7176 PH 2017-03-25 1305  YB1IM         59  040    YD2YIS        59  046    0
QSO:  7140 PH 2017-03-25 1307  YB1IM         59  041    YC0OSX        59  063    0
QSO:  7128 PH 2017-03-25 1309  YB1IM         59  042    YC7JYD        59  137    0
QSO:  7170 PH 2017-03-25 1319  YB1IM         59  043    YB1LUE        59  047    0
QSO:  7195 PH 2017-03-25 1323  YB1IM         59  044    YE1K          59  564    0
QSO:  7174 PH 2017-03-25 1332  YB1IM         59  045    YD1EMV        59  049    0
QSO:  7200 PH 2017-03-25 1337  YB1IM         59  046    YB1AR         59  527    0
QSO:  7185 PH 2017-03-25 1352  YB1IM         59  047    9M2M          59  097    0
QSO:  7178 PH 2017-03-25 1356  YB1IM         59  048    YB3VO         59  238    0
QSO:  7170 PH 2017-03-25 1504  YB1IM         59  049    YB7GRN        59  258    0
QSO:  7183 PH 2017-03-25 1543  YB1IM         59  050    YC7TUU        59  217    0
QSO:  7157 PH 2017-03-25 1546  YB1IM         59  051    YG3DAE        59  058    0
QSO:  7160 PH 2017-03-25 1548  YB1IM         59  052    YC6JRT/0      59  056    0
QSO:  7160 PH 2017-03-25 1554  YB1IM         59  053    YC4FIK        59  077    0
QSO:  7188 PH 2017-03-25 1557  YB1IM         59  054    YD2FTC        59  026    0
QSO:  7153 PH 2017-03-25 1642  YB1IM         59  055    YB3ZBN        59  358    0
QSO:  7150 PH 2017-03-25 1645  YB1IM         59  056    YB3ZP         59  421    0
QSO: 14233 PH 2017-03-26 0245  YB1IM         59  057    9M2R          59  248    0
QSO: 21310 PH 2017-03-26 0256  YB1IM         59  058    HS5NMF        59  723    0
QSO: 21218 PH 2017-03-26 0233  YB1IM         59  059    VK6NC         59  069    0
QSO: 21218 PH 2017-03-26 0340  YB1IM         59  060    WH6R          59  1041   0
QSO: 21276 PH 2017-03-26 0558  YB1IM         59  061    DX1EVM        59  032    0
QSO: 21291 PH 2017-03-26 0610  YB1IM         59  062    DV7DRZ        59  010    0
QSO: 21305 PH 2017-03-26 0615  YB1IM         59  063    JA1MSS        59  018    0
QSO: 21233 PH 2017-03-26 0629  YB1IM         59  064    V633KS        59  427    0
QSO: 21390 PH 2017-03-26 0647  YB1IM         59  065    BW0PX         59  1158   0
QSO: 21380 PH 2017-03-26 0657  YB1IM         59  066    DU1AV         59  622    0
QSO: 21288 PH 2017-03-26 0730  YB1IM         59  067    JH4UTP        59  642    0
QSO: 21390 PH 2017-03-26 0734  YB1IM         59  068    YC8AO         59  141    0
QSO: 21170 PH 2017-03-26 0739  YB1IM         59  069    XV1X          59  336    0
QSO: 21228 PH 2017-03-26 0734  YB1IM         59  070    YB9GV         59  406    0
QSO: 21234 PH 2017-03-26 0739  YB1IM         59  071    BI4TKK        59  489    0
QSO: 21255 PH 2017-03-26 0756  YB1IM         59  072    JH7RTQ        59  113    0
QSO: 21269 PH 2017-03-26 0831  YB1IM         59  073    JH4UYB        59  1482   0
QSO: 21252 PH 2017-03-26 0940  YB1IM         59  074    YB6DE         59  151    0
QSO: 21368 PH 2017-03-26 0945  YB1IM         59  075    JO3DDD        59  207    0
END-OF-LOG:
