START-OF-LOG: 3.0
LOCATION: SK
CALLSIGN: VA5AA
CLUB:
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: SSB
CATEGORY-POWER: HIGH
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: UNLIMITED
CLAIMED-SCORE: 2620822
OPERATORS: VA5AA VA6NJK VE5FF VE5FN VE5OLB VE5SPR VE5WI VE6BBP VE6CPU VE6VAC
NAME: Bill Till
CREATED-BY: N1MM Logger+ 1.0.6108.0
QSO: 21280 PH 2017-03-25 0000 VA5AA         59  0001   PJ2HQ         59  0001
QSO: 21290 PH 2017-03-25 0000 VA5AA         59  0002   PW2D          59  0002
QSO: 21295 PH 2017-03-25 0001 VA5AA         59  0003   PV2P          59  0003
QSO: 14251 PH 2017-03-25 0002 VA5AA         59  0001   NJ2F          59  0003
QSO: 21307 PH 2017-03-25 0003 VA5AA         59  0004   PP2CC         59  0003
QSO: 14251 PH 2017-03-25 0004 VA5AA         59  0002   AK1W          59  0005
QSO: 21340 PH 2017-03-25 0004 VA5AA         59  0005   HC0E          59  0003
QSO: 14245 PH 2017-03-25 0004 VA5AA         59  0003   K6SCA         59  0016
QSO: 21272 PH 2017-03-25 0005 VA5AA         59  0006   ZX5J          59  0024
QSO: 21252 PH 2017-03-25 0006 VA5AA         59  0007   HK3TK         59  0007
QSO: 21235 PH 2017-03-25 0006 VA5AA         59  0008   ZV2C          59  0016
QSO: 14260 PH 2017-03-25 0007 VA5AA         59  0004   NV9L          59  0024
QSO: 14153 PH 2017-03-25 0009 VA5AA         59  0005   K3ZU          59  0022
QSO: 21230 PH 2017-03-25 0010 VA5AA         59  0009   ZY2B          59  0021
QSO: 14161 PH 2017-03-25 0011 VA5AA         59  0006   V31VP         59  0047
QSO: 21200 PH 2017-03-25 0014 VA5AA         59  0010   VK2XZ         59  0015
QSO: 14167 PH 2017-03-25 0017 VA5AA         59  0007   HK3C          59  0042
QSO: 14175 PH 2017-03-25 0017 VA5AA         59  0008   K9CT          59  0172
QSO: 21284 PH 2017-03-25 0019 VA5AA         59  0011   VK4NM         59  0037
QSO: 14188 PH 2017-03-25 0019 VA5AA         59  0009   PJ2DX         59  0078
QSO: 21336 PH 2017-03-25 0020 VA5AA         59  0012   VK4KW         59  0051
QSO: 14227 PH 2017-03-25 0022 VA5AA         59  0010   CE3CT         59  0053
QSO: 14230 PH 2017-03-25 0022 VA5AA         59  0011   PX2B          59  0043
QSO: 14238 PH 2017-03-25 0024 VA5AA         59  0012   WP4X          59  0107
QSO: 21303 PH 2017-03-25 0037 VA5AA         59  0014   WN1GIV        59  0033
QSO: 14267 PH 2017-03-25 0042 VA5AA         59  0013   CE1DY         59  0059
QSO: 14288 PH 2017-03-25 0043 VA5AA         59  0014   KW4AM         59  0065
QSO: 14290 PH 2017-03-25 0044 VA5AA         59  0015   WW4LL         59  0111
QSO: 14306 PH 2017-03-25 0045 VA5AA         59  0016   NY4I          59  0043
QSO: 14312 PH 2017-03-25 0046 VA5AA         59  0017   K3WW          59  0049
QSO: 14315 PH 2017-03-25 0047 VA5AA         59  0018   KU4V          59  0032
QSO: 14318 PH 2017-03-25 0047 VA5AA         59  0019   AI5IN         59  0128
QSO: 14323 PH 2017-03-25 0048 VA5AA         59  0020   N6NF          59  0001
QSO: 14329 PH 2017-03-25 0048 VA5AA         59  0021   NT5V          59  0118
QSO: 14343 PH 2017-03-25 0049 VA5AA         59  0022   ZZ2T          59  0090
QSO: 14346 PH 2017-03-25 0050 VA5AA         59  0023   W5WZ          59  0065
QSO: 21340 PH 2017-03-25 0050 VA5AA         59  0015   KF5VDX        59  0014
QSO: 14152 PH 2017-03-25 0052 VA5AA         59  0024   HC0E          59  0100
QSO: 14154 PH 2017-03-25 0053 VA5AA         59  0025   NY6DX         59  0019
QSO: 14170 PH 2017-03-25 0056 VA5AA         59  0026   VE6DDD        59  0125
QSO: 14172 PH 2017-03-25 0056 VA5AA         59  0027   WA7NB         59  0100
QSO: 14199 PH 2017-03-25 0106 VA5AA         59  0028   KP4CPC        59  0099
QSO: 14204 PH 2017-03-25 0107 VA5AA         59  0029   CO2II         59  0129
QSO: 14209 PH 2017-03-25 0108 VA5AA         59  0030   LU4KC         59  0111
QSO: 14215 PH 2017-03-25 0110 VA5AA         59  0031   HI8JSG        59  0171
QSO: 14233 PH 2017-03-25 0111 VA5AA         59  0032   W7E           59  0045
QSO: 14239 PH 2017-03-25 0113 VA5AA         59  0033   WA8WZG        59  0033
QSO: 14254 PH 2017-03-25 0116 VA5AA         59  0034   ZV5O          59  0170
QSO: 14262 PH 2017-03-25 0117 VA5AA         59  0035   WP2Z          59  0154
QSO: 14268 PH 2017-03-25 0118 VA5AA         59  0036   KN5TX         59  0135
QSO: 14275 PH 2017-03-25 0119 VA5AA         59  0037   ZX5J          59  0255
QSO:  7211 PH 2017-03-25 0119 VA5AA         59  0001   VE7PT         59  0018
QSO: 14289 PH 2017-03-25 0119 VA5AA         59  0038   WZ4F          59  0035
QSO: 14298 PH 2017-03-25 0122 VA5AA         59  0039   LO7H          59  0065
QSO: 14326 PH 2017-03-25 0123 VA5AA         59  0040   AA5B          59  0142
QSO: 14333 PH 2017-03-25 0124 VA5AA         59  0041   KJ4UGO        59  0024
QSO:  7213 PH 2017-03-25 0124 VA5AA         59  0002   WS9V          59  0173
QSO: 14320 PH 2017-03-25 0126 VA5AA         59  0042   8P5A          59  0358
QSO: 14281 PH 2017-03-25 0127 VA5AA         59  0043   PW2F          59  0095
QSO: 14241 PH 2017-03-25 0128 VA5AA         59  0044   NE5LL         59  0060
QSO: 14221 PH 2017-03-25 0130 VA5AA         59  0045   RM0F          59  0192
QSO: 14211 PH 2017-03-25 0131 VA5AA         59  0046   WC6H          59  0169
QSO:  7240 PH 2017-03-25 0135 VA5AA         59  0003   W8MJ          59  0144
QSO:  7250 PH 2017-03-25 0136 VA5AA         59  0004   WC2L          59  0149
QSO: 14194 PH 2017-03-25 0136 VA5AA         59  0047   TG9ANF        59  0185
QSO: 14184 PH 2017-03-25 0138 VA5AA         59  0048   KL7XU         59  0080
QSO:  7210 PH 2017-03-25 0139 VA5AA         59  0005   N5KB          59  0046
QSO: 14165 PH 2017-03-25 0142 VA5AA         59  0049   AH7/K8PGJ     59  0213
QSO: 14163 PH 2017-03-25 0142 VA5AA         59  0050   ND4K          59  0217
QSO:  7133 PH 2017-03-25 0143 VA5AA         59  0006   NR5M          59  0250
QSO: 14181 PH 2017-03-25 0147 VA5AA         59  0051   ZY2A          59  0093
QSO:  7136 PH 2017-03-25 0147 VA5AA         59  0007   NC7M          59  0073
QSO: 14219 PH 2017-03-25 0149 VA5AA         59  0052   YN2KW         59  0216
QSO:  7140 PH 2017-03-25 0151 VA5AA         59  0008   NR3X          59  0166
QSO:  7144 PH 2017-03-25 0153 VA5AA         59  0009   N3QE          59  0247
QSO:  7148 PH 2017-03-25 0154 VA5AA         59  0010   KT5J          59  0441
QSO: 14258 PH 2017-03-25 0157 VA5AA         59  0053   KL7RA         59  0230
QSO:  7160 PH 2017-03-25 0157 VA5AA         59  0011   VE3CX         59  0295
QSO:  7162 PH 2017-03-25 0159 VA5AA         59  0012   NY3B          59  0089
QSO: 14288 PH 2017-03-25 0159 VA5AA         59  0054   WD5F          59  0028
QSO:  7162 PH 2017-03-25 0200 VA5AA         59  0013   WZ8DX         59  0004
QSO: 14321 PH 2017-03-25 0201 VA5AA         59  0055   K7JQ          59  0089
QSO:  7162 PH 2017-03-25 0201 VA5AA         59  0014   W6AER         59  0044
QSO: 14327 PH 2017-03-25 0202 VA5AA         59  0056   KL4SD         59  0028
QSO: 14331 PH 2017-03-25 0203 VA5AA         59  0057   JH4UYB        59  0133
QSO:  7174 PH 2017-03-25 0205 VA5AA         59  0015   K1LZ          59  0196
QSO:  7182 PH 2017-03-25 0207 VA5AA         59  0016   K6SCA         59  0237
QSO:  7191 PH 2017-03-25 0209 VA5AA         59  0017   PJ2/VA7AM     59  0158
QSO: 14311 PH 2017-03-25 0209 VA5AA         59  0058   JR2GRX        59  0096
QSO: 14282 PH 2017-03-25 0210 VA5AA         59  0059   AD4TR         59  0214
QSO: 14263 PH 2017-03-25 0210 VA5AA         59  0060   JE6RPM        59  0130
QSO:  7215 PH 2017-03-25 0211 VA5AA         59  0018   N7RO          59  0138
QSO: 14251 PH 2017-03-25 0211 VA5AA         59  0061   VC6V          59  0226
QSO:  7226 PH 2017-03-25 0212 VA5AA         59  0019   N0OR          59  0084
QSO:  7235 PH 2017-03-25 0213 VA5AA         59  0020   WW4LL         59  0310
QSO: 14190 PH 2017-03-25 0214 VA5AA         59  0062   WH6R          59  0307
QSO: 14187 PH 2017-03-25 0216 VA5AA         59  0063   K7ZS          59  0086
QSO:  7243 PH 2017-03-25 0216 VA5AA         59  0021   NG3R          59  0031
QSO:  7245 PH 2017-03-25 0217 VA5AA         59  0022   W3EP          59  0084
QSO: 14152 PH 2017-03-25 0218 VA5AA         59  0064   JA7NVF        59  0125
