START-OF-LOG: 3.0
LOCATION: DX
CONTEST: CQ-WPX-SSB
CALLSIGN: 8N360KSG
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: ONE
CATEGORY-MODE: SSB
CATEGORY-POWER: LOW
CATEGORY-STATION: PORTABLE
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CLAIMED-SCORE: 3255
OPERATORS: JI3OYM,JO3XYG
CLUB: Amateur radio club of Kasuga Taisha shrine
CREATED-BY: CTESTWIN by JI1AQY
NAME: Tetsuya Nakazawa
SOAPBOX: This callsign is station in commemoration of piligrimage to Kasuga Taisha
SOAPBOX: shrine. Some stations don't understand this callsign is japanese station,
QSO: 28000 PH 2017-03-25 0257 8N360KSG      59  001    DU1JM         59  041    0
QSO: 21000 PH 2017-03-25 0300 8N360KSG      59  002    E2A           59  107    0
QSO: 21000 PH 2017-03-25 0304 8N360KSG      59  003    HS5NMF        59  217    0
QSO: 21000 PH 2017-03-25 0312 8N360KSG      59  004    DY1T          59  349    0
QSO: 21000 PH 2017-03-25 0315 8N360KSG      59  005    DU7P          59  277    0
QSO: 21000 PH 2017-03-25 0319 8N360KSG      59  006    4E1ADW        59  041    0
QSO: 21000 PH 2017-03-25 0322 8N360KSG      59  007    4D1R          59  331    0
QSO: 28000 PH 2017-03-25 0328 8N360KSG      59  008    JA3AOP        59  119    0
QSO: 28000 PH 2017-03-25 0331 8N360KSG      59  009    DU3T          59  113    0
QSO: 21000 PH 2017-03-25 0346 8N360KSG      59  010    VR2CC         59  253    0
QSO: 21000 PH 2017-03-25 0349 8N360KSG      59  011    BI8FZA        59  125    0
QSO: 21000 PH 2017-03-25 0358 8N360KSG      59  012    VK4KW         59  012    0
QSO: 21000 PH 2017-03-25 0403 8N360KSG      59  013    A31MM         59  013    0
QSO: 21000 PH 2017-03-25 0409 8N360KSG      59  014    KH2JU         59  088    0
QSO:  7000 PH 2017-03-25 0519 8N360KSG      59  016    JM2VYA        59  002    0
QSO:  7000 PH 2017-03-25 0523 8N360KSG      59  017    JO3QVT        59  031    0
QSO:  7000 PH 2017-03-25 0531 8N360KSG      59  018    JI1EQQ        59  001    0
QSO: 21000 PH 2017-03-25 0538 8N360KSG      59  019    VR2ZQZ        59  333    0
QSO: 21000 PH 2017-03-25 0557 8N360KSG      59  020    9M6MI         59  176    0
QSO: 21000 PH 2017-03-25 0601 8N360KSG      59  021    YC2GV         59  107    0
QSO: 21000 PH 2017-03-25 0603 8N360KSG      59  022    YC8OBM        59  030    0
QSO: 21000 PH 2017-03-25 0609 8N360KSG      59  023    YB2DX         59  297    0
QSO: 28000 PH 2017-03-25 0615 8N360KSG      59  024    DU3LA         59  201    0
QSO: 28000 PH 2017-03-25 0616 8N360KSG      59  025    JO3DDD        59  102    0
QSO: 21000 PH 2017-03-25 0627 8N360KSG      59  026    UA6LCN        59  023    0
QSO: 21000 PH 2017-03-25 0651 8N360KSG      59  027    XX9O          59  160    0
QSO: 21000 PH 2017-03-25 0654 8N360KSG      59  028    UA0SE         59  115    0
QSO: 28000 PH 2017-03-25 0657 8N360KSG      59  029    DY1T          59  448    0
QSO: 28000 PH 2017-03-25 0702 8N360KSG      59  030    JF3LOP        59  003    0
QSO: 28000 PH 2017-03-25 0705 8N360KSG      59  031    JO3QVT        59  037    0
QSO: 21000 PH 2017-03-25 0719 8N360KSG      59  032    3W1T          59  195    0
QSO: 21000 PH 2017-03-25 0733 8N360KSG      59  033    UA4S          59  009    0
QSO: 21000 PH 2017-03-25 0739 8N360KSG      59  034    RC6U          59  518    0
QSO: 21000 PH 2017-03-25 0741 8N360KSG      59  035    UW1M          59  686    0
QSO: 28000 PH 2017-03-26 0137 8N360KSG      59  036    VK4KW         59  193    0
QSO: 28000 PH 2017-03-26 0141 8N360KSG      59  037    VK4QH         59  657    0
QSO: 21000 PH 2017-03-26 0209 8N360KSG      59  038    BV0WPX        59  742    0
QSO: 21000 PH 2017-03-26 0212 8N360KSG      59  039    WH6R          59  930    0
QSO:  7000 PH 2017-03-26 0219 8N360KSG      59  040    JQ1NNT        59  001    0
QSO: 21000 PH 2017-03-26 0236 8N360KSG      59  041    BW0PX         59  1004   0
QSO: 28000 PH 2017-03-26 0253 8N360KSG      59  042    4D1R          59  1107   0
QSO: 21000 PH 2017-03-26 0259 8N360KSG      59  043    BY7SH         59  291    0
QSO: 21000 PH 2017-03-26 0302 8N360KSG      59  044    B7M           59  1177   0
QSO: 21000 PH 2017-03-26 0305 8N360KSG      59  045    HS5SRH        59  757    0
QSO: 21000 PH 2017-03-26 0307 8N360KSG      59  046    VK4NM         59  1390   0
END-OF-LOG:
