START-OF-LOG: 3.0
CALLSIGN: VU2GRM
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 28196
NAME: RAM MOHAN G
LOCATION: DX
OPERATORS: VU2GRM
CLUB: VU CONTEST GROUP
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.6108.0
SOAPBOX: Thanks to the organisers. Chance to sharpen our swords !!
QSO:  7000 PH 2017-03-25 0004 VU2GRM        59  0001   VU2YVK        59  0001
QSO: 14264 PH 2017-03-25 0103 VU2GRM        59  0002   HS5NMF        59  0072
QSO:  7125 PH 2017-03-25 0110 VU2GRM        59  0003   YC5EGN        59  0014
QSO:  7000 PH 2017-03-25 0147 VU2GRM        59  0004   4M1K          59  0213
QSO:  7192 PH 2017-03-25 0153 VU2GRM        59  0005   VU2ZMK        59  0009
QSO:  7175 PH 2017-03-25 0231 VU2GRM        59  0006   VU2SMS        59  0011
QSO:  7150 PH 2017-03-25 0257 VU2GRM        59  0007   VU2XSK        59  0001
QSO:  7000 PH 2017-03-25 0305 VU2GRM        59  0008   VU2XMN        59  0001
QSO:  7000 PH 2017-03-25 0308 VU2GRM        59  0009   VU2NEP        59  0001
QSO: 21234 PH 2017-03-25 0438 VU2GRM        59  0010   A73A          59  0009
QSO: 21307 PH 2017-03-25 0439 VU2GRM        59  0011   A92GR         59  0017
QSO: 14235 PH 2017-03-25 0457 VU2GRM        59  0012   HZ1BW         59  0241
QSO: 14225 PH 2017-03-25 0503 VU2GRM        59  0013   HS0AC         59  0095
QSO: 14239 PH 2017-03-25 0513 VU2GRM        59  0014   II9P          59  0068
QSO: 14167 PH 2017-03-25 0516 VU2GRM        59  0015   7Z1SJ         59  0330
QSO: 21217 PH 2017-03-25 0545 VU2GRM        59  0016   IZ8EYP        59  0003
QSO: 21202 PH 2017-03-25 0549 VU2GRM        59  0017   IZ8FCR        59  0005
QSO: 21259 PH 2017-03-25 0550 VU2GRM        59  0018   C4W           59  0350
QSO: 21248 PH 2017-03-25 0551 VU2GRM        59  0019   P33W          59  0002
QSO: 21265 PH 2017-03-25 0616 VU2GRM        59  0020   B7P           59  0285
QSO: 21240 PH 2017-03-25 0628 VU2GRM        59  0021   A61QQ         59  0218
QSO: 21310 PH 2017-03-25 0638 VU2GRM        59  0022   YB3VO         59  0065
QSO: 21291 PH 2017-03-25 0741 VU2GRM        59  0023   YB1AR         59  0188
QSO: 21312 PH 2017-03-25 0806 VU2GRM        59  0024   5Z4/DL2RMC    59  0039
QSO: 21196 PH 2017-03-25 0809 VU2GRM        59  0025   YB0NDT        59  0254
QSO: 21292 PH 2017-03-25 0904 VU2GRM        59  0026   YU1ARC        59  0012
QSO: 21215 PH 2017-03-25 0907 VU2GRM        59  0027   YB5BOY        59  0122
QSO: 21267 PH 2017-03-25 0915 VU2GRM        59  0028   3W1T          59  0317
QSO: 21205 PH 2017-03-25 0920 VU2GRM        59  0029   VK2XZ         59  0498
QSO: 14149 PH 2017-03-25 0928 VU2GRM        59  0030   YB0MWM        59  0175
QSO: 14223 PH 2017-03-25 0937 VU2GRM        59  0031   YB1AR         59  0334
QSO: 14206 PH 2017-03-25 0942 VU2GRM        59  0032   YB0JS         59  0142
QSO: 21235 PH 2017-03-25 0950 VU2GRM        59  0033   E29AJ         59  0025
QSO: 21273 PH 2017-03-25 0952 VU2GRM        59  0034   7Z1SJ         59  0765
QSO: 21290 PH 2017-03-25 0954 VU2GRM        59  0035   SN5X          59  0047
QSO: 21333 PH 2017-03-25 0957 VU2GRM        59  0036   HG7T          59  0067
QSO: 21268 PH 2017-03-25 1005 VU2GRM        59  0037   II9P          59  0085
QSO: 21260 PH 2017-03-25 1005 VU2GRM        59  0038   9M2M          59  0306
QSO: 21237 PH 2017-03-25 1015 VU2GRM        59  0039   YB6DE         59  0047
QSO: 21223 PH 2017-03-25 1025 VU2GRM        59  0040   YB5OUB        59  0042
QSO: 21226 PH 2017-03-25 1026 VU2GRM        59  0041   VU3NXI        59  0014
QSO: 21288 PH 2017-03-25 1032 VU2GRM        59  0042   HS5NMF        59  0521
QSO: 21326 PH 2017-03-25 1039 VU2GRM        59  0043   E28AD         59  0148
QSO: 21239 PH 2017-03-25 1041 VU2GRM        59  0044   VU2YVK        59  0165
QSO: 21190 PH 2017-03-25 1055 VU2GRM        59  0045   YB6LBH        59  0050
QSO: 14255 PH 2017-03-25 1112 VU2GRM        59  0046   A61FK         59  0438
QSO: 14220 PH 2017-03-25 1122 VU2GRM        59  0047   YB7GRN        59  0170
QSO: 14238 PH 2017-03-25 1125 VU2GRM        59  0048   YB3ZBN        59  0318
QSO: 14270 PH 2017-03-25 1126 VU2GRM        59  0049   YE1ZAL        59  0025
QSO: 14202 PH 2017-03-25 1139 VU2GRM        59  0050   YB8NT         59  0065
QSO: 14000 PH 2017-03-25 1333 VU2GRM        59  0051   VU2YVK        59  0263
QSO: 14000 PH 2017-03-25 1334 VU2GRM        59  0052   9M2M          59  0162
QSO: 14000 PH 2017-03-25 1339 VU2GRM        59  0053   YB5BOY        59  0207
QSO: 14000 PH 2017-03-25 1351 VU2GRM        59  0054   VU2DED        59  0086
QSO: 14216 PH 2017-03-25 1400 VU2GRM        59  0055   UP2L          59  1541
QSO: 14113 PH 2017-03-25 1408 VU2GRM        59  0056   RA7A          59  0765
QSO: 14121 PH 2017-03-25 1410 VU2GRM        59  0057   RN3TT         59  0646
QSO: 21215 PH 2017-03-25 1416 VU2GRM        59  0058   HS5SRH        59  0452
QSO:  7000 PH 2017-03-25 1422 VU2GRM        59  0059   9V1YC         59  0150
QSO: 14297 PH 2017-03-25 1501 VU2GRM        59  0060   YB1C          59  0487
QSO: 14198 PH 2017-03-25 1527 VU2GRM        59  0061   YB0NDT        59  0657
QSO: 14217 PH 2017-03-25 1531 VU2GRM        59  0062   9M2MCB        59  0122
QSO: 14163 PH 2017-03-25 1536 VU2GRM        59  0063   9V1YC         59  0219
QSO: 14153 PH 2017-03-25 1539 VU2GRM        59  0064   HS3ANP        59  0206
QSO: 14286 PH 2017-03-25 1547 VU2GRM        59  0065   ES9C          59  1314
QSO: 14283 PH 2017-03-25 1554 VU2GRM        59  0066   DQ8N          59  1449
QSO: 14293 PH 2017-03-25 1558 VU2GRM        59  0067   DQ5M          59  0891
QSO: 14277 PH 2017-03-25 1600 VU2GRM        59  0068   EA5DFV        59  0593
QSO: 14211 PH 2017-03-25 1607 VU2GRM        59  0069   V51WW         59  0005
QSO: 14212 PH 2017-03-25 1608 VU2GRM        59  0070   YE1K          59  0710
QSO: 14213 PH 2017-03-25 1628 VU2GRM        59  0071   YB8RW         59  0594
QSO: 14320 PH 2017-03-25 1637 VU2GRM        59  0072   E2A           59  0385
QSO: 14308 PH 2017-03-25 1638 VU2GRM        59  0073   9M8K          59  0244
QSO: 14238 PH 2017-03-25 1639 VU2GRM        59  0074   DX7CA         59  0707
QSO: 14203 PH 2017-03-25 1641 VU2GRM        59  0075   E21YDP        59  0126
QSO: 14250 PH 2017-03-25 1644 VU2GRM        59  0076   9M2R          59  0181
QSO:  7177 PH 2017-03-25 1711 VU2GRM        59  0077   YE1K          59  0744
QSO:  7170 PH 2017-03-25 1714 VU2GRM        59  0078   YB6UAK        59  0110
QSO:  7000 PH 2017-03-25 1738 VU2GRM        59  0079   RT4F          59  0728
QSO:  7000 PH 2017-03-25 1739 VU2GRM        59  0080   VU3NXI        59  0047
QSO:  7000 PH 2017-03-25 1740 VU2GRM        59  0081   VU2XS         59  0025
QSO:  7000 PH 2017-03-25 1740 VU2GRM        59  0082   YC6BDD        59  0214
QSO:  7000 PH 2017-03-25 1743 VU2GRM        59  0083   YC3DY         59  0329
QSO:  7000 PH 2017-03-25 1746 VU2GRM        59  0084   YC7JYD        59  0221
QSO:  7000 PH 2017-03-25 1752 VU2GRM        59  0085   YB3VO         59  0353
QSO:  3710 PH 2017-03-26 0055 VU2GRM        59  0086   II9P          59  0694
QSO:  3500 PH 2017-03-26 0057 VU2GRM        59  0087   P33W          59  0586
QSO:  3500 PH 2017-03-26 0101 VU2GRM        59  0088   9K2HN         59  2870
QSO:  3500 PH 2017-03-26 0112 VU2GRM        59  0089   4X7R          59  1979
QSO:  3600 PH 2017-03-26 0150 VU2GRM        59  0090   VU2MJE        59  0001
QSO:  3500 PH 2017-03-26 0155 VU2GRM        59  0091   VU2DIC        59  0001
QSO:  7000 PH 2017-03-26 0212 VU2GRM        59  0092   VU3KET        59  0002
QSO:  7000 PH 2017-03-26 0226 VU2GRM        59  0093   VU2DED        59  0120
QSO:  7000 PH 2017-03-26 0245 VU2GRM        59  0094   VU2IVV        59  0099
QSO:  7000 PH 2017-03-26 0246 VU2GRM        59  0095   VU2LOC        59  0085
QSO: 14000 PH 2017-03-26 0411 VU2GRM        59  0096   A73A          59  0574
QSO: 14000 PH 2017-03-26 0414 VU2GRM        59  0097   4X6TT         59  1505
QSO: 14270 PH 2017-03-26 0458 VU2GRM        59  0098   A44A          59  1227
QSO: 21273 PH 2017-03-26 0513 VU2GRM        59  0099   C4A           59  0320
QSO: 14165 PH 2017-03-26 0516 VU2GRM        59  0100   LY5Y          59  0418
QSO: 14201 PH 2017-03-26 0521 VU2GRM        59  0101   A61QQ         59  0805
QSO: 21255 PH 2017-03-26 0731 VU2GRM        59  0102   9K2HN         59  3266
QSO: 21311 PH 2017-03-26 0735 VU2GRM        59  0103   YB1C          59  0776
QSO: 21225 PH 2017-03-26 0738 VU2GRM        59  0104   YC1PRF        59  0451
QSO: 21361 PH 2017-03-26 0819 VU2GRM        59  0105   ZS6TVB        59  0150
QSO: 21260 PH 2017-03-26 0828 VU2GRM        59  0106   RA7A          59  1095
QSO: 21259 PH 2017-03-26 0832 VU2GRM        59  0107   9M2R          59  0295
QSO: 21228 PH 2017-03-26 0839 VU2GRM        59  0108   YB9GV         59  0420
QSO: 21286 PH 2017-03-26 0908 VU2GRM        59  0109   YB2DX         59  0804
QSO: 21185 PH 2017-03-26 0923 VU2GRM        59  0110   HS3PIK        59  0241
QSO: 21274 PH 2017-03-26 0926 VU2GRM        59  0111   YL6W          59  0869
