START-OF-LOG: 3.0
CALLSIGN: MI0DWE
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: LOW
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 111252
NAME: David Eames
LOCATION: DX
OPERATORS: MI0DWE
CLUB:
CERTIFICATE: YES
CREATED-BY: SD by EI5DI
SOAPBOX: Have got to grips with this latest version of SD.
SOAPBOX: Used to struggle with it due to infrequent use but
SOAPBOX: going great now. Thanks to EI5DI
QSO: 7181  PH 2017-03-25 0009 MI0DWE        59   001   I8QLS         59   009
QSO: 7172  PH 2017-03-25 0011 MI0DWE        59   002   CQ3W          59   011
QSO: 7159  PH 2017-03-25 0017 MI0DWE        59   003   IO9A          59   016
QSO: 7156  PH 2017-03-25 0019 MI0DWE        59   004   YT7A          59   034
QSO: 7146  PH 2017-03-25 0022 MI0DWE        59   005   LZ5K          59   037
QSO: 7142  PH 2017-03-25 0023 MI0DWE        59   006   K1LZ          59   031
QSO: 7133  PH 2017-03-25 0027 MI0DWE        59   007   YT1AD         59   019
QSO: 7125  PH 2017-03-25 0033 MI0DWE        59   008   EA7EU         59   021
QSO: 7108  PH 2017-03-25 0040 MI0DWE        59   009   VB3E          59   115
QSO: 7101  PH 2017-03-25 0042 MI0DWE        59   010   J42T          59   067
QSO: 7096  PH 2017-03-25 0045 MI0DWE        59   011   4M1K          59   100
QSO: 7090  PH 2017-03-25 0046 MI0DWE        59   012   HG7T          59   049
QSO: 7086  PH 2017-03-25 0048 MI0DWE        59   013   UW5U          59   044
QSO: 7176  PH 2017-03-25 0059 MI0DWE        59   014   EB8AH         59   240
QSO: 7171  PH 2017-03-25 0103 MI0DWE        59   015   CT3EE         59   096
QSO: 7159  PH 2017-03-25 0107 MI0DWE        59   016   Z37M          59   039
QSO: 7153  PH 2017-03-25 0111 MI0DWE        59   017   KR1DX         59   097
QSO: 7137  PH 2017-03-25 0117 MI0DWE        59   018   AC1U          59   184
QSO: 7134  PH 2017-03-25 0119 MI0DWE        59   019   CN3A          59   204
QSO: 7189  PH 2017-03-25 0128 MI0DWE        59   020   LZ9W          59   110
QSO: 7152  PH 2017-03-25 0135 MI0DWE        59   021   IR8P          59   144
QSO: 7120  PH 2017-03-25 0140 MI0DWE        59   022   YT8T          59   026
QSO: 7107  PH 2017-03-25 0144 MI0DWE        59   023   OM3CGN        59   071
QSO: 7084  PH 2017-03-25 0146 MI0DWE        59   024   RC6U          59   238
QSO: 7186  PH 2017-03-25 0148 MI0DWE        59   025   OK1NP         59   119
QSO: 3669  PH 2017-03-25 0151 MI0DWE        59   026   DP7D          59   105
QSO: 3735  PH 2017-03-25 0201 MI0DWE        59   027   OT5A          59   116
QSO: 3747  PH 2017-03-25 0205 MI0DWE        59   028   HG7T          59   195
QSO: 14336 PH 2017-03-25 0934 MI0DWE        59   029   IR1Y          59   309
QSO: 14332 PH 2017-03-25 0936 MI0DWE        59   030   EV1R          59   477
QSO: 14324 PH 2017-03-25 0937 MI0DWE        59   031   E7DX          59  1083
QSO: 14317 PH 2017-03-25 0940 MI0DWE        59   032   S54K          59   475
QSO: 14297 PH 2017-03-25 0949 MI0DWE        59   033   HG5A          59   586
QSO: 14292 PH 2017-03-25 0950 MI0DWE        59   034   UP0L          59  1010
QSO: 14288 PH 2017-03-25 0952 MI0DWE        59   035   II0I          59   152
QSO: 14277 PH 2017-03-25 0957 MI0DWE        59   036   CT3EE         59   834
QSO: 14263 PH 2017-03-25 1001 MI0DWE        59   037   RT5K          59   460
QSO: 14257 PH 2017-03-25 1003 MI0DWE        59   038   ES9C          59   919
QSO: 14258 PH 2017-03-25 1005 MI0DWE        59   039   RW3XZ         59   405
QSO: 14251 PH 2017-03-25 1007 MI0DWE        59   040   IR4M          59   976
QSO: 14239 PH 2017-03-25 1010 MI0DWE        59   041   9A1A          59   331
QSO: 14234 PH 2017-03-25 1012 MI0DWE        59   042   OZ7RJ         59   031
QSO: 14226 PH 2017-03-25 1014 MI0DWE        59   043   LY2ZO         59   087
QSO: 14216 PH 2017-03-25 1019 MI0DWE        59   044   UP2L          59  1119
QSO: 14212 PH 2017-03-25 1020 MI0DWE        59   045   IO5O          59  1137
QSO: 14208 PH 2017-03-25 1024 MI0DWE        59   046   RU1A          59  1138
QSO: 14203 PH 2017-03-25 1027 MI0DWE        59   047   RW9USA        59  1036
QSO: 14197 PH 2017-03-25 1028 MI0DWE        59   048   IK0PHY        59   336
QSO: 14196 PH 2017-03-25 1030 MI0DWE        59   049   4L6AM         59   556
QSO: 14191 PH 2017-03-25 1031 MI0DWE        59   050   OL4A          59   361
QSO: 14190 PH 2017-03-25 1034 MI0DWE        59   051   YL2BJ         59   207
QSO: 14182 PH 2017-03-25 1039 MI0DWE        59   052   HG1S          59  1083
QSO: 14170 PH 2017-03-25 1043 MI0DWE        59   053   S57AW         59   531
QSO: 14165 PH 2017-03-25 1048 MI0DWE        59   054   KQ2M          59   658
QSO: 14149 PH 2017-03-25 1056 MI0DWE        59   055   S53EO         59   332
QSO: 14144 PH 2017-03-25 1057 MI0DWE        59   056   OF1F          59   449
QSO: 14141 PH 2017-03-25 1059 MI0DWE        59   057   RC9O          59  1131
QSO: 14137 PH 2017-03-25 1100 MI0DWE        59   058   C4W           59   786
QSO: 14135 PH 2017-03-25 1102 MI0DWE        59   059   UZ0U          59   302
QSO: 14127 PH 2017-03-25 1104 MI0DWE        59   060   YT8A          59   374
QSO: 14119 PH 2017-03-25 1106 MI0DWE        59   061   LY7Z          59   637
QSO: 14118 PH 2017-03-25 1108 MI0DWE        59   062   UA9MA         59   955
QSO: 14117 PH 2017-03-25 1110 MI0DWE        59   063   Z33C          59   510
QSO: 14113 PH 2017-03-25 1112 MI0DWE        59   064   UA1AQA        59   105
QSO: 14107 PH 2017-03-25 1112 MI0DWE        59   065   LY4L          59   217
QSO: 14105 PH 2017-03-25 1114 MI0DWE        59   066   US5D          59   235
QSO: 14344 PH 2017-03-25 1117 MI0DWE        59   067   EF3T          59   448
QSO: 14334 PH 2017-03-25 1123 MI0DWE        59   068   EE5T          59   292
QSO: 14322 PH 2017-03-25 1125 MI0DWE        59   069   EA9KB         59   499
QSO: 14319 PH 2017-03-25 1127 MI0DWE        59   070   4X6TT         59   779
QSO: 14311 PH 2017-03-25 1129 MI0DWE        59   071   OE2S          59   563
QSO: 14299 PH 2017-03-25 1134 MI0DWE        59   072   S50K          59   525
QSO: 14292 PH 2017-03-25 1137 MI0DWE        59   073   SQ8N          59   256
QSO: 14290 PH 2017-03-25 1139 MI0DWE        59   074   IK7CMY        59   021
QSO: 14285 PH 2017-03-25 1141 MI0DWE        59   075   EA5DFV        59   419
QSO: 14283 PH 2017-03-25 1142 MI0DWE        59   076   DQ8N          59   984
QSO: 14280 PH 2017-03-25 1144 MI0DWE        59   077   S57DX         59   476
QSO: 14268 PH 2017-03-25 1145 MI0DWE        59   078   CR6P          59   450
QSO: 14261 PH 2017-03-25 1147 MI0DWE        59   079   YL6W          59   255
QSO: 14259 PH 2017-03-25 1150 MI0DWE        59   080   RW2F          59   346
QSO: 14257 PH 2017-03-25 1153 MI0DWE        59   081   OG73X         59   578
QSO: 14255 PH 2017-03-25 1155 MI0DWE        59   082   OF5Z          59   440
QSO: 14248 PH 2017-03-25 1157 MI0DWE        59   083   S52OT         59   269
QSO: 14228 PH 2017-03-25 1200 MI0DWE        59   084   9A6NA         59   397
QSO: 14223 PH 2017-03-25 1202 MI0DWE        59   085   HF0H          59   135
QSO: 14222 PH 2017-03-25 1307 MI0DWE        59   086   SQ6H          59   316
QSO: 14204 PH 2017-03-25 1311 MI0DWE        59   087   EW2W          59   064
QSO: 14176 PH 2017-03-25 1335 MI0DWE        59   088   4X7R          59  1313
QSO: 14171 PH 2017-03-25 1337 MI0DWE        59   089   S5100LIONS    59   232
QSO: 14150 PH 2017-03-25 1341 MI0DWE        59   090   WW2DX         59  1141
QSO: 14143 PH 2017-03-25 1347 MI0DWE        59   091   SD2G          59   087
QSO: 14135 PH 2017-03-25 1349 MI0DWE        59   092   9A2WB         59   184
QSO: 14132 PH 2017-03-25 1351 MI0DWE        59   093   R9CZA         59   060
QSO: 14345 PH 2017-03-25 1400 MI0DWE        59   094   UZ3A          59   842
QSO: 14318 PH 2017-03-25 1404 MI0DWE        59   095   OG6N          59   500
QSO: 14309 PH 2017-03-25 1405 MI0DWE        59   096   EW5Z          59   956
QSO: 14306 PH 2017-03-25 1407 MI0DWE        59   097   OF9W          59   353
QSO: 14304 PH 2017-03-25 1409 MI0DWE        59   098   CN2AA         59  2387
QSO: 14301 PH 2017-03-25 1410 MI0DWE        59   099   S55T          59   854
QSO: 14285 PH 2017-03-25 1413 MI0DWE        59   100   HA3DX         59   548
QSO: 14278 PH 2017-03-25 1414 MI0DWE        59   101   IR6T          59   454
QSO: 14266 PH 2017-03-25 1417 MI0DWE        59   102   S570C         59   737
QSO: 14257 PH 2017-03-25 1420 MI0DWE        59   103   OM7M          59   963
QSO: 14243 PH 2017-03-25 1426 MI0DWE        59   104   OF6MW         59   500
QSO: 14232 PH 2017-03-25 1429 MI0DWE        59   105   S54I          59   420
QSO: 14228 PH 2017-03-25 1432 MI0DWE        59   106   S58Y          59   837
QSO: 14227 PH 2017-03-25 1433 MI0DWE        59   107   LZ9W          59   839
QSO: 14221 PH 2017-03-25 1439 MI0DWE        59   108   OM8A          59   347
QSO: 14211 PH 2017-03-25 1441 MI0DWE        59   109   R3AP          59   472
QSO: 14207 PH 2017-03-25 1444 MI0DWE        59   110   EW6W          59   890
QSO: 14187 PH 2017-03-25 1452 MI0DWE        59   111   P33W          59  1425
QSO: 14145 PH 2017-03-25 1456 MI0DWE        59   112   OE3A          59   146
QSO: 14112 PH 2017-03-25 1512 MI0DWE        59   113   UR7EN         59   683
QSO: 14109 PH 2017-03-25 1513 MI0DWE        59   114   LY2AE         59   292
QSO: 14322 PH 2017-03-25 1518 MI0DWE        59   115   IU4CHE        59   087
QSO: 14317 PH 2017-03-25 1519 MI0DWE        59   116   LY27A         59   695
QSO: 14314 PH 2017-03-25 1522 MI0DWE        59   117   IT9DWW        59   083
QSO: 14310 PH 2017-03-25 1524 MI0DWE        59   118   HG7T          59   501
QSO: 14279 PH 2017-03-25 1529 MI0DWE        59   119   ZA/PA2LS      59   267
QSO: 14268 PH 2017-03-25 1531 MI0DWE        59   120   HA3NU         59   099
QSO: 14251 PH 2017-03-25 1533 MI0DWE        59   121   II9P          59  1081
QSO: 14238 PH 2017-03-25 1536 MI0DWE        59   122   C4A           59   945
QSO: 14214 PH 2017-03-25 1602 MI0DWE        59   123   S50D          59   405
QSO: 14210 PH 2017-03-25 1604 MI0DWE        59   124   IO9A          59  1104
QSO: 14187 PH 2017-03-25 1609 MI0DWE        59   125   IT9STX        59   588
QSO: 14184 PH 2017-03-25 1611 MI0DWE        59   126   KR1DX         59   989
QSO: 14170 PH 2017-03-25 1615 MI0DWE        59   127   AJ4A          59  1018
