START-OF-LOG: 3.0
CONTEST: ARRL-VHF-SEP
LOCATION: WI
CALLSIGN: KC0UDO
CATEGORY-MODE: MIXED
CATEGORY-BAND: VHF-3-BAND
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-STATION: FIXED
CATEGORY-TRANSMITTER: ONE
CATEGORY-ASSISTED: ASSISTED
CREATED-BY: CABCONVERTER 2.05, CONTEST RECIPE VERSION 1.01, BY NE1RD
OPERATORS: KC0UDO
HQ-CATEGORY: Single Operator, 3 Band
HQ-GRID-LOCATOR: EN36WQ
QSO: 144 PH 2020-09-14 0140 KC0UDO EN36 KA0PQW EN33
QSO: 144 PH 2020-09-14 0136 KC0UDO EN36 N0DFP EN36
QSO: 144 DG 2020-09-13 2325 KC0UDO EN36 W0VTT EN33
QSO: 432 DG 2020-09-13 1757 KC0UDO EN36 AA0AW EN36
QSO: 144 DG 2020-09-13 1641 KC0UDO EN36 AA0AW EN36
QSO: 50 DG 2020-09-13 1636 KC0UDO EN36 W0TLE EN35
QSO: 50 DG 2020-09-13 1622 KC0UDO EN36 N0OK EN35
QSO: 144 DG 2020-09-13 1558 KC0UDO EN36 W0VB DN84
QSO: 50 DG 2020-09-13 1527 KC0UDO EN36 K0VG EN27
QSO: 50 DG 2020-09-13 1505 KC0UDO EN36 KA0DC EN36
QSO: 144 DG 2020-09-13 1432 KC0UDO EN36 WB9LYH EN54
QSO: 144 DG 2020-09-13 1426 KC0UDO EN36 W0UC EN44
QSO: 144 DG 2020-09-13 1421 KC0UDO EN36 K0VG EN27
QSO: 144 DG 2020-09-13 1340 KC0UDO EN36 K2DRH EN41
QSO: 144 DG 2020-09-13 1328 KC0UDO EN36 N0AT EN34
QSO: 144 DG 2020-09-13 1320 KC0UDO EN36 N0UR EN33
QSO: 144 FM 2020-09-13 1248 KC0UDO EN36 N0VYU EN36
QSO: 144 DG 2020-09-13 1226 KC0UDO EN36 K9WKJ EN44
QSO: 50 DG 2020-09-13 1306 KC0UDO EN36 N0UR EN33
QSO: 144 FM 2020-09-13 1140 KC0UDO EN36 KA9JLN EN46
QSO: 144 PH 2020-09-13 0124 KC0UDO EN36 KC0JRJ EN36
QSO: 50 DG 2020-09-13 0120 KC0UDO EN36 W0LWU EN36
QSO: 144 PH 2020-09-13 0112 KC0UDO EN36 N0IY EN36
QSO: 144 PH 2020-09-13 0058 KC0UDO EN36 W0LWU EN36
QSO: 144 PH 2020-09-13 0035 KC0UDO EN36 K9KDK EN36
QSO: 144 DG 2020-09-13 0009 KC0UDO EN36 W9GA EN53
QSO: 144 DG 2020-09-13 0003 KC0UDO EN36 W9JN EN54
QSO: 144 DG 2020-09-12 2351 KC0UDO EN36 N9ISN EN44
QSO: 50 DG 2020-09-12 2340 KC0UDO EN36 N9ISN EN44
QSO: 50 DG 2020-09-12 2303 KC0UDO EN36 K0AWU EN37
QSO: 50 DG 2020-09-12 2225 KC0UDO EN36 W0SEI EN35
QSO: 432 FM 2020-09-12 2123 KC0UDO EN36 N0VRM EN36
QSO: 50 DG 2020-09-12 2107 KC0UDO EN36 W0UC EN44
QSO: 432 FM 2020-09-12 2058 KC0UDO EN36 KD0HRM EN36
QSO: 144 PH 2020-09-12 1955 KC0UDO EN36 N0VRM EN36
QSO: 144 PH 2020-09-12 1955 KC0UDO EN36 K0AWU EN37
QSO: 144 FM 2020-09-12 1933 KC0UDO EN36 KD0HRN EN36
QSO: 144 DG 2020-09-12 1935 KC0UDO EN36 AC9DX EN45
QSO: 144 FM 2020-09-12 1927 KC0UDO EN36 KD0HRM EN36
QSO: 144 DG 2020-09-12 1921 KC0UDO EN36 N0AKC EN44
QSO: 50 DG 2020-09-12 1854 KC0UDO EN36 AA0AW EN36
QSO: 144 DG 2020-09-12 1845 KC0UDO EN36 W0VC EN34
QSO: 50 DG 2020-09-12 1830 KC0UDO EN36 WI9WI EN45
QSO: 50 DG 2020-09-12 1824 KC0UDO EN36 N0AKC EN44
QSO: 50 DG 2020-09-12 1823 KC0UDO EN36 WA0MHJ EN35
QSO: 50 DG 2020-09-12 1810 KC0UDO EN36 K9MU EN44
QSO: 144 DG 2020-09-12 1802 KC0UDO EN36 K9MU EN44
END-OF-LOG:
